,requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
163,Genetic_bank,6,4,CIAT-BH-22-3830,Urochloa humidicola,Grass,13.9,14.78,75.1,40.8
164,Breeding,6,2,CIAT-PM-21-4852,Megathyrsus maximus,Grass,13.85,15.26,53.27,40.75
165,Breeding,6,2,CIAT-BR-09-4777,Urochloa interespecific,Grass,12.62,13.94,56.87,40.4
166,Breeding,7,2,CIAT-PM-21-4926,Megathyrsus maximus,Grass,14.4,15.78,53.71,39.9
167,Genetic_bank,5,4,CIAT-BH-22-2365,Urochloa humidicola,Grass,14.0,14.44,66.84,39.83
168,Breeding,6,2,CIAT-BH-22-2225,Urochloa humidicola,Grass,13.15,14.31,56.26,39.81
169,Breeding,7,2,CIAT-BH-22-2046,Urochloa humidicola,Grass,12.5,13.83,68.15,39.13
170,Breeding,8,2,CIAT-PM-21-3641,Megathyrsus maximus,Grass,13.44,15.02,58.19,38.93
171,Benchmark,6,3,CIAT-6962-Mombaza-Ex,Megathyrsus maximus,Grass,12.95,13.05,56.66,38.69
172,Breeding,9,3,CIAT-CIAT-16071,Megathyrsus maximus,Grass,13.24,15.4,73.74,38.57
173,Breeding,9,2,CIAT-BH-22-3115,Urochloa humidicola,Grass,12.14,13.86,62.57,37.57
174,LMF,3,1,Sample-5,Cynodon nlemfuensis ,Grass,14.43,15.46,56.36,37.43
175,LMF,3,1,Sample-3,Cynodon nlemfuensis ,Grass,14.3,15.41,59.31,37.26
176,Genetic_bank,6,4,CIAT-BH-22-1594,Urochloa humidicola,Grass,14.28,14.91,77.18,37.18
177,Breeding,6,2,CIAT-BH-22-3521,Urochloa humidicola,Grass,13.08,13.92,55.84,36.99
178,Breeding,8,2,CIAT-BH-22-4865,Urochloa humidicola,Grass,12.82,14.07,61.35,36.5
179,Breeding,6,2,CIAT-BH-22-4253,Urochloa humidicola,Grass,12.87,13.84,56.84,36.45
180,Breeding,6,2,CIAT-BH-22-1706,Urochloa humidicola,Grass,12.4,13.86,60.81,36.12
181,Genetic_bank,7,4,CIAT-BH-22-1710,Urochloa humidicola,Grass,13.94,14.66,73.82,36.11
182,Breeding,7,3,CIAT-BH-22-2531,Urochloa humidicola,Grass,12.9,14.24,69.75,35.9
183,Genetic_bank,8,4,CIAT-BH-22-0468,Urochloa humidicola,Grass,14.35,14.8,75.5,34.63
184,LMF,3,1,Sample-6,Cynodon nlemfuensis ,Grass,14.4,15.61,65.0,34.39
185,Breeding,6,2,CIAT-BH-22-0132,Urochloa humidicola,Grass,12.77,13.95,69.18,33.38
186,LMF,3,1,Sample-7,Cynodon nlemfuensis ,Grass,14.1,15.0,64.07,32.56
187,LMF,3,1,Sample-1,Cynodon nlemfuensis ,Grass,14.3,15.43,77.86,31.2
188,Breeding,8,2,CIAT-BH-22-4169,Urochloa humidicola,Grass,12.9,14.2,74.49,30.14
189,LMF,488,2,Sample-8,Cynodon nlemfuensis ,Grass,14.56,15.63,72.56,29.95
190,LMF,6,1,Sample-8,Cynodon nlemfuensis ,Grass,14.73,16.27,68.02,29.24
191,Breeding,9,2,CIAT-BH-22-1258,Urochloa humidicola,Grass,12.87,14.04,82.25,27.68
192,Breeding,9,2,CIAT-BH-22-2189,Urochloa humidicola,Grass,12.93,14.05,76.17,27.59
193,LMF-invivo,4,3,Muestra-#-02,Cynodon nlemfuensis,Grass,14.18,14.82,70.57,27.18
194,Breeding,8,2,CIAT-BH-22-3507,Urochloa humidicola,Grass,12.8,13.95,88.9,25.03
195,Benchmark,8,3,Humidicola-679,Urochloa humidicola,Grass,13.48,13.75,68.01,24.09
196,Genetic_bank,5,4,CIAT-BH-22-3572,Urochloa humidicola,Grass,13.58,14.19,154.85,20.76
197,Benchmark,6,3,Sabana-Quemada,,Grass,12.07,13.31,46.68,14.63
198,Benchmark,7,3,Paja-Sabana-Madura,,Grass,12.51,13.55,62.87,13.53
199,Genetic_bank,7,4,CIAT-BH-22-0521,Urochloa humidicola,Grass,29.81,3.54,45.56,13.48
