,requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
85,Genetic_bank,8,4,CIAT-23934,Dendrolobium triangulare,Shrub_Trees,14.45,15.71,58.42,29.86
86,Genetic_bank,6,4,CIAT-33119,Dendrolobium triangulare,Shrub_Trees,14.65,16.27,60.37,29.76
87,Genetic_bank,8,4,CIAT-33402,Dendrolobium triangulare,Shrub_Trees,14.39,15.88,60.27,29.73
88,Genetic_bank,9,2,CIAT-20891,Cajanus cajan,Shrub_Trees,12.92,14.44,47.98,29.51
89,Genetic_bank,7,4,CIAT-7937,Mimosa nuda,Shrub_Trees,12.96,13.76,61.51,28.95
90,Genetic_bank,5,4,CIAT-23414,Codariocalyx motorius,Shrub_Trees,14.6,15.26,73.03,26.23
91,Genetic_bank,5,4,CIAT-33116,Dendrolobium triangulare,Shrub_Trees,13.88,15.41,51.55,26.21
92,Genetic_bank,8,2,CIAT-33114,Dendrolobium sp.,Shrub_Trees,13.69,15.27,58.31,26.15
93,Genetic_bank,6,4,CIAT-20126,Acacia angustissima,Shrub_Trees,12.2,12.18,35.13,25.99
94,Genetic_bank,6,4,CIAT-19460,Sesbania cannabina,Shrub_Trees,14.15,15.04,105.58,25.96
95,Genetic_bank,8,4,CIAT-13528,Dendrolobium lanceolatum,Shrub_Trees,12.78,14.42,46.62,25.89
96,Genetic_bank,8,4,CIAT-21512,Calliandra calothyrsus,Shrub_Trees,11.1,12.11,27.96,25.15
97,Genetic_bank,7,4,CIAT-22004,Dendrolobium triangulare,Shrub_Trees,13.47,15.14,61.95,23.51
98,Genetic_bank,6,4,CIAT-23933,Dendrolobium triangulare,Shrub_Trees,15.03,14.65,65.72,22.87
99,Genetic_bank,8,4,CIAT-23932,Dendrolobium triangulare,Shrub_Trees,14.7,16.24,73.46,22.76
100,Genetic_bank,7,4,CIAT-23239,Dendrolobium triangulare,Shrub_Trees,13.71,15.68,72.83,22.69
101,Genetic_bank,7,4,CIAT-22310,Calliandra calothyrsus,Shrub_Trees,10.89,11.49,32.88,22.65
102,Genetic_bank,8,4,CIAT-23413,Dendrolobium triangulare,Shrub_Trees,14.12,15.3,62.63,22.62
103,Genetic_bank,5,2,CIAT-18437,Flemingia macrophylla,Shrub_Trees,12.28,13.05,41.87,22.61
104,LMF,6,1,ILRI-21682-24-119729,Leucaena pallida,Shrub_Trees,10.6,12.14,55.47,22.24
105,Genetic_bank,7,4,CIAT-23422,Dendrolobium triangulare,Shrub_Trees,14.63,16.19,69.29,21.77
106,Genetic_bank,7,4,CIAT-23936,Dendrolobium triangulare,Shrub_Trees,14.27,15.87,69.63,21.51
107,Genetic_bank,8,4,CIAT-13258,Dendrolobium lanceolatum,Shrub_Trees,12.89,13.15,41.85,19.8
108,Genetic_bank,7,4,CIAT-23412,Dendrolobium triangulare,Shrub_Trees,13.51,14.92,58.16,19.64
109,Genetic_bank,6,4,CIAT-8018,Acacia aroma,Shrub_Trees,14.07,15.7,74.59,19.41
110,Genetic_bank,6,4,CIAT-33515,Dendrolobium triangulare,Shrub_Trees,14.2,15.58,79.12,18.94
111,Genetic_bank,8,4,CIAT-13260,Dendrolobium lanceolatum,Shrub_Trees,13.58,14.5,60.35,18.9
112,Genetic_bank,7,4,CIAT-23106,Dendrolobium triangulare,Shrub_Trees,14.54,16.08,69.06,18.83
113,Genetic_bank,5,4,CIAT-23107,Dendrolobium triangulare,Shrub_Trees,14.26,16.04,62.47,18.22
114,Genetic_bank,6,4,CIAT-23104,Dendrolobium triangulare,Shrub_Trees,14.43,15.96,80.77,18.16
115,Genetic_bank,7,4,CIAT-13710,Dendrolobium lanceolatum,Shrub_Trees,13.91,15.26,63.86,18.1
116,Genetic_bank,8,4,CIAT-23419,Dendrolobium triangulare,Shrub_Trees,14.04,15.79,80.56,17.59
117,Genetic_bank,7,4,CIAT-23108,Dendrolobium triangulare,Shrub_Trees,13.61,15.79,71.58,17.48
