id_lab,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-1708,9,13.28,14.5,48.14,49.43
F25-1709,9,11.56,13.74,45.13,49.08
F25-1710,9,12.91,14.27,50.2,47.27
F25-1711,9,12.41,13.98,46.5,53.36
F25-1712,9,13.16,14.18,49.11,50.69
F25-1713,9,12.68,13.72,48.25,49.7
F25-1714,9,12.37,13.83,41.87,50.44
F25-1715,9,11.98,14.1,50.81,47.76
F25-1716,7,12.51,14.3,46.78,51.77
F25-1717,9,12.79,13.9,51.68,47.83
F25-1718,9,13.11,14.43,45.62,51.34
F25-1719,9,12.81,14.24,49.66,48.47
F25-1720,9,12.34,14.04,46.28,47.56
F25-1721,9,12.13,14.13,51.44,43.68
F25-1722,9,13.46,14.64,54.31,48.78
F25-1723,9,12.36,14.27,45.58,43.49
F25-1724,8,12.94,14.27,47.59,47.25
F25-1725,8,12.4,14.3,49.0,45.46
F25-1726,7,12.76,14.24,50.98,45.08
F25-1727,9,13.51,14.36,53.17,43.78
F25-1728,5,13.46,14.98,45.6,32.71
F25-1729,8,12.78,14.42,46.62,25.89
F25-1730,7,13.73,15.62,55.06,31.83
F25-1731,7,13.91,15.26,63.86,18.1
F25-1732,7,13.47,15.14,61.95,23.51
F25-1733,6,14.43,15.96,80.77,18.16
F25-1734,7,14.54,16.08,69.06,18.83
F25-1735,5,14.26,16.04,62.47,18.22
F25-1736,7,13.61,15.79,71.58,17.48
F25-1737,7,13.51,14.92,58.16,19.64
F25-1738,8,14.12,15.3,62.63,22.62
F25-1739,8,14.04,15.79,80.56,17.59
F25-1740,7,14.63,16.19,69.29,21.77
F25-1741,8,15.12,16.26,60.39,30.16
F25-1742,8,14.7,16.24,73.46,22.76
F25-1743,6,15.03,14.65,65.72,22.87
F25-1744,8,14.45,15.71,58.42,29.86
F25-1745,7,14.27,15.87,69.63,21.51
F25-1746,6,14.65,16.27,60.37,29.76
F25-1747,8,14.32,15.94,56.51,30.62
F25-1748,8,14.39,15.88,60.27,29.73
F25-1749,7,14.74,16.94,67.34,31.78
F25-1750,6,14.2,15.58,79.12,18.94
F25-1751,8,11.21,9.59,15.04,44.37
F25-1752,8,12.78,14.12,44.81,41.56
F25-1753,6,14.07,15.7,74.59,19.41
F25-1754,8,9.28,6.78,7.53,52.35
F25-1755,8,12.89,13.15,41.85,19.8
F25-1756,8,13.58,14.5,60.35,18.9
F25-1757,7,12.34,13.6,35.31,48.81
F25-1758,8,13.12,14.15,35.84,55.9
F25-1759,7,10.94,12.1,32.96,48.79
F25-1760,8,11.68,13.15,35.97,48.39
F25-1761,8,8.28,5.6,4.92,60.95
F25-1762,8,13.84,15.97,61.87,44.59
F25-1763,6,12.2,12.18,35.13,25.99
F25-1764,7,12.93,15.23,47.31,67.1
F25-1765,8,11.32,12.5,35.98,32.08
F25-1766,8,11.1,12.11,27.96,25.15
F25-1767,8,13.99,14.78,52.41,29.92
F25-1768,8,13.66,15.72,54.95,38.97
F25-1769,8,10.94,11.11,26.04,33.76
F25-1770,7,11.14,12.68,39.88,46.47
F25-1771,7,10.89,11.49,32.88,22.65
F25-1773,7,12.41,12.6,28.14,31.08
F25-1774,7,13.71,15.68,72.83,22.69
F25-1775,5,13.88,15.41,51.55,26.21
F25-2076,7,9.97,11.75,35.19,46.02
F25-2077,9,14.12,15.52,41.28,53.93
F25-2078,9,14.51,16.02,40.45,58.82
F25-2079,9,13.72,15.38,42.58,60.3
F25-2080,9,13.86,15.49,42.96,55.93
F25-2081,9,14.43,15.75,44.14,53.71
F25-2082,9,13.9,15.36,41.79,54.87
F25-2083,9,13.57,15.25,42.67,53.17
F25-2084,9,13.47,15.17,46.34,50.76
F25-2085,9,14.16,15.47,48.25,50.51
F25-2086,9,13.78,15.26,46.72,51.88
F25-2087,9,14.68,16.19,55.86,42.94
F25-2088,9,13.7,15.53,44.24,49.86
