id_lab,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2139,8,12.86,13.63,49.16,51.91
F25-2140,9,13.33,13.86,50.79,48.53
F25-2141,9,13.03,14.08,55.76,44.44
F25-2144,9,12.28,13.81,41.73,53.52
F25-2145,9,12.58,14.25,43.54,54.76
F25-2146,9,12.67,13.87,43.77,49.81
F25-2147,9,13.17,14.11,40.89,54.54
F25-2148,9,12.63,14.02,41.7,49.99
F25-2149,9,12.61,14.08,44.07,51.97
F25-2150,9,12.44,14.02,43.75,52.93
F25-2151,9,12.82,14.34,44.14,52.52
F25-2152,9,12.09,13.65,42.34,48.43
F25-2153,9,12.6,14.1,47.18,47.84
F25-2154,7,12.54,13.91,54.8,42.4
F25-2155,6,13.32,14.65,45.45,48.12
F25-2156,9,12.14,13.86,62.57,37.57
F25-2157,7,12.43,14.07,58.78,41.97
F25-2158,7,12.4,13.93,57.67,40.88
F25-2159,6,12.4,13.89,62.47,41.12
F25-2160,8,12.82,14.07,61.35,36.5
F25-2161,6,12.4,13.86,60.81,36.12
F25-2162,8,12.9,14.2,74.49,30.14
F25-2163,9,12.87,14.04,82.25,27.68
F25-2164,7,12.9,13.96,48.47,41.92
