id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F25-2106,CIAT-BR-09-4777,2,391.0,Breeding,Urochloa interespecific,Grass,2,93.68,13.68,86.32,12.76,24.43,58.97,6.0,12.62,13.94,56.87,40.4
F25-2107,CIAT-BR-12-0255,2,399.0,Breeding,Urochloa interespecific,Grass,2,91.85,14.23,85.77,14.96,24.63,57.34,9.0,12.31,13.96,37.48,60.12
F25-2108,CIAT-BR-12-0461,2,401.0,Breeding,Urochloa interespecific,Grass,2,92.82,14.72,85.28,13.24,25.6,60.79,9.0,12.52,14.27,37.7,61.59
F25-1701,CIAT-BR-12-1362,2,133.0,Breeding,Urochloa interespecific,Grass,2,92.46,14.02,85.98,16.89,28.12,57.62,9.0,11.96,13.75,36.67,64.41
F25-2109,CIAT-BR-12-1620,2,403.0,Breeding,Urochloa interespecific,Grass,2,93.55,13.79,86.21,13.22,25.38,60.36,9.0,12.4,13.92,36.04,60.13
F25-2110,CIAT-BR-12-1889,2,405.0,Breeding,Urochloa interespecific,Grass,2,91.35,15.09,84.91,14.82,23.39,57.75,9.0,11.64,14.03,36.64,57.99
F25-1702,CIAT-BR-12-2462,2,135.0,Breeding,Urochloa interespecific,Grass,2,95.72,15.58,84.42,12.21,34.75,58.72,9.0,12.94,13.07,35.78,56.21
F25-1703,CIAT-BR-12-3868,2,137.0,Breeding,Urochloa interespecific,Grass,2,94.15,19.08,80.92,16.3,28.24,54.33,9.0,11.08,13.51,33.46,55.88
F25-2111,CIAT-BR-12-4039,2,407.0,Breeding,Urochloa interespecific,Grass,2,92.11,13.6,86.4,15.17,27.47,61.84,9.0,12.23,14.28,38.13,56.17
F25-1711,CIAT-BR-12-4400,2,153.0,Breeding,Urochloa interespecific,Grass,2,93.93,15.3,84.7,14.38,28.07,57.48,9.0,12.41,13.98,46.5,53.36
F25-2112,CIAT-BR-12-4856,2,409.0,Breeding,Urochloa interespecific,Grass,2,92.58,12.91,87.09,13.01,27.75,63.63,9.0,12.56,14.1,40.7,49.54
F25-2113,CIAT-BR-12-5049,2,411.0,Breeding,Urochloa interespecific,Grass,2,92.25,14.47,85.53,14.56,26.52,60.6,9.0,12.74,14.58,44.66,50.57
F25-2114,CIAT-BR-15-1851,2,413.0,Breeding,Urochloa interespecific,Grass,2,92.17,14.82,85.18,11.25,26.14,59.44,9.0,12.8,14.36,45.29,51.12
F25-1704,CIAT-BR-15-2558,2,139.0,Breeding,Urochloa interespecific,Grass,2,93.24,14.12,85.88,15.0,26.56,57.46,9.0,12.19,13.73,38.25,57.33
F25-1705,CIAT-BR-15-2811,2,141.0,Breeding,Urochloa interespecific,Grass,2,93.62,16.26,83.74,15.86,29.12,55.78,9.0,11.99,13.19,36.8,56.83
F25-1706,CIAT-BR-15-2891,2,143.0,Breeding,Urochloa interespecific,Grass,2,93.76,14.84,85.16,15.5,29.38,58.9,9.0,13.08,14.05,40.25,54.93
F25-2115,CIAT-BR-15-3025,2,415.0,Breeding,Urochloa interespecific,Grass,2,92.02,14.14,85.86,12.32,26.72,59.94,9.0,12.84,14.28,42.43,52.27
F25-2116,CIAT-BR-15-3248,2,417.0,Breeding,Urochloa interespecific,Grass,2,92.16,15.9,84.1,13.91,24.29,58.79,9.0,12.69,14.48,40.34,54.32
F25-1712,CIAT-BR-15-3434,2,155.0,Breeding,Urochloa interespecific,Grass,2,94.62,14.2,85.8,15.08,28.26,56.12,9.0,13.16,14.18,49.11,50.69
F25-1713,CIAT-BR-15-3811,2,157.0,Breeding,Urochloa interespecific,Grass,2,96.3,14.72,85.28,15.49,26.74,58.32,9.0,12.68,13.72,48.25,49.7
F25-1714,CIAT-BR-15-6547,2,159.0,Breeding,Urochloa interespecific,Grass,2,94.74,15.54,84.46,15.81,27.02,58.24,9.0,12.37,13.83,41.87,50.44
F25-1715,CIAT-BR-15-7121,2,161.0,Breeding,Urochloa interespecific,Grass,2,94.82,15.2,84.8,17.04,26.45,56.48,9.0,11.98,14.1,50.81,47.76
F25-2117,CIAT-BR-15-7659,2,419.0,Breeding,Urochloa interespecific,Grass,2,93.33,13.73,86.27,12.33,26.95,60.12,9.0,12.39,14.07,41.22,52.92
F25-1716,CIAT-BR-15-8887,2,163.0,Breeding,Urochloa interespecific,Grass,2,94.77,12.99,87.01,14.76,27.6,59.44,7.0,12.51,14.3,46.78,51.77
F25-2118,CIAT-BR-15-8919,2,421.0,Breeding,Urochloa interespecific,Grass,2,93.52,13.49,86.51,11.76,26.98,63.21,9.0,12.42,14.02,43.24,50.93
F25-1725,CIAT-BR-19-1264,2,181.0,Breeding,Urochloa interespecific,Grass,2,96.3,15.61,84.39,18.56,25.08,56.3,8.0,12.4,14.3,49.0,45.46
F25-1707,CIAT-BR-19-1343,2,145.0,Breeding,Urochloa interespecific,Grass,2,94.1,14.51,85.49,16.19,29.84,58.92,9.0,11.84,13.31,39.18,50.61
F25-1717,CIAT-BR-19-4678,2,165.0,Breeding,Urochloa interespecific,Grass,2,92.76,15.1,84.9,15.2,27.94,53.89,9.0,12.79,13.9,51.68,47.83
F25-1718,CIAT-BR-19-5029,2,167.0,Breeding,Urochloa interespecific,Grass,2,95.62,15.34,84.66,15.06,27.74,59.08,9.0,13.11,14.43,45.62,51.34
F25-1726,CIAT-BR-19-5217,2,183.0,Breeding,Urochloa interespecific,Grass,2,96.2,14.22,85.78,13.46,28.8,60.7,7.0,12.76,14.24,50.98,45.08
F25-1719,CIAT-BR-19-5357,2,169.0,Breeding,Urochloa interespecific,Grass,2,94.56,15.44,84.56,15.75,28.56,58.4,9.0,12.81,14.24,49.66,48.47
F25-1720,CIAT-BR-19-5381,2,171.0,Breeding,Urochloa interespecific,Grass,2,94.58,14.1,85.9,14.96,30.84,62.0,9.0,12.34,14.04,46.28,47.56
F25-2119,CIAT-BR-19-5515,2,423.0,Breeding,Urochloa interespecific,Grass,2,92.43,14.53,85.47,11.19,26.96,60.89,9.0,12.34,14.04,45.3,52.02
F25-2120,CIAT-BR-19-5877,2,425.0,Breeding,Urochloa interespecific,Grass,2,93.49,13.01,86.99,12.43,26.07,60.59,9.0,12.69,14.25,46.91,50.02
F25-2121,CIAT-BR-19-6136,2,427.0,Breeding,Urochloa interespecific,Grass,2,92.92,14.79,85.21,13.33,25.87,59.53,9.0,12.63,14.14,48.9,46.05
F25-2087,CIAT-CIAT-16021,2,353.0,Breeding,Megathyrsus maximus,Grass,2,94.48,11.82,88.18,12.61,32.73,70.7,9.0,14.68,16.19,55.86,42.94
F25-2092,CIAT-CIAT-16025,2,363.0,Breeding,Megathyrsus maximus,Grass,2,92.4,14.73,85.27,14.43,32.3,68.73,9.0,13.42,14.98,49.69,45.83
F25-2080,CIAT-CIAT-16031,2,339.0,Breeding,Megathyrsus maximus,Grass,2,93.77,13.21,86.79,13.82,32.37,65.74,9.0,13.86,15.49,42.96,55.93
F25-2101,CIAT-CIAT-16071,2,381.0,Breeding,Megathyrsus maximus,Grass,4,93.03,13.63,86.37,16.96,28.87,66.51,9.0,13.28,15.18,70.27,39.76
F25-2147,CIAT-CIAT-16886,2,471.0,Breeding,Urochloa humidicola,Grass,2,98.05,11.56,88.44,7.95,34.95,70.81,9.0,13.17,14.11,40.89,54.54
F25-2148,CIAT-CIAT-16891,2,473.0,Breeding,Urochloa humidicola,Grass,2,98.4,12.85,87.15,6.7,31.56,67.91,9.0,12.63,14.02,41.7,49.99
F25-1708,CIAT-CIAT-26110,2,147.0,Breeding,Urochloa interespecific,Grass,2,93.89,11.93,88.07,12.76,33.24,65.67,9.0,13.28,14.5,48.14,49.43
F25-1727,CIAT-CIAT-26124,2,185.0,Breeding,Urochloa interespecific,Grass,2,96.03,12.82,87.18,14.6,31.6,64.88,9.0,13.51,14.36,53.17,43.78
F25-2149,CIAT-CIAT-26146,2,475.0,Breeding,Urochloa humidicola,Grass,2,98.78,12.18,87.82,6.52,34.83,72.54,9.0,12.61,14.08,44.07,51.97
F25-2150,CIAT-CIAT-26149,2,477.0,Breeding,Urochloa humidicola,Grass,2,98.44,14.71,85.29,6.87,29.44,67.52,9.0,12.44,14.02,43.75,52.93
F25-2151,CIAT-CIAT-26160,2,479.0,Breeding,Urochloa humidicola,Grass,2,98.1,14.13,85.87,6.85,32.95,68.42,9.0,12.82,14.34,44.14,52.52
F25-2152,CIAT-CIAT-26415,2,481.0,Breeding,Urochloa humidicola,Grass,2,97.76,13.34,86.66,6.65,31.58,69.04,9.0,12.09,13.65,42.34,48.43
F25-2154,CIAT-CIAT-26438,2,485.0,Breeding,Urochloa humidicola,Grass,2,98.01,12.58,87.42,7.38,34.69,72.55,7.0,12.54,13.91,54.8,42.4
F25-2155,CIAT-CIAT-26570,2,487.0,Breeding,Urochloa humidicola,Grass,2,97.83,13.76,86.24,7.8,29.98,66.42,6.0,13.32,14.65,45.45,48.12
F25-1709,CIAT-CIAT-26646,2,149.0,Breeding,Urochloa interespecific,Grass,2,93.56,13.18,86.82,14.14,29.08,60.64,9.0,11.56,13.74,45.13,49.08
F25-2081,CIAT-CIAT-26936,2,341.0,Breeding,Megathyrsus maximus,Grass,2,95.09,10.32,89.68,13.55,36.62,66.89,9.0,14.43,15.75,44.14,53.71
F25-2158,CIAT-CIAT-6133,2,493.0,Breeding,Urochloa humidicola,Grass,2,98.39,11.51,88.49,6.57,33.67,72.89,7.0,12.4,13.93,57.67,40.88
F25-1710,CIAT-CIAT-6297,2,151.0,Breeding,Urochloa interespecific,Grass,2,95.1,13.01,86.99,14.86,29.88,61.91,9.0,12.91,14.27,50.2,47.27
F25-2159,CIAT-CIAT-679,2,495.0,Breeding,Urochloa humidicola,Grass,2,97.32,12.01,87.99,6.19,31.72,70.77,6.0,12.4,13.89,62.47,41.12
F25-2098,CIAT-CIAT-6986,2,375.0,Breeding,Megathyrsus maximus,Grass,2,92.58,11.85,88.15,12.26,33.48,71.82,7.0,13.64,15.09,51.0,45.09
F25-2089,CIAT-PM-21-0065,2,357.0,Breeding,Megathyrsus maximus,Grass,2,94.04,13.69,86.31,14.18,30.72,64.87,9.0,14.13,15.53,49.51,49.57
F25-2093,CIAT-PM-21-0070,2,365.0,Breeding,Megathyrsus maximus,Grass,2,94.4,13.52,86.48,14.89,29.67,66.68,6.0,13.62,15.34,45.53,54.14
