requisitioner,n_replicates_gas,subset,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
Genetic_bank,8.0,4,CIAT-23413,Dendrolobium triangulare,Shrub_Trees,14.12,15.3,62.63,22.62
Genetic_bank,5.0,4,CIAT-23414,Codariocalyx motorius,Shrub_Trees,14.6,15.26,73.03,26.23
Genetic_bank,8.0,4,CIAT-23416,Codariocalyx motorius,Shrub_Trees,13.0,14.48,56.65,36.61
Genetic_bank,8.0,4,CIAT-23419,Dendrolobium triangulare,Shrub_Trees,14.04,15.79,80.56,17.59
Genetic_bank,7.0,4,CIAT-23422,Dendrolobium triangulare,Shrub_Trees,14.63,16.19,69.29,21.77
Genetic_bank,8.0,4,CIAT-23734,Dendrolobium triangulare,Shrub_Trees,15.12,16.26,60.39,30.16
Genetic_bank,7.0,4,CIAT-23767,Desmodium nicaraguense,Shrub_Trees,16.24,16.82,56.97,46.73
Genetic_bank,8.0,4,CIAT-23932,Dendrolobium triangulare,Shrub_Trees,14.7,16.24,73.46,22.76
Genetic_bank,6.0,4,CIAT-23933,Dendrolobium triangulare,Shrub_Trees,15.03,14.65,65.72,22.87
Genetic_bank,8.0,4,CIAT-23934,Dendrolobium triangulare,Shrub_Trees,14.45,15.71,58.42,29.86
Genetic_bank,7.0,4,CIAT-23936,Dendrolobium triangulare,Shrub_Trees,14.27,15.87,69.63,21.51
Genetic_bank,5.0,4,CIAT-33116,Dendrolobium triangulare,Shrub_Trees,13.88,15.41,51.55,26.21
Genetic_bank,6.0,4,CIAT-33119,Dendrolobium triangulare,Shrub_Trees,14.65,16.27,60.37,29.76
Genetic_bank,,4,CIAT-33127,Codariocalyx motorius,Shrub_Trees,,,,
Genetic_bank,8.0,4,CIAT-33383,Dendrolobium sp.,Shrub_Trees,14.32,15.94,56.51,30.62
Genetic_bank,8.0,4,CIAT-33402,Dendrolobium triangulare,Shrub_Trees,14.39,15.88,60.27,29.73
Genetic_bank,7.0,4,CIAT-33508,Dendrolobium umbellatum,Shrub_Trees,14.74,16.94,67.34,31.78
Genetic_bank,6.0,4,CIAT-33515,Dendrolobium triangulare,Shrub_Trees,14.2,15.58,79.12,18.94
Genetic_bank,8.0,4,CIAT-7353,Prosopis juliflora,Shrub_Trees,11.21,9.59,15.04,44.37
Genetic_bank,5.0,4,CIAT-7934,Sesbania sesban,Shrub_Trees,14.54,14.7,66.79,40.75
Genetic_bank,7.0,4,CIAT-7937,Mimosa nuda,Shrub_Trees,12.96,13.76,61.51,28.95
Genetic_bank,8.0,4,CIAT-7976,Cassia sp.,Shrub_Trees,12.78,14.12,44.81,41.56
Genetic_bank,6.0,4,CIAT-8018,Acacia aroma,Shrub_Trees,14.07,15.7,74.59,19.41
Genetic_bank,5.0,4,CIAT-8056,Mimosa diplotricha,Shrub_Trees,12.74,14.22,58.67,35.26
Genetic_bank,8.0,4,CIAT-9990,Prosopis juliflora,Shrub_Trees,9.28,6.78,7.53,52.35
Mauricio Sotelo,7.0,4,,Gliricidia sepium ,Shrub_Trees,13.69,14.98,45.48,55.91
