id_lab,id,subset,no,requisitioner,tax_name,functional_group,n_replicates_nutrition,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_gas,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm,ch4_category,tddm_category,lmf_category,lmf_category_rank,quartile,quartile_rank
F24-3533,CIAT-32246,1,375,Genetic_bank,Chamaecrista nictitans,Herbaceous_legumes,2,91.54,8.03,91.97,26.83,26.64,79.4,9,13.48,15.7,46.27,42.36,Medium,Not High,Category_2,82,Q3,230
F24-3534,CIAT-32365,1,377,Genetic_bank,Desmanthus virgatus,Shrub_Trees,2,90.93,7.5,92.5,30.19,28.73,75.76,8,12.9,14.73,37.06,35.6,Low,Not High,Category_2,22,Q3,96
F24-3535,CIAT-32373,1,379,Genetic_bank,Desmanthus pubescens,Shrub_Trees,2,92.34,8.66,91.34,28.4,19.99,77.89,9,12.34,14.13,31.7,42.56,Low,Not High,Category_2,7,Q2,75
F24-3428,CIAT-3240,1,115,Genetic_bank,Desmodium cinereum,Herbaceous_legumes,4,92.86,12.01,87.99,22.63,24.91,56.34,9,19.2,19.67,40.86,54.72,,,,,,
F24-3429,CIAT-3522,1,117,Genetic_bank,Desmodium incanum,Herbaceous_legumes,2,93.28,11.05,88.95,17.94,47.97,64.48,9,17.03,18.51,42.18,36.5,Low,Not High,Category_2,43,Q4,271
F24-3430,CIAT-4134,1,119,Genetic_bank,Macroptilium lathyroides,Herbaceous_legumes,2,91.91,14.36,85.64,22.09,24.29,43.65,9,17.4,18.91,47.73,65.38,Medium,High,Category_1b,7,Q1,18
F24-3431,CIAT-4279,1,121,Genetic_bank,Vigna umbellata,Herbaceous_legumes,2,91.04,11.02,88.98,25.72,13.14,52.82,9,17.63,19.09,47.82,66.91,Medium,High,Category_1b,4,Q1,9
F24-3432,CIAT-5124,1,123,Genetic_bank,Centrosema molle x acutifolium,Herbaceous_legumes,2,91.54,10.36,89.64,25.78,37.61,65.51,8,17.54,18.89,42.1,56.75,Low,Not High,Category_2,42,Q2,81
F24-3479,CIAT-17451,1,217,Genetic_bank,Canavalia sp.,Herbaceous_legumes,2,91.64,19.48,80.53,22.34,20.08,49.14,9,12.8,15.61,37.55,62.07,Low,High,Category_1a,11,Q1,44
F24-3416,CIAT-705,1,1,Genetic_bank,Indigofera suffruticosa,Shrub_Trees,2,91.97,12.68,87.32,33.01,28.05,45.22,9,14.26,17.35,31.84,74.34,Low,High,Category_1a,2,Q1,1
