id_lab,id,subset,no,requisitioner,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h,n_replicates_gas
F25-2637,CIAT-17462,3,1008,Breeding,Leucaena leucocephala ,Shrub_Trees,13.26,12.72,25.68,8.01,0.39,1.36,1.2,5.78,8.95,43.1,9
F25-2638,,3,1011,Breeding,Tithonia diversifolia,Shrub_Trees,2.92,6.32,13.41,5.23,0.89,0.56,0.61,2.48,9.26,43.14,9
F25-2639,,3,1017,Breeding,Gliricidia sepium ,Shrub_Trees,2.82,3.39,7.6,9.45,0.56,0.23,0.19,0.86,8.24,36.67,6
F25-2640,Cayman-Br-02-1752,4,95,Isabel Molina,Urochloa interespecific,Grass,3.99,2.05,4.25,9.37,0.53,0.52,0.4,0.51,10.77,12.18,8
F25-2641,,4,98,Mauricio Sotelo,Gliricidia sepium ,Shrub_Trees,2.59,2.69,5.74,7.05,0.39,0.35,0.25,0.93,4.72,12.16,7
F26-0013,CIAT-590,4,974,Genetic_bank,Macroptilium bracteatum,Herbaceous_legumes,1.9,3.95,8.55,8.24,0.55,0.47,0.71,2.03,16.56,36.68,7
F26-0014,CIAT-778,4,977,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,3.11,5.33,11.48,7.61,0.72,0.24,0.32,1.85,17.72,1.05,7
F26-0015,CIAT-827,4,980,Genetic_bank,Indigofera jamaicensis,Herbaceous_legumes,3.41,4.84,10.21,7.3,0.55,0.45,0.33,1.94,11.08,2.6,7
F26-0016,CIAT-997,4,983,Genetic_bank,Macroptilium atropurpureum,Herbaceous_legumes,1.9,1.89,4.04,7.04,0.56,0.42,0.32,0.8,10.74,2.03,7
F26-0017,CIAT-1405,4,986,Genetic_bank,Stylosanthes capitata,Herbaceous_legumes,2.92,3.87,8.15,7.34,0.61,0.42,0.38,1.41,18.17,1.98,5
F26-0018,CIAT-1812,4,989,Genetic_bank,Stylosanthes viscosa,Herbaceous_legumes,1.24,2.23,4.66,5.09,0.7,0.72,0.64,0.54,16.61,0.02,6
F26-0019,CIAT-3694,4,992,Genetic_bank,Desmodium sandwicense,Herbaceous_legumes,1.67,2.86,6.07,6.94,0.6,0.4,0.24,0.75,33.18,0.16,7
F26-0020,CIAT-4080,4,995,Genetic_bank,Macroptilium bracteatum,Herbaceous_legumes,1.73,2.91,6.14,7.36,0.49,0.22,0.12,0.92,11.16,0.94,7
F26-0021,CIAT-7162,4,998,Genetic_bank,Indigofera jamaicensis,Herbaceous_legumes,1.96,1.53,3.27,6.19,0.38,0.63,0.28,0.26,7.9,0.39,7
F26-0022,CIAT-8820,4,1001,Genetic_bank,Tephrosia cinerea,Herbaceous_legumes,1.73,4.54,9.57,5.87,0.38,0.62,0.33,1.5,11.39,5.41,7
F26-0023,CIAT-14080,4,1004,Genetic_bank,Zornia brasiliensis,Herbaceous_legumes,1.68,3.07,6.52,6.45,0.51,0.47,0.24,1.07,10.09,2.83,7
F26-0024,CIAT-18950,4,1007,Genetic_bank,Indigofera spicata,Herbaceous_legumes,3.05,7.87,16.82,5.73,0.39,0.79,0.39,2.11,8.77,0.39,7
F26-0025,CIAT-19193,4,1010,Genetic_bank,Tephrosia villosa,Herbaceous_legumes,2.3,7.72,16.38,6.33,0.53,0.49,0.31,3.08,16.44,6.18,7
F26-0026,CIAT-19641,4,1013,Genetic_bank,Tephrosia purpurea,Herbaceous_legumes,1.28,4.46,9.28,8.07,0.62,0.82,0.48,1.86,22.33,3.08,7
F26-0027,CIAT-23503,4,1016,Genetic_bank,Desmodium macrodesmum,Herbaceous_legumes,0.94,3.14,6.72,7.9,0.63,0.4,0.28,1.06,18.92,0.45,7
F26-0028,CIAT-24333,4,1019,Genetic_bank,Macroptilium bracteatum,Herbaceous_legumes,2.34,4.64,9.82,9.23,0.48,0.41,0.18,1.45,28.61,1.5,7
F26-0029,CIAT-33235,4,1024,Genetic_bank,Desmodium scorpiurus,Herbaceous_legumes,2.22,7.66,16.43,6.64,0.6,0.58,0.34,2.39,10.48,3.25,7
F26-0030,CIAT-33605,4,1027,Genetic_bank,Desmodium sandwicense x intortum,Herbaceous_legumes,0.95,2.53,5.29,4.53,0.4,0.69,0.39,0.71,10.51,0.88,7
F26-0031,CIAT-34144,4,1031,Genetic_bank,Vigna radiata,Herbaceous_legumes,1.4,2.59,5.7,8.62,0.51,0.4,0.54,0.95,12.28,1.39,6
F26-0032,CIAT-7934,4,1033,Genetic_bank,Sesbania sesban,Shrub_Trees,0.91,2.53,5.25,7.31,0.36,0.26,0.16,0.67,10.36,1.05,5
F26-0033,CIAT-7937,4,1036,Genetic_bank,Mimosa nuda,Shrub_Trees,1.08,1.76,3.67,8.87,0.75,0.35,0.12,0.45,24.82,1.61,7
F26-0034,CIAT-8056,4,1039,Genetic_bank,Mimosa diplotricha,Shrub_Trees,1.91,3.82,8.02,6.8,0.5,0.52,0.2,1.31,11.36,3.1,5
F26-0035,CIAT-17514,4,1042,Genetic_bank,Mimosa pudica,Shrub_Trees,1.21,3.03,6.28,9.67,0.72,0.39,0.16,0.92,22.62,5.03,7
F26-0036,CIAT-17725,4,1045,Genetic_bank,Mimosa polycarpa,Shrub_Trees,1.26,2.76,5.78,6.61,0.44,0.53,0.04,0.81,17.88,0.74,7
F26-0037,CIAT-18947,4,1048,Genetic_bank,Sesbania sesban,Shrub_Trees,3.02,2.86,6.0,7.88,0.49,0.54,0.34,1.13,7.67,4.36,7
F26-0038,CIAT-19165,4,1051,Genetic_bank,Sesbania keniensis,Shrub_Trees,1.42,2.46,5.09,7.61,0.49,0.49,0.11,0.83,12.18,14.13,7
F26-0039,CIAT-21899,4,1054,Genetic_bank,Sesbania sesban,Shrub_Trees,1.42,1.55,3.2,6.58,0.44,0.59,0.23,0.49,13.32,3.02,7
F26-0040,CIAT-23414,4,1057,Genetic_bank,Codariocalyx motorius,Shrub_Trees,1.57,2.91,6.1,4.09,0.32,0.45,0.36,0.83,12.59,0.2,5
F26-0041,CIAT-23767,4,1060,Genetic_bank,Desmodium nicaraguense,Shrub_Trees,2.7,3.98,8.36,4.82,0.28,0.4,0.21,1.6,5.16,4.74,7
F26-0042-,CIAT-33127,5,1943,Genetic_bank,Codariocalyx motorius,Shrub_Trees,1.0,1.52,3.16,3.65,0.37,0.41,0.35,0.41,5.42,6.93,4
F26-0043,CIAT-43427,5,3,Genetic_bank,Desmodium nicaraguense,Shrub_Trees,1.26,4.34,9.02,3.07,0.21,0.47,0.48,1.92,5.19,3.78,6
F26-0044,CIAT-601,5,5,Genetic_bank,Hyparrhenia rufa,Grass,2.1,2.95,6.35,2.36,0.2,0.25,0.19,0.94,2.87,0.08,6
F26-0045,CIAT-606,5,7,Genetic_bank,Brachiaria decumbens,Grass,1.32,0.57,1.2,5.13,0.32,0.27,0.22,0.33,5.94,0.18,6
F26-0046,CIAT-6038,5,9,Genetic_bank,Sorghum almum,Grass,1.22,3.69,7.85,6.7,0.29,0.18,0.1,1.19,5.85,0.21,6
F26-0047,CIAT-6042,5,11,Genetic_bank,Chloris gayana,Grass,1.1,1.69,3.65,5.77,0.31,0.3,0.16,0.47,6.08,0.11,6
F26-0048,CIAT-6080,5,13,Genetic_bank,Eragrostis curvula,Grass,0.99,1.96,4.07,6.53,0.6,0.33,1.9,2.46,20.87,10.7,12
F26-0049,CIAT-6159,5,15,Genetic_bank,Andropogon gayanus,Grass,1.02,1.7,3.62,4.15,0.27,0.25,0.24,0.34,6.25,0.29,6
F26-0050,CIAT-6235,5,17,Genetic_bank,Andropogon gayanus,Grass,1.09,5.31,11.02,4.43,0.18,0.56,0.24,1.64,3.75,0.18,6
F26-0051,CIAT-6236,5,19,Genetic_bank,Andropogon gayanus,Grass,0.65,2.52,5.4,6.86,0.46,0.31,0.2,0.67,9.92,1.9,6
F26-0052,CIAT-6370,5,21,Genetic_bank,Brachiaria decumbens,Grass,1.34,1.09,2.36,4.67,0.26,0.18,0.19,0.68,5.66,0.58,6
F26-0053,CIAT-6489,5,23,Genetic_bank,Panicum maximum,Grass,1.98,2.82,5.79,3.6,0.16,0.26,0.18,0.76,3.25,0.1,6
F26-0054,CIAT-6590,5,25,Genetic_bank,Panicum maximum,Grass,0.95,1.36,2.88,6.68,0.39,0.16,0.16,0.59,12.99,3.47,6
F26-0055,CIAT-6793,5,27,Genetic_bank,Panicum maximum,Grass,1.27,3.18,6.76,2.82,0.16,0.34,0.23,0.99,3.01,0.15,6
F26-0056,CIAT-6817,5,29,Genetic_bank,Panicum maximum,Grass,1.11,2.74,5.85,4.91,0.31,0.31,0.22,1.01,8.96,0.79,6
F26-0057,CIAT-6901,5,31,Genetic_bank,Panicum maximum,Grass,1.07,1.79,3.84,3.48,0.19,0.28,0.23,0.8,5.61,0.31,6
F26-0058,CIAT-16076,5,33,Genetic_bank,Pennisetum purpureum,Grass,1.32,2.37,5.17,6.76,0.48,0.39,0.32,1.07,8.29,2.22,6
F26-0059,CIAT-16081,5,35,Genetic_bank,Paspalum secans,Grass,1.01,3.31,7.07,2.93,0.18,0.29,0.31,1.0,6.71,4.99,8
F26-0060,CIAT-16082,5,37,Genetic_bank,Paspalum guenoarum,Grass,2.24,2.57,5.45,3.25,0.25,0.35,0.37,0.83,6.54,0.47,6
F26-0061,CIAT-16215,5,39,Genetic_bank,Brachiaria lachnantha,Grass,1.42,3.84,8.13,4.2,0.39,0.43,0.65,0.82,9.81,388.8,6
F26-0062,CIAT-16234,5,41,Genetic_bank,Echinochloa pyramidalis,Grass,2.14,4.06,8.69,2.76,0.21,0.21,0.34,0.89,3.27,0.32,6
F26-0063,CIAT-16254,5,1785,Genetic_bank,Hyparrhenia hirta,Grass,1.51,5.29,10.96,4.54,0.17,0.58,0.16,1.47,3.4,18.41,6
F26-0064,CIAT-16287,5,45,Genetic_bank,Echinochloa haploclada,Grass,0.9,1.2,2.6,7.79,0.44,0.35,0.29,0.48,6.77,0.22,6
F26-0065,CIAT-16309,5,49,Genetic_bank,Brachiaria brizantha,Grass,0.82,3.25,6.86,2.66,0.16,0.45,0.19,1.0,2.63,0.12,6
F26-0066,CIAT-16379,5,1787,Genetic_bank,Panicum maximum,Grass,2.01,1.46,3.07,2.45,0.17,0.28,3.74,5.24,15.24,0.74,6
