id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3510,CIAT-20298,1,329.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.09,0.75,0.75,0.0,0.35,0.65,2
F24-3511,CIAT-20305,1,331.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.06,0.71,0.71,0.0,6.44,1.67,2
F24-3512,CIAT-20803,1,333.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.09,0.6,0.6,0.0,2.12,2.06,2
F24-3513,CIAT-21031,1,335.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,0.05,1.0,1.0,0.0,0.35,1.26,2
F24-3514,CIAT-21128,1,337.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,0.01,2.58,2.58,0.0,0.16,15.03,2
F24-3515,CIAT-21212,1,339.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,0.01,1.61,1.61,0.07,0.98,11.25,2
F24-3516,CIAT-21263,1,341.0,Genetic_bank,Sesbania rostrata,Shrub_Trees,0.06,1.73,1.73,0.0,0.05,1.43,2
F24-3517,CIAT-21514,1,343.0,Genetic_bank,Desmanthus virgatus,Shrub_Trees,0.07,1.25,1.25,0.0,0.72,1.67,2
F24-3518,CIAT-21565,1,345.0,Genetic_bank,Chamaecrista rotundifolia,Herbaceous_legumes,0.07,0.08,0.08,0.0,0.07,2.84,2
F24-3519,CIAT-21709,1,347.0,Genetic_bank,Crotalaria juncea,Shrub_Trees,0.09,0.01,0.01,0.0,0.91,2.03,2
F24-3520,CIAT-22286,1,349.0,Genetic_bank,Crotalaria micans,Shrub_Trees,0.04,0.01,0.01,0.0,0.46,2.17,2
F24-3521,CIAT-22475,1,351.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,0.13,0.08,0.08,0.0,1.1,1.13,2
F24-3522,CIAT-22481,1,353.0,Genetic_bank,Sesbania cochinchinensis,Shrub_Trees,0.08,0.2,0.2,0.0,1.32,2.59,2
F24-3523,CIAT-22520,1,355.0,Genetic_bank,Arachis pusilla,Herbaceous_legumes,0.13,0.48,0.48,0.0,0.31,0.18,2
F24-3524,CIAT-22570,1,357.0,Genetic_bank,Desmanthus bicornutus,Shrub_Trees,0.07,0.04,0.04,0.0,0.16,1.44,2
F24-3525,CIAT-22594,1,359.0,Genetic_bank,Desmanthus pernambucanus,Shrub_Trees,0.06,0.0,0.0,0.0,0.36,1.77,2
F24-3526,CIAT-22754,1,361.0,Genetic_bank,Lablab purpureus,Herbaceous_legumes,0.09,0.01,0.01,0.0,0.93,0.82,2
