id_lab,id,subset,no,requisitioner,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,n_replicates_nutrition
F24-3480,CIAT-17775,1,219.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,94.3,10.72,89.28,16.05,26.04,54.97,2
F24-3481,CIAT-18016,1,221.0,Genetic_bank,Sesbania emerus,Shrub_Trees,93.22,7.68,92.32,24.16,28.12,56.38,2
F24-3482,CIAT-18044,1,223.0,Genetic_bank,Christia sp.,Herbaceous_legumes,93.67,14.44,85.56,21.0,22.69,54.68,2
F24-3483,CIAT-18288,1,225.0,Genetic_bank,Sesbania exasperata,Shrub_Trees,92.91,8.89,91.11,23.18,27.95,51.1,2
F24-3484,CIAT-18447,1,227.0,Genetic_bank,Clitoria ternatea,Herbaceous_legumes,92.93,7.5,92.5,29.41,26.2,54.05,2
F24-3485,CIAT-18455,1,229.0,Genetic_bank,Christia obcordata,Herbaceous_legumes,93.2,14.45,85.55,21.77,22.27,52.43,2
F24-3486,CIAT-18707,1,231.0,Genetic_bank,Crotalaria pallida,Herbaceous_legumes,92.83,7.44,92.56,37.5,22.03,51.93,2
F24-3487,CIAT-18749,1,233.0,Genetic_bank,Arachis pintoi,Herbaceous_legumes,92.7,14.32,85.68,21.13,27.42,51.53,2
F24-3488,CIAT-18813,1,235.0,Genetic_bank,Crotalaria nitens,Herbaceous_legumes,91.8,16.91,83.09,17.16,28.69,52.37,2
F24-3489,CIAT-18848,1,237.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,94.43,24.5,75.5,19.99,28.13,48.33,2
F24-3490,CIAT-18862,1,239.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,93.07,16.36,83.65,24.58,21.72,49.43,2
F24-3491,CIAT-18931,1,241.0,Genetic_bank,Tephrosia linearis,Shrub_Trees,93.54,10.78,89.22,28.56,19.07,61.09,2
F24-3492,CIAT-19038,1,243.0,Genetic_bank,Canavalia sp.,Herbaceous_legumes,90.17,16.04,83.96,23.78,17.61,47.65,2
F24-3493,CIAT-19118,1,245.0,Genetic_bank,Alysicarpus rugosus,Herbaceous_legumes,92.92,11.39,88.61,22.8,24.18,44.31,2
