gene_bank_breeding_id,tax_name,functional_group,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,ch4_intensity_decrease_percentage,benchmark_vs_control,ch4_intensity_category,tddm_category,score_ch4_intensity,score_tddm,composite_score,x,overall_rank,selected,ch4_percentage_8h_reduction_percentage,ch4_percentage_24h_reduction,top_10_percentage_of_methane_emitters
Gene bank / Breeding ID,Tax Name,"Functional 
Group",CH4% (8h),CH4% (24h),"CH4 Intensity 
[ml/g TDDM]",TDDM [mg/g],CH4 Intensity  Decrease%,Benchmark vs. Control,"CH4 Intensity 
Category","TDDM 
Category","Score
CH4 Intensity","Score
TDDM","Composite 
Score",,"Overall 
Rank",Selected,"CH4% (8h)
Reduction%","CH4% (24h)
Reduction%",Top 10% of methane emitters
CIAT-9170,Indigofera lespedezioides,Herbaceous legume,15.11666667,16.69472255,38.19553322,42.54084717,0.45,,Low,Not High,0,0,0,-99,0,0,-0.081,-0.066,
CIAT-9189,Indigofera suffruticosa,Herbaceous legume,14.5,16.19205144,56.32020868,47.16428563,0.19,,High,Not High,0,0,0,-99,0,0,-0.037,-0.034,
CIAT-923,Galactia latisiliqua,Climber,13.075,14.00956259,60.23094275,28.41151467,0.13,,High,Not High,0,0,0,-99,0,0,0.065,0.105,
CIAT-9254,Crotalaria pallida,Herbaceous legume,18.25,20.75754558,52.28725409,59.57930489,0.24,,Medium,Not High,0,0,0,-99,0,0,-0.305,-0.326,
CIAT-9283,Crotalaria pallida,Herbaceous legume,18.13333333,20.82296494,50.82738418,60.12428941,0.27,,Medium,High,0,0,0,-99,0,0,-0.297,-0.33,
CIAT-9288,Indigofera suffruticosa,Shrub,19.38333333,22.65560954,49.11286706,68.01798625,0.29,,Medium,High,0,0,0,-99,0,0,-0.386,-0.447,
CIAT-9323,Crotalaria vitellina,Herbaceous legume,13.17142857,14.46913523,48.63543506,48.33484828,0.3,,Medium,Not High,0,0,0,-99,0,0,0.058,0.076,
CIAT-9336,Clitoria ternatea,Climber,18.63333333,20.19289758,50.58015917,69.14500974,0.27,,Medium,High,0,0,0,-99,0,0,-0.333,-0.29,
CIAT-9349,Mucuna pruriens,Climber,17.35,18.52022148,43.23141221,56.47175531,0.38,,Low,Not High,0,0,0,-99,0,0,-0.241,-0.183,
CIAT-9356,Tephrosia noctiflora,Herbaceous legume,18.7,20.48123332,49.48299954,53.76858584,0.28,,Medium,Not High,0,0,0,-99,0,0,-0.337,-0.308,
CIAT-9432,Clitoria ternatea,Climber,17.36,18.90480266,57.23559994,50.86955404,0.17,,High,Not High,0,0,0,-99,0,0,-0.241,-0.207,
CIAT-9433,Clitoria ternatea,Climber,17.95,19.36220051,46.43060189,61.81659761,0.33,,Medium,High,0,0,0,-99,0,0,-0.284,-0.237,
CIAT-9434,Clitoria ternatea,Climber,14.36666667,15.85424307,46.5095975,51.78237038,0.33,,Medium,Not High,0,0,0,-99,0,0,-0.027,-0.012,
