subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,543,Breeding,F24-3590,ABC-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,81.0,39.01404783,80.27748783,5.110840266,10.92898531,13.1,13.61401011,168.3592378,97.7603438,35.68967693,64.22149378
1,544,Breeding,F24-3590,ABC-BR-19-0423,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,82.0,39.45655121,74.79044595,5.129351657,10.11143082,13,13.51968248,156.8830957,141.9403598,38.06624141,55.71891424
1,545,Breeding,F24-3591,ABC-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,1,83.0,32.37649716,68.7724,4.500333105,9.668551309,13.9,14.05876676,143.5429002,89.69385035,36.77556486,54.87437545
1,546,Breeding,F24-3591,ABC-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,2,84.0,29.72147689,68.7724,4.250171196,10.45926797,14.3,15.20852547,143.6002829,104.3156573,40.96605314,53.31117823
1,547,Breeding,F24-3591,ABC-CIAT-6962,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,3,85.0,32.37649716,70.09991014,4.532709602,10.71934933,14,15.29153077,146.2844738,108.429849,42.20171944,53.00526999
1,548,Breeding,F24-3592,ABC-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,1,86.0,34.14651067,78.9499777,4.678071962,11.08496775,13.7,14.0404951,163.1914426,88.4208832,34.45880938,66.49355247
1,549,Breeding,F24-3592,ABC-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,2,87.0,35.91652418,76.29495743,4.884647289,10.61838481,13.6,13.91754471,157.7664975,97.19249695,34.75806108,63.17159857
1,550,Breeding,F24-3592,ABC-Mulato-II,Poales,Poaceae,Urochloa,interespecifico,Brachiaria interespecifico,Grass,4,11,2,3,88.0,35.47402081,76.73746081,4.718044767,10.61871669,13.3,13.83772225,158.649817,98.13199144,34.87368362,62.95154036
1,551,Breeding,F24-3593,ABC-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,1,89.0,32.37649716,67.88739325,4.662215591,9.84680642,14.4,14.50461706,141.4091016,117.2323237,39.24938786,52.2577543
1,552,Breeding,F24-3593,ABC-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,2,90.0,34.14651067,72.75493041,4.814658005,11.2622641,14.1,15.47972631,151.4875622,114.664551,42.47186487,55.21269219
1,553,Breeding,F24-3593,ABC-PM-21-0215,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,3,91.0,33.70400729,69.21490338,4.718561021,10.61336977,14,15.33393713,144.0302683,125.591385,42.19054096,52.34706713
1,554,Breeding,F24-3594,ABC-PM-21-0631,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,1,92.0,40.78406134,77.62246757,5.46506422,11.72759328,13.4,15.10850356,160.2880596,139.578904,44.44483018,54.48806327
1,555,Breeding,F24-3594,ABC-PM-21-0631,Poales,Poaceae,Megathyrsus,maximus,Megathyrsus maximus,Grass,4,11,2,2,93.0,38.57154445,77.17996419,5.245730046,11.69333614,13.6,15.15074056,159.3106174,113.4802258,41.324736,58.40748342
