id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
0,Morex - HB2032,Grass,12.6,14.3,12.6,86.29
0,Alanda/5/Aths/4/Pro/TolI//Cer*2/TolI/3/5106/6/Baca'S'/3/AC253//CI08887/CI05761/7/IG 145502/8/LAMOLINA96/FALCON-BAR,Grass,13.06,14.87,13.06,87.73
0,Rosalind/IG 1074426,Grass,12.51,14.37,12.51,88.2
0,SLB 15-05/4/H.spont.96-3/3/Roho//Alger/Ceres362-1-1/5/Furat-2,Grass,12.39,13.9,12.39,84.79
0,Arta/3/Hml-02//Esp/1808-4L/4/ArabiAbiad/Arar//H.spont.41-5/Tadmor/5/Rihane 03,Grass,11.97,13.62,11.97,80.03
0,ArabiAbiad/Arar//H.spont.41-5/Tadmor/3/Zanbakian/4/HARMAL,Grass,12.63,14.41,12.63,85.29
0,V Morales,Grass,13.3,14.6,13.3,84.41
0,Ksaiba,Grass,12.64,14.2,12.64,78.76
0,COCKTAIL/DWRB150,Grass,13.03,14.51,13.03,80.18
0,SLB21-81/SLB22-74//Soffet no.9,Grass,13.33,14.79,13.33,80.9
0,Emir - A17/1,Grass,14.4,15.65,14.4,36.23
0,GP - A17/1,Grass,17.78,17.4,17.78,51.11
0,Baudin/IG 38821,Grass,16.97,16.19,16.97,46.87
0,Emir,Grass,15.91,15.64,15.91,45.95
0,Morex - HB2032,Grass,16.0,16.02,16.0,48.19
0,Morex - HB2032,Grass,16.89,16.34,16.89,39.09
0,Manal,Grass,14.1,15.27,14.1,52.53
0,Emir - A17/1,Grass,15.26,16.23,15.26,48.16
0,ArabiAbiad/Arar//H.spont.41-5/Tadmor/3/Zanbakian/4/Furat-3,Grass,14.27,14.38,14.27,47.12
0,Emir - HB2032,Grass,14.23,15.74,14.23,46.6
0,Emir - A17,Grass,14.37,15.68,14.37,35.5
0,Alanda-01,Grass,14.14,15.64,14.14,46.55
0,Tadmor//ER/Apm/3/H.spont.38-3/Akrash-01/4/Furat-1,Grass,19.01,17.73,19.01,47.8
0,H.spont.41-3/SLB34-40/7/Lignee527//Bahtim/DL71/3/Api/CM67//Mzq/5/Alanda-01/4/WI2291/3/Api/CM67//L2966-69/6/Lignee527/Chn-01//Arar/Rhn-03,Grass,14.44,15.74,14.44,37.44
0,Taffa,Grass,14.33,15.42,14.33,37.82
0,Aths/Lignee686/4/Avt/Attiki//Aths/3/Giza121/Pue/6/Lignee527/Chn-01//Alanda/5/Arizona5908/Aths//Avt/Attiki/3/S.T.Barley/4/Aths/Lignee686,Grass,14.12,14.84,14.12,34.74
0,PL172/AMALOU,Grass,14.84,16.05,14.84,37.86
0,CANELA//LIMON/BICHY2000/3/MOMTAZ,Grass,15.21,16.26,15.21,38.39
0,DWRB101/3/6B89.2027/CHAMICO//TRADITION,Grass,14.82,15.94,14.82,32.9
0,Emir - A17,Grass,15.96,15.31,15.96,46.01
0,Tadmor//ER/Apm/3/H.spont.38-3/Akrash-01/4/ATAHUALPA,Grass,14.31,14.74,14.31,48.22
0,Morex - 2920/4,Grass,14.47,14.11,14.47,45.06
0,GP - 2920/4,Grass,13.93,14.54,13.93,55.63
0,GP - 2920/4,Grass,13.92,14.6,13.92,50.81
0,Morex - 2920/4,Grass,15.77,15.3,15.77,34.51
0,GoldMarker,Grass,17.97,17.02,17.97,46.68
0,Khnata,Grass,18.65,17.25,18.65,42.74
0,Morex - HB2032,Grass,14.02,14.5,14.02,47.39
0,Emir - A17/1,Grass,16.39,15.91,16.39,42.44
0,Emir - A17/1,Grass,16.21,16.03,16.21,46.59
0,Arta/3/Hml-02//Esp/1808-4L/4/ArabiAbiad/Arar//H.spont.41-5/Tadmor/5/Furat-3,Grass,14.02,15.37,14.02,36.25
0,Emir - 3811/5,Grass,13.93,15.41,13.93,46.56
0,PETUNIA2/M111//QUINA/M112/3/IG 144951,Grass,14.96,15.5,14.96,40.23
0,ESMERALDA/3/SLLO/ROBUST//QUINA/4/M104/5/Momtaz,Grass,15.36,16.04,15.36,46.65
0,Arta/3/Legia/Laurel'S//Aleli/4/Arar/H.spont.19-15//Hml/3/H.spont.41-1/Tadmor/5/Zanbakian/6/Arta/WI3167,Grass,19.3,17.99,19.3,40.48
0,Alanda/5/Aths/4/Pro/TolI//Cer*2/TolI/3/5106/6/Baca'S'/3/AC253//CI08887/CI05761/7/IG 145155/8/Baudin,Grass,19.25,17.66,19.25,42.78
