id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
12188,Centrosema brasilianum,Herbaceous_legumes,10.93,18.25,39.04,59.84
12201,Centrosema brasilianum,Herbaceous_legumes,11.17,18.03,47.27,60.5
12250,Grona adscendens    ,Herbaceous_legumes,6.63,4.83,11.95,46.54
12430,Stylosanthes macrocephala,Herbaceous_legumes,7.85,17.62,43.42,61.78
12528,Trifolium tembense ,Herbaceous_legumes,11.47,14.52,43.56,63.9
12654,Vigna unguiculata,Herbaceous_legumes,8.88,17.0,41.84,82.29
12655,Vigna unguiculata,Herbaceous_legumes,9.0,19.02,37.38,84.96
12688,Vigna unguiculata,Herbaceous_legumes,9.02,17.02,40.88,77.94
12726,Vigna unguiculata,Herbaceous_legumes,7.77,15.42,37.07,71.82
12935,Rhynchosia sp.,Herbaceous_legumes,8.97,14.95,32.73,60.79
12943,Vigna sp.,Herbaceous_legumes,9.42,15.98,32.6,68.56
13212,Rhynchosia sp.,Herbaceous_legumes,9.65,18.78,37.13,61.18
13284,Cenchrus ciliaris,Grass,7.94,13.07,36.2,49.95
13319,Ornithopus compressus,Herbaceous_legumes,8.15,14.6,41.76,75.96
13326,Vicia Villosa,Herbaceous_legumes,10.57,14.08,33.48,67.26
13699,Lablab purpureus  ,Herbaceous_legumes,6.88,18.5,39.78,82.4
13703,Lablab purpureus  ,Herbaceous_legumes,7.22,18.5,41.47,78.45
13776,Neonotonia wightii,Herbaceous_legumes,9.73,18.12,54.5,62.17
13787,Calpurnia aurea    ,Shrub_Trees,8.15,13.47,41.37,77.35
13946,Stylosanthes fruticosa,Herbaceous_legumes,6.52,12.43,37.16,60.92
13950,Stylosanthes fruticosa,Herbaceous_legumes,8.0,17.67,45.04,65.93
13951,Stylosanthes fruticosa,Herbaceous_legumes,8.1,17.15,46.21,58.94
14197,Leucaena pulverulenta    ,Shrub_Trees,5.85,4.42,7.68,43.43
14202,Leucaena trichandra,Shrub_Trees,5.68,5.28,9.53,50.57
14203,Leucaena pallida,Shrub_Trees,5.33,12.87,25.66,63.51
14342,Leucaena leucocephala,Shrub_Trees,5.25,13.3,23.26,64.24
14371,Desmanthus covillei,Shrub_Trees,9.9,15.07,34.1,63.94
14390,Desmanthus acuminatus,Shrub_Trees,6.62,8.63,18.68,55.52
14413,Lablab purpures,Herbaceous_legumes,8.78,16.37,43.38,63.95
14417,Lablab purpureus,Herbaceous_legumes,6.37,17.37,38.82,74.01
14421,Lablab  purpureus,Herbaceous_legumes,7.68,15.97,32.76,81.85
14423,Lablab purpureus,Herbaceous_legumes,6.12,16.29,37.47,72.13
14438,Lablab purpureus,Herbaceous_legumes,7.66,17.06,44.28,66.57
14445,Lablab purpureus,Herbaceous_legumes,6.92,16.61,41.75,64.91
14447,Lablab purpures,Herbaceous_legumes,9.09,16.86,41.7,66.4
14449,Lablab purprues ,Herbaceous_legumes,7.22,17.53,39.71,74.15
14458,Lablab purpures,Herbaceous_legumes,8.47,16.48,43.42,64.33
14485,Lablab purpureus,Herbaceous_legumes,7.97,16.29,40.9,64.84
14486,Lablab purpures,Herbaceous_legumes,9.02,16.1,42.31,61.06
14501,Gliricidia sepium,Shrub_Trees,8.38,13.98,31.52,71.92
