subset,id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
1,F25-0823,ILRI 6529 2 119707,Labalab purpureues,Herbaceous_legumes,14.3,16.17,52.52,58.47
1,F25-0825,ILRI 6984 4 119709,Medicago sativa,Herbaceous_legumes,15.0,17.11,49.15,58.04
1,F25-0868,ILRI 70 47 120164,Leucaena leucocephala,Shrub_Trees,11.8,14.24,48.94,36.88
1,F25-0839,ILRI 7049 18 119723,Trifolium repens,Herbaceous_legumes,14.17,16.72,44.72,75.71
1,F25-0873,ILRI 7384 52 120169,Chloris gayana,Grass,11.33,15.52,46.37,53.4
1,F25-0863,ILRI-10299-42,Erythrina abyssinica,,14.17,15.24,69.0,23.94
1,F25-0850,ILRI-13946-29,Stylosanthes fructicosa,Herbaceous_legumes,13.9,16.01,59.42,49.35
1,F25-0869,ILRI-16555-48,Cajanus cajan,Browse,13.5,15.73,90.64,21.63
1,F25-0874,ILRI-16791-53,Cenchrus Purpureues,,15.2,16.23,78.0,30.44
1,F25-0867,ILRI-20145-46,Flemingia macrophylla,,13.5,14.76,93.53,12.98
1,F25-0845,ILRI-21682-24,Leucaena pallida,Shrub_Trees,10.6,12.14,55.47,22.24
1,F25-0848,ILRI-2273-27,Trifolium burchellianum,Herbaceous_legumes,10.1,11.34,23.97,41.6
1,F25-0878,ILRI-7153-57,Panicum coloratum,,13.63,12.77,51.49,35.58
1,F25-0873,ILRI-7384-52,Chloris gayana,,12.87,16.89,54.67,47.47
1,F25-0001,Sample 1,Cynodon nlemfuensis ,Grass,14.3,15.43,108.29,26.16
1,F25-0002,Sample 2,Cynodon nlemfuensis ,Grass,14.37,15.49,50.93,47.7
1,F25-0003,Sample 3,Cynodon nlemfuensis ,Grass,14.3,15.41,69.49,33.66
1,F25-0004,Sample 4,Cynodon nlemfuensis ,Grass,14.63,15.44,57.56,41.11
1,F25-0005,Sample 5,Cynodon nlemfuensis ,Grass,14.43,15.46,69.12,33.18
1,F25-0006,Sample 6,Cynodon nlemfuensis ,Grass,14.4,15.61,74.37,31.71
1,F25-0007,Sample 7,Cynodon nlemfuensis ,Grass,14.1,15.0,78.4,28.74
1,F25-0019,Sample 8,Cynodon nlemfuensis ,Grass,16.47,17.76,53.79,40.17
1,nan,nan,,,10.26,13.43,13.04,77.32
2,F24-3636,ABC-11162,Stylosanthes scabra,Herbaceous_legumes,12.44,17.57,59.15,52.92
2,F25-0989,ABC-11833,Stylosanthes guianensis,Herbaceous_legumes,11.63,15.02,63.62,30.51
2,F25-0970,ABC-11998,Stylosanthes guianensis,Herbaceous_legumes,11.18,12.67,44.53,41.13
2,F25-0971,ABC-13149,Desmodium strigillosum,Herbaceous_legumes,13.32,15.82,108.91,25.02
2,F25-0931,ABC-13268,Tadehagi triquetrum,Herbaceous_legumes,11.21,14.72,30.9,38.94
2,F24-3637,ABC-13301,Desmodium sequax,Herbaceous_legumes,14.0,18.83,98.6,20.19
2,F25-0972,ABC-13389,Desmodium sequax,Herbaceous_legumes,12.81,15.56,48.91,21.43
2,F25-0973,ABC-13651,Desmodium heterocarpon,Herbaceous_legumes,13.13,14.94,133.49,26.57
2,F25-0942,ABC-13692,Desmodium velutinum,Shrub_Trees,15.48,19.09,56.63,40.73
2,F25-0974,ABC-13946,Desmodium sequax,Herbaceous_legumes,11.33,13.91,129.27,11.35
2,F24-3540,ABC-1467,Stylosanthes hamata,Herbaceous_legumes,13.24,16.27,111.33,30.52
2,F24-3541,ABC-1475,Stylosanthes hamata,Herbaceous_legumes,13.28,16.36,114.49,27.32
2,F25-0943,ABC-15121,Centrosema macrocarpum,Herbaceous_legumes,13.6,17.31,59.58,44.38
2,F25-0944,ABC-15150,Centrosema molle,Herbaceous_legumes,13.48,15.02,48.67,43.89
2,F25-0945,ABC-15154,Centrosema molle,Herbaceous_legumes,13.42,14.96,50.54,34.19
2,F25-0975,ABC-15160,Centrosema molle,Herbaceous_legumes,13.49,15.0,69.41,30.56
2,F24-3638,ABC-15401,Centrosema brasilianum,Herbaceous_legumes,13.79,18.57,58.85,45.72
2,F25-0930,ABC-15470,Centrosema molle,Herbaceous_legumes,13.77,15.56,40.38,45.55
2,F25-0929,ABC-15474,Centrosema molle,Herbaceous_legumes,13.05,13.16,35.27,47.0
2,F25-0946,ABC-15561,Centrosema molle,Herbaceous_legumes,13.33,16.64,45.05,43.99
2,F25-0947,ABC-15799,Centrosema macrocarpum,Herbaceous_legumes,13.26,15.39,37.78,47.56
2,F25-0948,ABC-15816,Centrosema acutifolium,Herbaceous_legumes,13.5,17.07,47.5,46.2
2,F24-3542,ABC-1650,Stylosanthes guianensis,Herbaceous_legumes,12.92,15.36,57.45,39.43
2,F25-0976,ABC-17000,Chamaecrista rotundifolia,Herbaceous_legumes,5.08,14.01,41.66,39.43
2,F25-0977,ABC-17009,Canavalia brasiliensis,Herbaceous_legumes,13.88,19.1,64.87,47.23
2,F24-3543,ABC-1706,Stylosanthes humilis,Herbaceous_legumes,13.0,15.98,119.18,32.95
2,F24-3539,ABC-172,Stylosanthes hamata,Herbaceous_legumes,13.22,15.78,123.41,29.33
2,F24-3544,ABC-1727,Stylosanthes humilis,Herbaceous_legumes,11.83,16.69,64.29,36.15
2,F24-3639,ABC-17360,Alysicarpus vaginalis,Herbaceous_legumes,15.82,18.42,40.0,62.7
2,F24-3640,ABC-17768,Clitoria ternatea,Herbaceous_legumes,14.83,17.67,54.62,62.31
2,F24-3641,ABC-18004,Chamaecrista rotundifolia,Herbaceous_legumes,13.81,17.47,53.53,58.72
2,F24-3545,ABC-1803,Stylosanthes humilis,Herbaceous_legumes,14.73,16.27,141.13,29.01
2,F24-3642,ABC-18430,Alysicarpus vaginalis,Herbaceous_legumes,15.38,18.33,46.1,62.24
2,F25-0983,ABC-18437,Flemingia macrophylla,Shrub_Trees,12.13,14.32,80.16,17.68
2,F25-0978,ABC-18700,Cajanus cajan,Shrub_Trees,14.0,17.27,81.31,26.24
2,F25-0934,ABC-18701,Cajanus cajan,Shrub_Trees,13.36,16.87,54.17,31.19
2,F24-3644,ABC-18708,Crotalaria pallida,Herbaceous_legumes,15.06,19.79,49.94,59.88
2,F24-3645,ABC-18850,Alysicarpus rugosus,Herbaceous_legumes,15.3,16.67,41.53,58.68
