32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibillity_in_24h,32_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks
74,45789,Genetic bank,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3632,14,34,1,1,76,0.5592,0.8851,,0.3259,139.27184,29.9398691,181.9287066,-143.9712934,-79.13610559,
75,45789,Genetic bank,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3632,14,34,1,2,77,0.5788,0.9314,,0.3526,112.47888,24.18490386,181.89235,-170.70765,-93.8509234,
76,45789,Genetic bank,ABC-7991,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3632,14,34,1,3,78,0.574,0.8244,,0.2504,214.4,46.12736661,181.78328,-68.61672,-37.74644181,
77,45789,Genetic bank,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3633,14,34,1,1,79,0.5735,0.783,,0.2095,254.14562,54.8146276,213.1378915,3.637891514,1.706825327,
78,45789,Genetic bank,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3633,14,34,1,2,80,0.5702,0.8265,,0.2563,207.53093,44.74279669,213.2230785,-43.07692148,-20.20274812,
79,45789,Genetic bank,ABC-8202,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,F24-3633,14,34,1,3,81,0.5919,0.8484,,0.2565,207.052965,44.66651723,213.095298,-43.40470199,-20.36868124,
80,45789,Genetic bank,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3634,14,34,1,1,82,0.5802,0.766,,0.1858,275.601675,59.73139889,181.81533,-3.984669966,-2.191602856,
81,45789,Genetic bank,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3634,14,34,1,2,83,,,,,,,,,,
82,45789,Genetic bank,ABC-9189,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24-3634,14,34,1,3,84,0.5691,0.7852,,0.2161,245.117225,53.14572217,181.7426475,-34.35735249,-18.90439749,
83,45789,Genetic bank,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3635,14,34,1,1,85,0.5962,0.7926,"Bolsa abierta, perdida de muestra",0.1964,257.697295,56.74935699,216.4908854,20.09088539,9.280245381,"Bolsa abierta, perdida de muestra"
84,45789,Genetic bank,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3635,14,34,1,2,86,0.5891,0.8679,,0.2788,175.38806,38.61573552,216.5341576,-62.2658424,-28.7556675,
85,45789,Genetic bank,ABC-9434,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24-3635,14,34,1,3,87,0.5774,0.794,,0.2166,237.678825,52.32003165,216.5774298,-0.022570181,-0.010421299,
86,45789,Genetic bank,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,F24-3636,14,34,1,1,89,0.5786,0.8268,,0.2482,209.349365,45.75448706,235.1574961,-13.04250386,-5.546284542,
87,45789,Genetic bank,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,F24-3636,14,34,1,2,90,0.5585,0.8196,,0.2611,196.54082,42.946523,235.2044994,-25.89550056,-11.00978112,
88,45789,Genetic bank,ABC-11162,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,F24-3636,14,34,1,3,91,0.5813,0.7517,,0.1704,287.332275,62.77299869,235.2515027,64.85150274,27.56688139,
89,45789,Genetic bank,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3637,14,34,1,1,92,0.5996,0.958,,0.3584,104.91285,22.64406221,272.0109742,-86.38902576,-31.75938986,
90,45789,Genetic bank,ABC-13301,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Herbaceous,F24-3637,14,34,1,2,93,0.5917,1.0194,,0.4277,35.33514,7.631200518,271.8479307,-155.8520693,-57.33060719,
