"id_lab","net_gas_8h_ml","net_gas_8h_ml_SE","net_gas_24h_ml","net_gas_24h_ml_SE","ch4_8h_ml","ch4_8h_ml_SE","ch4_24h_ml","ch4_24h_ml_SE","ch4_percentage_in_gas_8h","ch4_percentage_in_gas_8h_SE","ch4_percentage_in_gas_24h","ch4_percentage_in_gas_24h_SE","gas_ml_g_dm_incubated_24h","gas_ml_g_dm_incubated_24h_SE","ch4_ml_g_ndf_digested_24h","ch4_ml_g_ndf_digested_24h_SE","methane_intensity","methane_intensity_SE","tddm","tddm_SE"
"F25-2098",29.2616300529832,1.21192245565369,71.9056591500256,2.50858881773146,3.92873142325636,0.169447633459445,10.7938323156217,0.415554257700546,13.4970283730372,0.22821319006166,15.9908541776445,0.193178010326506,144.856624506053,5.65212739742746,13.6876779658342,13.1517964891478,36.7840806496104,40.5203216727131,49.4549449503788,6.43189968835223
"F25-2099",29.4828817429832,1.21192245565369,72.9381670333589,2.50858881773146,4.01143038808969,0.169447633459445,11.018711301955,0.415554257700546,13.6636950397039,0.22821319006166,16.0075208443112,0.193178010326506,143.29833277272,5.65212739742746,11.2319215416675,13.1517964891478,45.3557484496104,40.5203216727131,46.7727716867121,6.43189968835223
"F25-2100",30.9578930029832,1.21192245565369,72.7169153433589,2.50858881773146,4.17663164908969,0.169447633459445,11.0578175401217,0.415554257700546,13.5470283730372,0.22821319006166,16.3741875109778,0.193178010326506,140.72764972272,5.65212739742746,4.70882673100085,13.1517964891478,14.8239790162771,40.5203216727131,48.1216367190455,6.43189968835223
"F25-2101",29.2616300513165,1.21192245565369,67.9231287483589,2.50858881773146,3.94566946908969,0.169447633459445,10.5989439956217,0.415554257700546,13.5470283730372,0.22821319006166,17.1575208443112,0.193178010326506,133.861262439386,5.65212739742746,-10.7052018699991,13.1517964891478,45.8690310496104,40.5203216727131,37.8121467668788,6.43189968835224
"F25-2102",31.6216480696499,1.21192245565369,74.4131782916923,2.50858881773146,4.15074520142302,0.169447633459445,11.005543140955,0.415554257700546,13.1636950397039,0.22821319006166,15.8908541776445,0.193178010326506,146.720105356053,5.65212739742746,-1.76146198016581,13.1517964891478,53.808572971277,40.5203216727131,43.6769570777121,6.43189968835223
"F25-2103",31.5478975079832,1.21192245565369,73.0856681583589,2.50858881773146,4.11903245925636,0.169447633459445,10.8446304756217,0.415554257700546,13.1136950397039,0.22821319006166,16.0741875109778,0.193178010326506,140.21431707272,5.65212739742746,8.22024315616752,13.1517964891478,-0.711650680389624,40.5203216727131,48.0652287238788,6.43189968835223
"F25-2104",35.4314764973336,1.25992254342097,77.692098952765,2.62444987336078,4.310133207449,0.175399980391594,10.7478636358313,0.431772817797924,12.2618404379199,0.237700092794281,15.1153266915714,0.196796037558787,148.384264963204,5.90451273447139,-0.604482727867264,13.3930412269422,-4.36296376591991,42.2422418959298,51.1959556375439,6.69895739790136
"F25-2105",33.8341649579832,1.21192245565369,75.224434483359,2.50858881773146,4.11158365242302,0.169447633459445,10.379824925955,0.415554257700546,12.2136950397039,0.22821319006166,15.0075208443112,0.193178010326506,144.939521806053,5.65212739742746,-1.6668744241658,13.1517964891478,-0.496033680389587,40.5203216727131,51.5009090905455,6.43189968835223
"F25-2106",35.0879245313165,1.21192245565369,76.5519446183589,2.50858881773146,4.37484857892302,0.169447633459445,10.623357890955,0.415554257700546,12.5303617063706,0.22821319006166,14.9241875109778,0.193178010326506,147.439048189386,5.65212739742746,-18.9887380274991,13.1517964891478,27.2580209879437,40.5203216727131,41.2744303405455,6.43189968835223
"F25-2107",31.539941610168,1.04933318232563,76.9831955439049,2.12642513802204,3.82905718391044,0.149119663687971,10.5186100146065,0.360538762436997,12.2733954445285,0.196266199626231,14.7918600545569,0.180870106832594,156.49235871258,4.8150398921608,30.4534371666675,10.7383968664465,55.5577831152779,34.7531969137203,60.7466009605192,5.53415945436231
