subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,Genetic bank,127,F24-3434,CIAT-7292,2,Fabales,Fabaceae,Chamaecrista,desvauxii,Chamaecrista desvauxii,Herbaceous_legumes,5,92.0,9.42,90.58,31.83,44.14,59.53
1,Genetic bank,129,F24-3435,CIAT-7317,2,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,5,92.45,19.06,80.94,23.88,24.73,52.26
1,Genetic bank,131,F24-3436,CIAT-7322,2,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,5,89.37,15.19,84.81,21.52,18.16,47.54
1,Genetic bank,133,F24-3437,CIAT-7339,2,Fabales,Fabaceae,Indigofera,lespedezioides,Indigofera lespedezioides,Herbaceous_legumes,5,91.99,16.46,83.54,24.97,42.71,57.94
1,Genetic bank,135,F24-3438,CIAT-7469,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,5,92.16,8.09,91.91,26.37,22.54,60.53
1,Genetic bank,7,F24-3419,CIAT-749,2,Fabales,Fabaceae,Crotalaria,juncea,Crotalaria juncea,Herbaceous_legumes,1,91.75,11.55,88.45,27.95,28.75,51.0
1,Genetic bank,137,F24-3439,CIAT-7643,4,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,5,93.82,7.35,92.65,22.49,37.8,66.98
1,Genetic bank,9,F24-3420,CIAT-768,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,92.17,8.7,91.3,29.46,25.73,54.21
1,Genetic bank,139,F24-3440,CIAT-7703,2,Fabales,Fabaceae,Aeschynomene,indica,Aeschynomene indica,Herbaceous_legumes,5,91.95,8.85,91.15,22.08,32.1,67.29
1,Genetic bank,21,F24-3441,CIAT-7714,4,Fabales,Fabaceae,Alysicarpus,glumaceus,Alysicarpus glumaceus,Herbaceous_legumes,3,93.05,17.46,82.54,20.67,27.79,67.31
1,Genetic bank,11,F24-3421,CIAT-772,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.49,6.18,93.82,18.97,16.74,67.42
1,Genetic bank,23,F24-3442,CIAT-7757,4,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,92.11,8.25,91.75,23.68,21.95,57.24
1,Genetic bank,25,F24-3443,CIAT-7759,4,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,3,93.55,5.87,94.13,18.44,14.68,60.81
1,Genetic bank,27,F24-3444,CIAT-7790,4,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,3,92.13,5.86,94.14,24.76,20.08,67.6
1,Genetic bank,29,F24-3445,CIAT-7792,4,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,3,92.91,8.06,91.94,21.83,23.49,63.97
1,Genetic bank,31,F24-3446,CIAT-7816,4,Fabales,Fabaceae,Indigofera,spicata,Indigofera spicata,Herbaceous_legumes,3,92.5,17.6,82.4,26.04,23.11,54.74
1,Genetic bank,33,F24-3447,CIAT-7858,4,Fabales,Fabaceaee,Crotalaria,incana,Crotalaria incana,Herbaceous_legumes,3,93.18,9.16,90.84,30.23,23.57,60.74
1,Genetic bank,35,F24-3448,CIAT-7972,4,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,3,91.92,17.83,82.17,27.77,23.86,56.09
1,Genetic bank,13,F24-3422,CIAT-819,2,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,1,90.76,17.06,82.94,26.78,26.09,53.05
1,Genetic bank,37,F24-3449,CIAT-8205,4,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.21,14.65,85.35,24.78,26.76,51.2
1,Genetic bank,39,F24-3450,CIAT-8402,4,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,3,92.0,17.72,82.28,26.24,18.99,47.9
1,Genetic bank,41,F24-3451,CIAT-8408,4,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,94.03,6.87,93.13,24.12,38.38,58.64
1,Genetic bank,43,F24-3452,CIAT-8409,4,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,3,91.94,7.66,92.34,26.82,38.02,61.85
1,Genetic bank,45,F24-3453,CIAT-8719,8,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp. ,Herbaceous_legumes,3,93.52,17.12,82.88,22.04,15.95,40.19
1,Genetic bank,47,F24-3454,CIAT-8797,4,Fabales,Fabaceae,Desmanthus,virgatus,Desmanthus virgatus,Shrub_Trees,3,92.9,7.05,92.95,24.5,30.23,59.98
1,Genetic bank,49,F24-3455,CIAT-8819,4,Fabales,Fabaceae,Coursetia,caribaea,Coursetia caribaea,Herbaceous_legumes,3,91.77,13.95,86.05,22.92,19.59,43.99
1,Genetic bank,15,F24-3423,CIAT-905,2,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,1,91.88,14.53,85.47,24.61,17.08,36.56
1,Genetic bank,17,F24-3424,CIAT-913,2,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Shrub_Trees,1,94.77,9.21,90.79,25.18,40.42,60.86
1,Genetic bank,171,F24-3456,CIAT-9170,2,Fabales,Fabaceae,Indigofera,lespedezioides,Indigofera lespedezioides,Herbaceous_legumes,6,93.09,15.38,84.62,20.75,41.99,54.57
1,Genetic bank,173,F24-3457,CIAT-9254,2,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,6,90.83,6.64,93.36,24.65,20.58,55.34
1,Genetic bank,175,F24-3458,CIAT-9283,2,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,6,92.8,8.19,91.81,25.56,15.01,54.16
1,Genetic bank,177,F24-3459,CIAT-9288,2,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,6,93.76,11.91,88.09,27.58,16.46,52.41
1,Genetic bank,179,F24-3460,CIAT-9336,2,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,6,90.39,8.11,91.89,31.66,19.15,48.61
