id_lab,id,tax_name,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
F24-3485,CIAT-18455,Christia obcordata,Herbaceous_legumes,93.2,14.45,85.55,21.77,22.27,52.43,40.14,81.32,174.41,59.86,3.47,15.41,18.54,32.52,54.18,301.16
F24-3486,CIAT-18707,Crotalaria pallida,Herbaceous_legumes,92.83,7.44,92.56,37.5,22.03,51.93,36.7,69.77,150.03,53.89,3.6,16.06,21.49,32.3,60.94,4102.07
F24-3487,CIAT-18749,Arachis pintoi,Herbaceous_legumes,92.7,14.32,85.68,21.13,27.42,51.53,24.41,64.46,139.0,61.12,4.41,11.69,15.84,22.11,36.23,193.52
F24-3488,CIAT-18813,Crotalaria nitens,Herbaceous_legumes,91.8,16.91,83.09,17.16,28.69,52.37,27.31,54.58,118.83,51.23,4.36,13.41,16.45,19.62,38.58,-51.21
F24-3489,CIAT-18848,Alysicarpus rugosus,Herbaceous_legumes,94.43,24.5,75.5,19.99,28.13,48.33,32.97,53.64,113.58,57.17,5.05,14.5,16.9,19.17,34.19,-169.44
F24-3490,CIAT-18862,Alysicarpus rugosus,Herbaceous_legumes,93.07,16.36,83.65,24.58,21.72,49.43,32.72,59.3,127.37,49.62,3.91,15.2,17.3,22.1,44.91,203.33
F24-3491,CIAT-18931,Tephrosia linearis,Shrub_Trees,93.54,10.78,89.22,28.56,19.07,61.09,30.95,58.9,125.87,49.75,3.95,14.06,16.35,20.54,42.05,293.07
F24-3492,CIAT-19038,Canavalia sp.,Shrub_Trees,90.17,16.04,83.96,23.78,17.61,47.65,33.95,69.37,153.76,63.37,4.15,14.78,17.6,27.11,43.52,-75.3
F24-3493,CIAT-19118,Alysicarpus rugosus,Herbaceous_legumes,92.92,11.39,88.61,22.8,24.18,44.31,35.18,69.18,148.82,59.74,4.02,15.71,17.7,26.31,44.5,451.56
F24-3494,CIAT-19127,Alysicarpus rugosus,Herbaceous_legumes,92.25,10.39,89.62,19.5,34.91,57.93,32.38,61.46,133.18,48.76,3.66,15.48,17.96,23.89,49.24,435.96
F24-3495,CIAT-19128,Alysicarpus rugosus,Herbaceous_legumes,92.69,9.45,90.55,17.09,40.01,61.97,31.15,60.03,129.47,46.81,3.62,15.19,17.68,22.87,49.01,275.49
