ch4_ml_g_ndf_digested_24h,CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,category,functional_group
24.46729694,44.1610486,10.71592118,Low,Not High,0.44570444,-3.665508212,0.44570444,42,-117.9822149,#N/A,CIAT-BH-22-0521,45.56346903,13.48196282,29.81120114,Category_2,Grasses
1725.240206,44.13642556,10.67655,Low,Not High,0.444262891,-0.509724601,0.444262891,43,9.655053702,#N/A,CIAT-BR-05-1435,45.58356094,43.48696556,12.35555556,Category_2,Grasses
640.8704309,44.08966948,10.60178904,Low,Not High,0.44152557,0.315825986,0.44152557,44,4.130362741,#N/A,CIAT-BR-19-5029,45.62171297,51.33625139,13.11111111,Category_2,Grasses
152.5872948,43.82887883,10.18479602,Low,Not High,0.426257661,0.14465097,0.426257661,45,-3.311720965,#N/A,CIAT-PM-21-6638,45.83451293,49.70872953,14.12888889,Category_2,Grasses
129.5053665,43.64417808,9.889467476,Low,Not High,0.415444411,0.301147697,0.415444411,46,-2.856746415,#N/A,CIAT-PM-21-3522,45.98522505,51.1966911,14.06666667,Category_2,Grasses
242.3576893,43.28649682,9.317550539,Low,Not High,0.394504069,-0.081047377,0.394504069,47,9.736299157,#N/A,CIAT-BR-19-5381,46.27708582,47.56280308,12.34444444,Category_2,Grasses
510.2473874,43.21431122,9.202128867,Low,Not High,0.390277985,0.255167666,0.390277985,48,1.530508171,#N/A,CIAT-PM-21-6598,46.33598783,50.75951569,13.46666667,Category_2,Grasses
-190.1787592,43.01234119,8.879187497,Low,Not High,0.378453711,0.528909156,0.378453711,49,9.248826425,#N/A,CIAT-BR-12-4400,46.50079133,53.36223349,12.41111111,Category_2,Grasses
165.2034583,42.74826683,8.456943962,Low,Not High,0.362993557,-0.15997491,0.362993557,50,-3.587955513,#N/A,CIAT-PM-21-6529,46.71627074,46.81236479,14.16666667,Category_2,Grasses
605.8043584,42.7408284,8.445050234,Low,Not High,0.362558076,0.372979967,0.362558076,51,-0.744364577,#N/A,CIAT-PM-21-0819,46.72234035,51.87966804,13.77777778,Category_2,Grasses
721.7766048,42.67576746,8.341020596,Low,Not High,0.358749104,0.361471823,0.358749104,52,8.49440434,#N/A,CIAT-BR-15-8887,46.77542878,51.7702493,12.51428571,Category_2,Grasses
172.6019508,42.55043828,8.140624635,Low,Not High,0.351411745,0.216521602,0.351411745,53,-4.725391887,#N/A,CIAT-PM-21-2195,46.87769488,50.39207122,14.32222222,Category_2,Grasses
1363.611606,42.50836097,8.073344816,Low,Not High,0.348948341,0.176906966,0.348948341,54,7.217690043,#N/A,CIAT-BR-19-5877,46.91202913,50.01541762,12.68888889,Category_2,Grasses
146.8583471,42.21879635,7.610343467,Low,Not High,0.331995868,0.28225556,0.331995868,55,-7.690851006,#N/A,CIAT-PM-21-0215,47.14830808,51.01706578,14.72777778,Category_2,Grasses
597.3228571,42.18348918,7.553888819,Low,Not High,0.32992882,-0.052176429,0.32992882,56,7.867653685,#N/A,CIAT-BH-22-4092,47.17711802,47.83730633,12.6,Category_2,Grasses
115.7304904,42.0219808,7.295643874,Low,Not High,0.320473361,0.571266499,0.320473361,57,-6.675282814,#N/A,CIAT-PM-21-3684,47.30890563,53.76496459,14.58888889,Category_2,Grasses
