CH4_Decrease_Pct,Benchmark_vs_Control,CH4_Category,TDDM_Category,Z_Score_CH4,Z_Score_TDDM,Composite_Score,Overall_Rank,CH4_8h_Reduction_Pct,CH4_24h_Reduction_Pct,Accession_ID,CH4_Intensity,TDDM,CH4_8h,CH4_24h,category,functional_group
44.78006425,25.99203655,Low,Not High,1.170652201,-0.672013818,1.170652201,23,-10.74892812,-8.838925423,CIAT-9170,38.19553322,42.54084717,15.11666667,16.69472255,Category_2,Herbaceous_legumes
44.67482099,25.85098533,Low,Not High,1.163321285,-0.529572742,1.163321285,24,18.31198135,22.36616244,CIAT-11998,38.2683298,44.05371141,11.15,11.90819712,Category_2,Herbaceous_legumes
44.22676386,25.25048127,Low,Not High,1.132111026,0.14588894,1.132111026,25,1.74644892,-7.23695347,CIAT-18813,38.57825013,51.22777844,13.41111111,16.44899725,Category_2,Herbaceous_legumes
43.10074076,23.74134014,Low,Not High,1.053675778,0.629288478,1.053675778,26,-1.753884714,-0.036406502,CIAT-20298,39.35711835,56.3619567,13.88888889,15.34451066,Category_2,Herbaceous_legumes
42.54016987,22.99004064,Low,Not High,1.014628162,0.257441139,1.014628162,27,-4.358784163,-12.11373583,CIAT-19139,39.74486426,52.41257244,14.24444444,17.19704331,Category_2,Herbaceous_legumes
42.36782167,22.75905271,Low,Not High,1.002622926,0.75523263,1.002622926,28,8.665713081,3.991407703,CIAT-21565,39.8640772,57.69960739,12.46666667,14.72668721,Category_2,Herbaceous_legumes
42.08965631,22.38624437,Low,Not High,0.983246796,-1.078440009,0.983246796,29,16.48041143,21.59737673,CIAT-2613,40.0564837,38.22420151,11.4,12.0261206,Category_2,Herbaceous_legumes
41.91722196,22.15514098,Low,Not High,0.971235559,0.649660423,0.971235559,30,-3.38194687,-0.887016481,CIAT-19119,40.17575623,56.57832678,14.11111111,15.4749851,Category_2,Herbaceous_legumes
41.62042925,21.75736753,Low,Not High,0.950561907,-0.388387068,0.950561907,31,-0.858450529,4.821440514,CIAT-15470,40.38104723,45.55324206,13.76666667,14.59936909,Category_2,Herbaceous_legumes
41.33094367,21.36938739,Low,Not High,0.930397246,-1.803390668,0.930397246,32,16.88742697,12.89280836,CIAT-4028,40.58128391,30.52451291,11.34444444,13.36130792,Category_2,Herbaceous_legumes
41.12408678,21.09214952,Low,Not High,0.915988242,0.155130377,0.915988242,33,4.107139045,2.75384657,CIAT-22520,40.72436646,51.32593159,13.08888889,14.9165158,Category_2,Herbaceous_legumes
40.8275972,20.69478235,Low,Not High,0.895335705,0.66903605,0.895335705,34,5.67414887,6.461813903,CIAT-24104,40.92944778,56.78411499,12.875,14.34775342,Category_2,Herbaceous_legumes
40.54089274,20.31052957,Low,Not High,0.875364768,-0.251557766,0.875364768,35,2.246496582,3.503027086,CIAT-15561,41.12776076,47.00650374,13.34285714,14.80159955,Category_2,Herbaceous_legumes
40.53260979,20.29942843,Low,Not High,0.874787804,0.763486236,0.874787804,36,5.653798093,3.304666096,CIAT-7746,41.13349006,57.7872688,12.87777778,14.832026,Category_2,Herbaceous_legumes
39.97917694,19.55769563,Low,Not High,0.836237403,0.292444655,0.836237403,37,-5.824040103,-5.729336907,CIAT-887,41.51629859,52.78434419,14.44444444,16.21774506,Category_2,Herbaceous_legumes
39.95483929,19.52507734,Low,Not High,0.834542118,0.847434741,0.834542118,38,-12.0920794,-3.955794995,CIAT-18850,41.53313291,58.67888445,15.3,15.94570277,Category_2,Herbaceous_legumes
39.80471702,19.32387748,Low,Not High,0.82408507,-1.502676958,0.82408507,39,18.84110155,18.61678819,CIAT-21849,41.63697222,33.71838809,11.07777778,12.48331088,Category_2,Herbaceous_legumes
39.75707549,19.26002639,Low,Not High,0.82076651,0.792009964,0.82076651,40,-0.45143499,-0.060435375,CIAT-22915,41.66992578,58.09021884,13.71111111,15.34819643,Category_2,Herbaceous_legumes
39.6467503,19.11216417,Low,Not High,0.813081602,0.503488143,0.813081602,41,-9.812792383,-7.38924253,CIAT-20589,41.74623752,55.02583349,14.98888889,16.47235676,Category_2,Herbaceous_legumes
39.13269679,18.42320912,Low,Not High,0.777274242,0.665866366,0.777274242,42,-28.48463023,-23.16878456,CIAT-5124,42.10180744,56.75044983,17.5375,18.89276908,Category_2,Herbaceous_legumes
39.01827926,18.26986217,Low,Not High,0.769304274,-1.241021742,0.769304274,43,-24.79096421,-20.65828657,CIAT-3522,42.18094985,36.49742369,17.03333333,18.50768565,Category_2,Herbaceous_legumes
38.79442056,17.96983781,Low,Not High,0.753710978,0.054390666,0.753710978,44,-5.315270679,-5.047354102,CIAT-8156,42.33579252,50.25597683,14.375,16.11313622,Category_2,Herbaceous_legumes
38.65982256,17.7894442,Low,Not High,0.744335302,0.294590172,0.744335302,45,0.525402303,2.509043154,CIAT-13149,42.42889372,52.80713169,13.57777778,14.95406602,Category_2,Herbaceous_legumes
38.65419475,17.78190158,Low,Not High,0.743943286,-0.642874689,0.743943286,46,0.362596088,-5.793947644,CIAT-13575,42.43278646,42.85033336,13.6,16.22765565,Category_2,Herbaceous_legumes
38.39106137,17.42923971,Low,Not High,0.725614238,0.566938482,0.725614238,47,-1.102659852,-4.159649898,CIAT-20803,42.61479537,55.69973846,13.8,15.97697193,Category_2,Herbaceous_legumes
38.23070304,17.21432108,Low,Not High,0.714444178,-0.658407095,0.714444178,48,12.57306225,11.30686396,CIAT-18127,42.72571494,42.68536394,11.93333333,13.60457477,Category_2,Herbaceous_legumes
37.73937108,16.55581835,Low,Not High,0.68021953,0.325097774,0.68021953,49,0.240491426,0.465780259,CIAT-15121,43.0655684,53.13115241,13.61666667,15.26748061,Category_2,Herbaceous_legumes
37.72146371,16.53181818,Low,Not High,0.678972158,-0.765784596,0.678972158,50,12.73586847,10.82430622,CIAT-18126,43.0779549,41.54490933,11.91111111,13.67859394,Category_2,Herbaceous_legumes
37.6384978,16.42062396,Low,Not High,0.673193013,0.188208995,0.673193013,51,0.54575308,1.41642395,CIAT-22754,43.13534227,51.67725903,13.575,15.12166207,Category_2,Herbaceous_legumes
37.52608597,16.26996514,Low,Not High,0.665362756,0.488158044,0.665362756,52,-11.76646697,-14.4325662,CIAT-19138,43.21309734,54.86301277,15.25555556,17.55272699,Category_2,Herbaceous_legumes
37.51703526,16.257835,Low,Not High,0.664732311,0.655973088,0.664732311,53,3.130301752,4.369661413,CIAT-15086,43.2193577,56.64537349,13.22222222,14.66866715,Category_2,Herbaceous_legumes
37.49960785,16.2344781,Low,Not High,0.663518373,0.639626373,0.663518373,54,-27.11095278,-20.74001218,CIAT-9349,43.23141221,56.47175531,17.35,18.52022148,Category_2,Herbaceous_legumes
37.47063906,16.19565296,Low,Not High,0.661500497,0.160819629,0.661500497,55,17.76251037,10.08597256,CIAT-415,43.25144987,51.38635704,11.225,13.7918464,Category_2,Herbaceous_legumes
37.30435719,15.97279537,Low,Not High,0.649917823,-0.429601885,0.649917823,56,-2.934229777,4.555134318,CIAT-9900,43.36646675,45.11550018,14.05,14.6402176,Category_2,Herbaceous_legumes
36.81205973,15.31299864,Low,Not High,0.61562592,0.482540771,0.61562592,57,6.305022955,8.86416767,CIAT-19537,43.70698805,54.8033518,12.78888889,13.97925815,Category_2,Herbaceous_legumes
36.59655804,15.02417468,Low,Not High,0.600614747,0.691527785,0.600614747,58,7.270231233,1.07118848,CIAT-7648,43.85605018,57.02299932,12.65714286,15.17461748,Category_2,Herbaceous_legumes
36.45792918,14.83837874,Low,Not High,0.590958294,-1.648063092,0.590958294,59,10.17981089,11.27176793,CIAT-7799,43.95193953,32.17424444,12.26,13.60995812,Category_2,Herbaceous_legumes
36.45565275,14.83532777,Low,Not High,0.590799725,0.150165163,0.590799725,60,-5.335621456,-3.678052862,CIAT-19673,43.95351413,51.27319613,14.37777778,15.90310011,Category_2,Herbaceous_legumes
36.30792908,14.63734261,Low,Not High,0.580509756,0.578778067,0.580509756,61,-1.835287822,-0.549563476,CIAT-715,44.05569434,55.82548649,13.9,15.42322343,Category_2,Herbaceous_legumes
35.70327665,13.82696328,Low,Not High,0.538391558,0.723439347,0.538391558,62,-20.70045805,-13.73103512,CIAT-7703,44.47393136,57.36193149,16.475,17.44511965,Category_2,Herbaceous_legumes
35.66376414,13.77400703,Low,Not High,0.53563924,0.94772646,0.53563924,63,-15.10399439,-15.40286282,CIAT-19118,44.5012621,59.74408108,15.71111111,17.70156007,Category_2,Herbaceous_legumes
35.64588861,13.75004954,Low,Not High,0.534394087,0.506442098,0.534394087,64,18.15498964,12.53120656,CIAT-12411,44.51362657,55.05720739,11.17142857,13.41677376,Category_2,Herbaceous_legumes
35.64404519,13.7475789,Low,Not High,0.53426568,-0.576441615,0.53426568,65,-2.567915792,-0.86497639,CIAT-22475,44.51490167,43.55591791,14,15.47160439,Category_2,Herbaceous_legumes
35.29224642,13.27608415,Low,Not High,0.509760478,-1.064762417,0.509760478,66,-5.579830779,-1.891448816,CIAT-438,44.75824026,38.36947099,14.41111111,15.62905424,Category_2,Herbaceous_legumes
35.26038253,13.23337889,Low,Not High,0.507540939,0.309351248,0.507540939,67,6.14221674,10.684639,CIAT-12615,44.78028045,52.96390883,12.81111111,13.70001739,Category_2,Herbaceous_legumes
35.07634099,12.98671906,Low,Not High,0.49472118,-0.005521754,0.49472118,68,-11.35945143,-12.78286164,CIAT-18862,44.90758167,49.61964804,15.2,17.29968002,Category_2,Herbaceous_legumes
34.74206058,12.5387031,Medium,Not High,0.471436252,-2.027463506,0.471436252,69,-23.44781294,-17.36357854,CIAT-9562,45.13880285,28.14463911,16.85,18.00231281,Category_2,Herbaceous_legumes
34.60723313,12.35800198,Medium,Not High,0.462044594,0.287185346,0.462044594,70,-10.62682346,-3.291597387,CIAT-22598,45.23206275,52.72848516,15.1,15.84382199,Category_2,Herbaceous_legumes
34.49243308,12.20414236,Medium,Not High,0.454047981,0.273416326,0.454047981,71,5.328185662,8.277404929,CIAT-12485,45.31146975,52.58224464,12.92222222,14.06926125,Category_2,Herbaceous_legumes
34.28599761,11.9274693,Medium,Not High,0.439668332,0.938735551,0.439668332,72,6.060813632,5.197097019,CIAT-955,45.4542608,59.6485888,12.82222222,14.54174741,Category_2,Herbaceous_legumes
34.25604553,11.88732633,Medium,Not High,0.437581964,0.227571698,0.437581964,73,-1.416643268,-2.32557139,CIAT-15401,45.4749786,52.09532962,13.84285714,15.69564398,Category_2,Herbaceous_legumes
33.97943014,11.51659533,Medium,Not High,0.4183138,0.140198407,0.4183138,74,-5.091412133,1.599373587,CIAT-18865,45.66631299,51.16733939,14.34444444,15.09359956,Category_2,Herbaceous_legumes
33.93520746,11.45732632,Medium,Not High,0.415233387,0.892036833,0.415233387,75,2.804689321,0.058657113,CIAT-19032,45.69690174,59.15260251,13.26666667,15.32992892,Category_2,Herbaceous_legumes
33.8734876,11.3746069,Medium,Not High,0.410934174,0.325935351,0.410934174,76,9.764655036,9.798854888,CIAT-34347,45.73959326,53.1400483,12.31666667,13.83588717,Category_2,Herbaceous_legumes
33.66191232,11.09104527,Medium,Not High,0.396196502,0.290933048,0.396196502,77,9.886759697,1.975779146,CIAT-7894,45.88593951,52.76828945,12.3,15.03586299,Category_2,Herbaceous_legumes
33.65685504,11.08426729,Medium,Not High,0.395844227,0.897813162,0.395844227,78,-4.602993486,-4.902964906,CIAT-5512,45.88943763,59.2139528,14.27777778,16.09098847,Category_2,Herbaceous_legumes
33.58177901,10.98364741,Medium,Not High,0.390614666,0.218999452,0.390614666,79,-1.591078499,0.431179565,CIAT-25522,45.94136758,52.00428394,13.86666667,15.27278798,Category_2,Herbaceous_legumes
33.51231309,10.8905464,Medium,Not High,0.385775887,-0.91866841,0.385775887,80,6.956247817,5.90423854,CIAT-19228,45.98941704,39.92113294,12.7,14.4332795,Category_2,Herbaceous_legumes
33.3302008,10.64647224,Medium,Not High,0.373090515,0.901080561,0.373090515,81,-11.11524211,-17.50413044,CIAT-11194,46.11538379,59.2486558,15.16666667,18.02387196,Category_2,Herbaceous_legumes
33.11189896,10.3538954,Medium,Not High,0.357884291,-0.689239611,0.357884291,82,1.258030273,-2.328777232,CIAT-32246,46.26638279,42.35789231,13.47777778,15.69613572,Category_2,Herbaceous_legumes
33.05070405,10.27187954,Medium,Not High,0.353621645,-0.683075199,0.353621645,83,11.2473545,9.699480943,CIAT-997,46.3087112,42.42336443,12.11428571,13.85113006,Category_2,Herbaceous_legumes
33.02978525,10.24384331,Medium,Not High,0.352164506,0.873338883,0.352164506,84,-15.10399439,-14.7341221,CIAT-1257,46.32318071,58.95401191,15.71111111,17.59898242,Category_2,Herbaceous_legumes
32.98782429,10.18760556,Medium,Not High,0.349241637,-0.430961183,0.349241637,85,10.37517834,19.39913886,CIAT-12758,46.35220503,45.1010631,12.23333333,12.36330668,Category_2,Herbaceous_legumes
32.93689267,10.11934497,Medium,Not High,0.3456939,-1.061592891,0.3456939,86,-0.044419451,-6.331264689,CIAT-13609,46.38743434,38.40313447,13.65555556,16.31007432,Category_2,Herbaceous_legumes
32.6186442,9.692815662,Medium,Not High,0.323525707,0.013780904,0.323525707,87,10.9450001,11.50868087,CIAT-1992,46.60756625,49.82466124,12.15555556,13.57361822,Category_2,Herbaceous_legumes
