subset,no,requisitioner,id_lab,id,tax_name,functional_group,batch,run,replication,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
2,1756,Breding ,F25-2094,CIAT-PM-21-4926,Megathyrsus maximus,Grass,50.0,2.0,3.0,28.47,69.71,138.8,47.02,3.39,14.0,15.72,21.81,46.39,425.3
2,1757,Breding ,F25-2095,CIAT-PM-21-3662,Megathyrsus maximus,Grass,50.0,2.0,1.0,36.88,82.1,162.36,54.79,3.37,13.4,15.38,24.98,45.58,375.84
2,1758,Breding ,F25-2095,CIAT-PM-21-3662,Megathyrsus maximus,Grass,50.0,2.0,2.0,35.11,83.43,160.54,60.42,3.76,13.5,15.24,24.46,40.49,303.67
2,1759,Breding ,F25-2095,CIAT-PM-21-3662,Megathyrsus maximus,Grass,50.0,2.0,3.0,36.43,80.33,154.25,58.64,3.8,13.5,15.3,23.6,40.25,313.18
2,1763,Breding ,F25-2097,CIAT-PM-21-0079,Megathyrsus maximus,Grass,50.0,2.0,1.0,32.01,74.58,140.35,61.81,4.4,13.1,15.1,21.19,34.28,254.18
2,1764,Breding ,F25-2097,CIAT-PM-21-0079,Megathyrsus maximus,Grass,50.0,2.0,2.0,35.99,82.1,162.95,51.21,3.14,13.1,14.84,24.18,47.22,422.55
2,1765,Breding ,F25-2097,CIAT-PM-21-0079,Megathyrsus maximus,Grass,50.0,2.0,3.0,35.11,80.33,156.63,50.36,3.21,13.0,14.8,23.18,46.04,431.06
2,1766,Breding ,F25-2098,CIAT-CIAT-6986,Megathyrsus maximus,Grass,50.0,2.0,1.0,26.26,60.86,121.54,62.38,5.13,13.4,15.11,18.36,29.43,193.07
2,1767,Breding ,F25-2098,CIAT-CIAT-6986,Megathyrsus maximus,Grass,50.0,2.0,2.0,36.43,85.2,171.82,37.84,2.2,13.2,15.03,25.83,68.25,951.69
2,1768,Breding ,F25-2098,CIAT-CIAT-6986,Megathyrsus maximus,Grass,50.0,2.0,3.0,33.78,82.1,168.31,48.03,2.85,13.3,15.01,25.26,52.59,445.73
2,1769,Breding ,F25-2099,CIAT-PM-21-4852,Megathyrsus maximus,Grass,50.0,2.0,1.0,34.22,85.64,166.55,47.34,2.84,13.6,15.28,25.45,53.76,472.16
2,1770,Breding ,F25-2099,CIAT-PM-21-4852,Megathyrsus maximus,Grass,50.0,2.0,2.0,34.22,82.54,166.71,46.09,2.76,13.5,15.2,25.34,54.97,482.31
2,1771,Breding ,F25-2099,CIAT-PM-21-4852,Megathyrsus maximus,Grass,50.0,2.0,3.0,34.22,75.9,146.85,37.09,2.53,13.8,15.01,22.04,59.43,834.74
2,1772,Breding ,F25-2100,CIAT-PM-21-0078,Megathyrsus maximus,Grass,50.0,2.0,1.0,36.43,80.33,154.33,50.34,3.26,13.4,15.26,23.55,46.78,485.13
2,1773,Breding ,F25-2100,CIAT-PM-21-0078,Megathyrsus maximus,Grass,50.0,2.0,2.0,35.99,79.0,161.16,46.84,2.91,13.3,15.26,24.59,52.5,602.67
2,1774,Breding ,F25-2100,CIAT-PM-21-0078,Megathyrsus maximus,Grass,50.0,2.0,3.0,33.78,78.12,150.03,40.25,2.68,13.7,15.35,23.02,57.2,1188.18
2,1778,Breding ,F25-2102,CIAT-PM-21-0876,Megathyrsus maximus,Grass,50.0,2.0,1.0,35.55,82.98,164.3,45.32,2.76,13.1,14.99,24.62,54.34,699.3
2,1780,Breding ,F25-2102,CIAT-PM-21-0876,Megathyrsus maximus,Grass,50.0,2.0,3.0,32.89,79.0,158.07,40.14,2.54,13.4,15.09,23.86,59.44,1192.55
2,1781,Breding ,F25-2103,CIAT-PM-21-3641,Megathyrsus maximus,Grass,50.0,2.0,1.0,35.99,79.89,153.33,24.76,1.61,12.9,14.82,22.73,91.8,-1322.74
2,1782,Breding ,F25-2103,CIAT-PM-21-3641,Megathyrsus maximus,Grass,50.0,2.0,2.0,35.99,80.33,156.49,46.06,2.94,12.9,15.0,23.47,50.96,550.45
2,1783,Breding ,F25-2103,CIAT-PM-21-3641,Megathyrsus maximus,Grass,50.0,2.0,3.0,33.78,75.9,150.01,41.94,2.8,13.3,15.08,22.62,53.93,718.74
2,1790,Breding ,F25-2106,CIAT-BR-09-4777,Brachiaria interespecifico,Grass,50.0,2.0,1.0,36.88,80.77,152.69,35.67,2.34,12.6,14.12,21.56,60.45,-1255.84
2,1791,Breding ,F25-2106,CIAT-BR-09-4777,Brachiaria interespecifico,Grass,50.0,2.0,2.0,39.97,84.31,162.37,51.89,3.2,12.3,13.93,22.62,43.59,637.45
2,1792,Breding ,F25-2106,CIAT-BR-09-4777,Brachiaria interespecifico,Grass,50.0,2.0,3.0,40.86,83.87,159.14,21.33,1.34,12.1,13.69,21.79,102.13,-343.8
2,1799,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,1.0,24.93,59.53,115.71,39.9,3.45,14.7,16.04,18.56,46.51,455.16
2,1799,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,1.0,24.93,59.53,115.71,39.9,3.45,14.7,16.04,18.56,46.51,455.16
2,1799,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,1.0,24.93,59.53,115.71,39.9,3.45,14.7,16.04,18.56,46.51,455.16
2,1799,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,1.0,24.93,59.53,115.71,39.9,3.45,14.7,16.04,18.56,46.51,455.16
2,1799,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,1.0,24.93,59.53,115.71,39.9,3.45,14.7,16.04,18.56,46.51,455.16
2,1799,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,1.0,24.93,59.53,115.71,39.9,3.45,14.7,16.04,18.56,46.51,455.16
2,1800,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,2.0,23.6,56.43,109.59,19.18,1.75,14.2,15.6,17.09,89.12,-1402.64
2,1800,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,2.0,23.6,56.43,109.59,19.18,1.75,14.2,15.6,17.09,89.12,-1402.64
2,1800,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,2.0,23.6,56.43,109.59,19.18,1.75,14.2,15.6,17.09,89.12,-1402.64
2,1800,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,2.0,23.6,56.43,109.59,19.18,1.75,14.2,15.6,17.09,89.12,-1402.64
2,1800,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,2.0,23.6,56.43,109.59,19.18,1.75,14.2,15.6,17.09,89.12,-1402.64
2,1800,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,2.0,23.6,56.43,109.59,19.18,1.75,14.2,15.6,17.09,89.12,-1402.64
2,1801,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,3.0,24.04,60.42,121.53,13.0,1.07,14.1,15.42,18.74,144.15,-647.45
2,1801,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,3.0,24.04,60.42,121.53,13.0,1.07,14.1,15.42,18.74,144.15,-647.45
2,1801,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,3.0,24.04,60.42,121.53,13.0,1.07,14.1,15.42,18.74,144.15,-647.45
2,1801,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,3.0,24.04,60.42,121.53,13.0,1.07,14.1,15.42,18.74,144.15,-647.45
2,1801,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,3.0,24.04,60.42,121.53,13.0,1.07,14.1,15.42,18.74,144.15,-647.45
2,1801,LMF,F25-0008,Sample-8,Cynodon nlemfuensis ,Grass,50.0,2.0,3.0,24.04,60.42,121.53,13.0,1.07,14.1,15.42,18.74,144.15,-647.45
2,1806,Breding ,F25-2077,CIAT-PM-21-3535,Megathyrsus maximus,Grass,51.0,3.0,1.0,33.93,69.21,127.84,52.07,4.07,14.6,15.77,20.16,38.72,365.39
2,1807,Breding ,F25-2077,CIAT-PM-21-3535,Megathyrsus maximus,Grass,51.0,3.0,2.0,33.93,71.87,134.04,53.11,3.96,14.3,15.78,21.15,39.82,361.11
2,1808,Breding ,F25-2077,CIAT-PM-21-3535,Megathyrsus maximus,Grass,51.0,3.0,3.0,34.37,74.52,148.32,50.03,3.37,14.1,15.61,23.15,46.28,432.63
2,1809,Breding ,F25-2078,CIAT-PM-21-6106,Megathyrsus maximus,Grass,51.0,3.0,1.0,37.02,74.08,142.38,55.28,3.88,14.7,16.2,23.07,41.73,366.68
2,1810,Breding ,F25-2078,CIAT-PM-21-6106,Megathyrsus maximus,Grass,51.0,3.0,2.0,36.14,75.41,150.24,59.16,3.94,14.9,16.36,24.58,41.55,319.87
