40n_no,40n_set_ciat,40n_sample_id,40n_gene_bank_breeding_program_id,40n_genus,40n_species,40n_tax_name,40n_family,40n_order,40n_functional_group,40n_ot,40n_dm_percentage,40n_av_dm_105,40n_ash_dm,40n_av_ash_percentage,40n_om_percentage,40n_om_percentage,40n_pc_percentage_dm,40n_av_pc_percentage,40n_adf_percentage_dm,40n_av_adf_percentage_dm,40n_ndf_percentage_dm,40n_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,OT,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
73,24,F25 1672,CIAT-13387,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,92.5214957,92.57795752,5.216181392,5.231331626,94.78381861,94.76866837,18.43450369,18.43450369,57.08983488,57.23105105,63.60823844,63.9246525
74,24,F25 1672,CIAT-13387,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,OT-008,92.63441935,,5.246481861,,94.75351814,,18.43450369,,57.37226721,,64.24106655,
75,24,F25 1673,CIAT-13547,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,94.74210316,94.80758966,7.654552961,7.606351872,92.34544704,92.39364813,17.23665416,17.23665416,42.79058774,42.41983851,58.08298714,58.2670102
76,24,F25 1673,CIAT-13547,Codariocalyx,gyroides,Codariocalyx gyroides,Fabaceae,Fabales,Shrub,OT-008,94.87307615,,7.558150783,,92.44184922,,17.23665416,,42.04908929,,58.45103326,
77,24,F25 1674,CIAT-13953,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,92.87,92.93534997,10.04999713,10.14094696,89.95000287,89.85905304,22.1380071,22.1380071,28.53235004,28.43350712,44.43673647,44.47220374
78,24,F25 1674,CIAT-13953,Desmodium,velutinum,Desmodium velutinum,Fabaceae,Fabales,Shrub,OT-008,93.00069993,,10.2318968,,89.7681032,,22.1380071,,28.3346642,,44.50767102,
79,24,F25 1675,CIAT-15086,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,OT-008,95.03049695,95.09597426,6.624223698,6.670867898,93.3757763,93.3291321,25.42628158,25.42628158,26.93609793,27.19367748,55.38060158,56.24999975
80,24,F25 1675,CIAT-15086,Centrosema,acutifolium,Centrosema acutifolium,Fabaceae,Fabales,Climber,OT-008,95.16145156,,6.717512097,,93.2824879,,25.42628158,,27.45125703,,57.11939791,
81,24,F25 1676,CIAT-17403,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,OT-008,93.93121376,93.94560688,5.842638524,6.104011992,94.15736148,93.89598801,18.3851851,18.3851851,51.52755452,51.91427615,63.61391173,64.1901126
82,24,F25 1676,CIAT-17403,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,OT-008,93.96,,6.365385459,,93.63461454,,18.3851851,,52.30099778,,64.76631348,
83,24,F25 1677,CIAT-17519,Mimosa,somnians,Mimosa somnians,Fabaceae,Fabales,Herbaceous,OT-008,93.99,94.495,8.741203238,8.751785809,91.25879676,91.24821419,17.65179446,17.65179446,25.59568862,25.5611725,46.60433872,46.20691915
84,24,F25 1677,CIAT-17519,Mimosa,somnians,Mimosa somnians,Fabaceae,Fabales,Herbaceous,OT-008,95,,8.762368379,,91.23763162,,17.65179446,,25.52665638,,45.80949958,
85,24,F25 1678,CIAT-17896,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,94.68319009,94.70712194,6.363179501,6.327503235,93.6368205,93.67249677,15.64033488,15.64033488,39.38483751,40.33039923,52.92619891,51.7417056
86,24,F25 1678,CIAT-17896,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,94.73105379,,6.291826968,,93.70817303,,15.64033488,,41.27596095,,50.55721229,
87,24,F25 1679,CIAT-18123,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,94.48055194,94.60711918,8.190953434,8.309968172,91.80904657,91.69003183,14.9986906,14.9986906,42.28676206,40.99020228,63.71362875,62.79093768
88,24,F25 1679,CIAT-18123,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,94.73368642,,8.42898291,,91.57101709,,14.9986906,,39.6936425,,61.86824661,
89,24,F25 1680,CIAT-18126,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,92.79072093,92.79715956,10.27945913,10.30433129,89.72054087,89.69566871,17.86623651,18.01766567,40.83493966,40.49189741,56.25746006,56.41229591
90,24,F25 1680,CIAT-18126,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,92.8035982,,10.32920344,,89.67079656,,18.16909484,,40.14885516,,56.56713176,
91,24,F25 1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,94.04416908,94.18765143,9.134931263,9.200904419,90.86506874,90.79909558,17.34307537,17.34307537,37.05032581,37.76793925,54.98675123,54.54240007
92,24,F25 1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,OT-008,94.33113377,,9.266877576,,90.73312242,,17.34307537,,38.48555269,,54.0980489,
93,24,F25 1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,94.07237105,94.10677141,12.8632167,12.82200635,87.1367833,87.17799365,21.25858579,21.25858579,27.06397155,27.9997488,50.63536382,50.1053531
94,24,F25 1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,OT-008,94.14117177,,12.78079601,,87.21920399,,21.25858579,,28.93552604,,49.57534238,
95,24,F25 1683,CIAT-19228,Eriosema,psoraleoides,Eriosema psoraleoides,Fabaceae,Fabales,Herbaceous,OT-008,93.71125775,93.68689637,9.444469501,9.422186265,90.5555305,90.57781374,17.92705995,17.92705995,47.89445932,47.96777384,62.14975858,62.310629
96,24,F25 1683,CIAT-19228,Eriosema,psoraleoides,Eriosema psoraleoides,Fabaceae,Fabales,Herbaceous,OT-008,93.66253499,,9.399903029,,90.60009697,,17.92705995,,48.04108836,,62.47149943,
97,24,F25 1684,CIAT-19537,Crotalaria,verrucosa,Crotalaria verrucosa,Fabaceae,Fabales,Herbaceous,OT-008,93.42131574,93.50065787,9.003483535,9.03646922,90.99651646,90.96353078,28.31684495,28.31684495,24.28334695,24.02234761,44.77658373,44.45502558
98,24,F25 1684,CIAT-19537,Crotalaria,verrucosa,Crotalaria verrucosa,Fabaceae,Fabales,Herbaceous,OT-008,93.58,,9.069454904,,90.9305451,,28.31684495,,23.76134828,,44.13346742,
99,24,F25 1685,CIAT-20208,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,OT-008,95.33140058,95.4561422,7.812763536,7.865523699,92.18723646,92.1344763,19.00166881,19.00166881,24.4870656,25.3826256,58.34101098,59.6430658
100,24,F25 1685,CIAT-20208,Aeschynomene,sensitiva,Aeschynomene sensitiva,Fabaceae,Fabales,Herbaceous,OT-008,95.58088382,,7.918283861,,92.08171614,,19.00166881,,26.2781856,,60.94512061,
101,24,F25 1686,CIAT-20345,Pachyrhizus,erosus,Pachyrhizus erosus,Fabaceae,Fabales,Climber,OT-008,94.20231907,93.71751299,10.6980961,10.62876647,89.3019039,89.37123353,17.93719194,17.93719194,23.26109268,22.48245579,38.18978026,38.50445451
102,24,F25 1686,CIAT-20345,Pachyrhizus,erosus,Pachyrhizus erosus,Fabaceae,Fabales,Climber,OT-008,93.23270692,,10.55943683,,89.44056317,,17.93719194,,21.70381891,,38.81912876,
103,24,F25 1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,OT-008,93.82,93.67532347,8.753639375,8.619775455,91.24636062,91.38022454,13.92710416,13.92710416,41.86055494,41.21777057,57.35156864,59.00822426
104,24,F25 1687,CIAT-20927,Mimosa,albida,Mimosa albida,Fabaceae,Fabales,Herbaceous,OT-008,93.53064694,,8.485911535,,91.51408847,,13.92710416,,40.5749862,,60.66487987,
105,24,F25 1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,94.86,94.9010116,5.900885466,5.920771925,94.09911453,94.07922808,17.50614857,17.50614857,42.82984546,43.79236021,58.86466038,58.22557704
106,24,F25 1688,CIAT-21849,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,OT-008,94.94202319,,5.940658384,,94.05934162,,17.50614857,,44.75487496,,57.58649369,
107,24,F25 1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,OT-008,93.57257097,93.61192036,7.827068545,7.779789906,92.17293146,92.22021009,26.74599813,26.74332406,29.76349318,29.96617525,45.92972813,45.09826938
108,24,F25 1689,CIAT-22072,Bauhinia,sp.,Bauhinia sp.,Fabaceae,Fabales,Shrub,OT-008,93.65126975,,7.732511268,,92.26748873,,26.74065,,30.16885731,,44.26681064,
