Obs_CH4_DMD,predCH4_Gas_DMD,gas_DMD,,Obs_CH4_DMD,predCH4_log_FP,log_FP,,Obs_CH4_DMI,predCH4_Gas_DMI,gas_DMI
89.52916338,74.66003711,470.0591546,,89.52916338,73.42024567,0.355104492,,17.10035517,17.30384899,112.8004427
45.10520438,44.33663058,273.2163527,,45.10520438,40.34955679,0.613722406,,27.6686541,28.70599675,180.2574863
70.34303406,66.94411148,419.9716283,,70.34303406,68.54191773,0.38114268,,32.31515309,33.25452305,207.1673408
48.94739166,50.80990686,315.2372859,,48.94739166,50.46023651,0.501822042,,24.02374564,26.47934718,167.084249
52.15527062,49.29727137,305.4180921,,52.15527062,49.00765381,0.514370063,,23.47528542,24.99347815,158.2935954
53.58402717,51.33334729,318.6351721,,53.58402717,50.85871463,0.498496438,,25.13967981,26.86711935,169.3783751
53.6815281,57.35039717,357.6945355,,53.6815281,57.88565035,0.446085884,,21.85063591,23.40112823,148.8729827
46.01431242,50.04871744,310.2960648,,46.01431242,49.19147398,0.51274289,,23.00754798,24.62634151,156.1215527
44.01815237,44.31907787,273.1024103,,44.01815237,44.45687248,0.559412012,,22.16241848,23.40879258,148.9183263
35.75599615,38.89830797,237.913767,,35.75599615,39.74515567,0.623945092,,22.00332048,23.46807336,149.2690415
36.15030967,40.01105375,245.1370978,,36.15030967,40.45838364,0.611972365,,19.780826,22.30086105,142.3636151
44.56775422,47.57924977,294.265645,,44.56775422,46.09846342,0.541945024,,20.84823738,22.11846003,141.2844997
36.05625758,40.74458825,249.8987985,,36.05625758,41.06528671,0.602638252,,17.89666064,17.91995661,116.4454401
44.91457481,45.77769106,282.5709212,,44.91457481,44.97205901,0.553748381,,17.031958,16.87657982,110.2726457
43.98013472,47.24684455,292.107854,,43.98013472,45.10724093,0.552291442,,22.03603185,24.06796099,152.8180786
51.21169886,58.35944214,364.244698,,51.21169886,58.42154554,0.442474763,,19.94742643,19.77270273,127.4066009
55.77262201,56.8808041,354.6461967,,55.77262201,56.49277921,0.455690455,,21.15828047,23.89422776,151.7902433
