id,tax_name_x,functional_group_x,ch4_percentage_8h,ch4_percentage_24h,ch4_intensity_ml_g_tddm,tddm_mg_g,subset,id_lab,tax_name_y,functional_group_y,ch4_8h_percentage,ch4_24h_percentage,methane_intensity,tddm
CIAT-1992,Stylosanthes guianensis,Herbaceous_legumes,13.14444444,14.62726387,48.49348428,49.86885163,2,F25-1655,Stylosanthes guianensis,Herbaceous_legumes,11.81,13.93,43.95,42.26
CIAT-1992,Stylosanthes guianensis,Herbaceous_legumes,13.14444444,14.62726387,48.49348428,49.86885163,3,F25-1655,Stylosanthes guianensis,Herbaceous_legumes,11.59,13.91,43.92,51.86
CIAT-20093,Canavalia sp.,Herbaceous_legumes,14.71111111,15.94316204,37.97611086,65.75289057,1,F24-3507,Canavalia sp.,Herbaceous_legumes,14.71,17.38,37.98,65.75
CIAT-20113,Canavalia sp.,Herbaceous_legumes,13.02222222,15.1056382,38.26140811,65.29722873,1,F24-3508,Canavalia sp.,Herbaceous_legumes,13.02,17.16,38.26,65.3
CIAT-20125,Coursetia caribaea,Herbaceous_legumes,15.43333333,17.01067436,39.99634722,57.95687916,1,F24-3509,Coursetia caribaea,Herbaceous_legumes,15.43,18.69,40.0,57.96
CIAT-20207,Aeschynomene sensitiva,Herbaceous_legumes,12.77777778,13.89060995,44.66377297,51.31095775,2,F25-0981,Aeschynomene sensitiva,Herbaceous_legumes,12.38,13.8,42.6,44.19
CIAT-20298,Canavalia sp.,Herbaceous_legumes,13.88888889,15.34451066,39.35711835,56.3619567,1,F24-3510,Canavalia sp.,Herbaceous_legumes,13.89,16.86,39.36,56.36
CIAT-20303,Canavalia brasiliensis,Herbaceous_legumes,14.74444444,16.76987866,47.22624981,60.77890779,2,F24-3650,Canavalia brasiliensis,Herbaceous_legumes,13.51,17.89,52.89,58.61
CIAT-20304,Canavalia brasiliensis,Herbaceous_legumes,13.23333333,15.13242984,45.56224039,59.51310037,2,F25-0949,Canavalia brasiliensis,Herbaceous_legumes,13.59,21.11,47.76,65.02
CIAT-20305,Canavalia sp.,Herbaceous_legumes,12.71111111,14.72393829,35.45708748,62.07478354,1,F24-3511,Canavalia sp.,Herbaceous_legumes,12.71,18.34,35.46,62.07
CIAT-20589,Uraria lagopodioides,Herbaceous_legumes,14.7875,16.17475465,49.04434138,56.32994588,2,F24-3651,Uraria lagopodioides,Herbaceous_legumes,14.99,18.29,41.75,55.03
CIAT-20709,Calopogonium mucunoides,Herbaceous_legumes,12.88571429,14.23049593,66.82458407,39.79071201,2,F25-0982,Calopogonium mucunoides,Herbaceous_legumes,15.07,16.88,61.02,37.16
CIAT-20803,Canavalia sp.,Herbaceous_legumes,13.8,15.97697193,42.61479537,55.69973846,1,F24-3512,Canavalia sp.,Herbaceous_legumes,13.8,18.37,42.61,55.7
CIAT-20891,Cajanus cajan,Shrub_Trees,12.35555556,14.04445838,44.02149046,44.37009697,2,F25-0935,Cajanus cajan,Shrub_Trees,12.92,16.56,47.98,29.51
CIAT-21031,Christia obcordata,Herbaceous_legumes,13.8,15.58083848,37.14230201,55.29032239,1,F24-3513,Christia obcordata,Herbaceous_legumes,13.8,17.97,37.14,55.29
CIAT-21128,Crotalaria pallida,Herbaceous_legumes,15.13333333,17.94785406,47.36465172,53.1018494,1,F24-3514,Crotalaria pallida,Herbaceous_legumes,15.13,21.09,47.36,53.1
CIAT-21212,Canavalia sp.,Herbaceous_legumes,13.34444444,16.1381733,40.29975602,66.29871642,1,F24-3515,Canavalia sp.,Herbaceous_legumes,13.34,19.08,40.3,66.3
CIAT-21263,Sesbania rostrata,Shrub_Trees,14.32222222,15.05852062,37.31381978,60.43454784,1,F24-3516,Sesbania rostrata,Shrub_Trees,14.32,15.94,37.31,60.43
CIAT-21514,Desmanthus virgatus,Shrub_Trees,13.74444444,15.00991186,46.9335207,35.54192067,1,F24-3517,Desmanthus virgatus,Shrub_Trees,13.74,17.02,46.93,35.54
CIAT-21565,Chamaecrista rotundifolia,Herbaceous_legumes,12.46666667,14.72668721,39.8640772,57.69960739,1,F24-3518,Chamaecrista rotundifolia,Herbaceous_legumes,12.47,17.24,39.86,57.7
CIAT-21603,Lablab purpureus,Herbaceous_legumes,14.32,16.39532263,59.47415875,60.2052768,2,F25-0950,Lablab purpureus,Herbaceous_legumes,13.84,17.29,56.99,53.45
CIAT-21687,Desmanthus virgatus,Shrub_Trees,14.68888889,16.39421005,43.25283976,65.16739111,2,F24-3652,Desmanthus virgatus,Shrub_Trees,12.63,16.91,42.42,45.4
CIAT-21709,Crotalaria juncea,Herbaceous_legumes,14.92222222,15.87900866,42.0660246,57.17226382,1,F24-3519,Crotalaria juncea,Herbaceous_legumes,14.92,17.18,42.07,57.17
CIAT-22048,Aeschynomene americana,Herbaceous_legumes,14.8,16.22780952,56.11903725,41.33974894,2,F24-3653,Aeschynomene americana,Herbaceous_legumes,13.39,16.67,44.16,63.48
CIAT-22156,Arachis pintoi,Herbaceous_legumes,14.25,15.28836802,43.52680643,48.5530567,2,F24-3654,Arachis pintoi,Herbaceous_legumes,12.54,16.11,53.44,56.59
CIAT-22286,Crotalaria micans,Shrub_Trees,14.85555556,15.96305884,43.20218015,59.53641074,1,F24-3520,Crotalaria micans,Herbaceous_legumes,14.86,17.06,43.2,59.54
CIAT-22475,Alysicarpus rugosus,Herbaceous_legumes,14,15.47160439,44.51490167,43.55591791,1,F24-3521,Alysicarpus rugosus,Herbaceous_legumes,14.0,17.19,44.51,43.56
CIAT-22481,Sesbania cochinchinensis,Shrub_Trees,13.88888889,14.43802268,31.76737681,51.99162839,1,F24-3522,Sesbania cochinchinensis,Shrub_Trees,13.89,15.19,31.77,51.99
CIAT-22507,Desmanthus subulatus,Shrub_Trees,14.02857143,15.28129485,42.839939,50.1022675,2,F24-3655,Desmanthus subulatus,Shrub_Trees,12.33,16.51,40.95,42.78
CIAT-22510,Desmanthus bicornutus,Shrub_Trees,13.42222222,15.11988394,49.54737178,41.40171193,2,F24-3656,Desmanthus bicornutus,Shrub_Trees,12.51,16.87,51.7,32.63
CIAT-22520,Arachis pusilla,Herbaceous_legumes,13.08888889,14.9165158,40.72436646,51.32593159,1,F24-3523,Arachis pusilla,Herbaceous_legumes,13.09,16.73,40.72,51.33
CIAT-22570,Desmanthus bicornutus,Shrub_Trees,13.375,14.61445883,24.78588428,36.77194795,1,F24-3524,Desmanthus bicornutus,Shrub_Trees,13.38,18.59,24.79,36.77
CIAT-22594,Desmanthus pernambucanus,Shrub_Trees,13.65555556,14.93548495,35.36290279,38.95848727,1,F24-3525,Desmanthus pernambucanus,Shrub_Trees,13.66,17.19,35.36,38.96
CIAT-22598,Lablab purpureus,Herbaceous_legumes,13.8375,15.07584527,50.72037488,42.54738907,2,F24-3657,Lablab purpureus,Herbaceous_legumes,15.02,16.84,45.23,52.73
CIAT-22754,Lablab purpureus,Herbaceous_legumes,13.575,15.12166207,43.13534227,51.67725903,1,F24-3526,Lablab purpureus,Herbaceous_legumes,13.58,17.75,43.14,51.68
CIAT-22768,Lablab purpureus,Herbaceous_legumes,13.61111111,15.22408825,45.37225983,48.04390514,2,F25-0932,Lablab purpureus,Herbaceous_legumes,14.17,17.89,49.54,64.18
CIAT-22770,Lablab purpureus,Herbaceous_legumes,13.2875,14.60645923,44.60790909,48.68779426,2,F25-0933,Lablab purpureus,Herbaceous_legumes,14.09,17.34,47.68,68.75
CIAT-22784,Desmanthus bicornutus,Shrub_Trees,14.13333333,15.41820001,43.40764332,48.66855707,2,F24-3658,Desmanthus bicornutus,Shrub_Trees,12.84,17.47,44.64,39.85
CIAT-22915,Aeschynomene villosa,Herbaceous_legumes,13.71111111,15.34819643,41.66992578,58.09021884,1,F24-3527,Aeschynomene villosa,Herbaceous_legumes,13.71,17.48,41.67,58.09
CIAT-23248,Desmodium velutinum,Shrub_Trees,14.62,16.32905579,53.04353938,61.57650103,2,F25-0951,Desmodium velutinum,Shrub_Trees,14.13,19.07,49.94,53.11
CIAT-23259,Desmodium gangeticum,Herbaceous_legumes,15.3625,16.82876283,37.41005428,51.49363807,1,F24-3528,Desmodium gangeticum,Shrub_Trees,15.42,18.41,37.41,51.49
CIAT-23271,Desmodium velutinum,Shrub_Trees,14.3,16.29820247,50.95143878,67.40661365,2,F25-0952,Desmodium velutinum,Shrub_Trees,13.81,19.8,45.15,53.06
CIAT-23279,Desmodium velutinum,Shrub_Trees,14.35555556,16.71783959,57.35734204,51.20632498,2,F25-0953,Desmodium velutinum,Shrub_Trees,14.41,19.2,59.41,46.68
CIAT-23339,Desmodium gangeticum,Herbaceous_legumes,15.24444444,16.86907013,35.07283081,53.80787059,1,F24-3529,Desmodium gangeticum,Shrub_Trees,15.24,18.68,35.07,53.81
