23_no,23_date,23_requisitioner,23_set_ciat,23_ciat_lab_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_family,23_order,23_functional_group,23_replication,23_dm_percentage,23_av_dm_percentage,
51,,Breeding,23,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,A,30.8,31.225,
52,,Breeding,23,F25-2096,CIAT-PM21_4448,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,B,31.65,,
53,,Breeding,23,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,A,28.86,28.87,
54,,Breeding,23,F25-2101,CIAT-CIAT_16071,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,grasses,B,28.88,,
55,,Breeding,23,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,A,24.69,24.32,
56,,Breeding,23,F25-2105,CIAT-BR09_4467,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,grasses,B,23.95,,
57,,LMF-invivo,23,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,A,39.56,40.04,
58,,LMF-invivo,23,F25-2131,Muestra # 02,Cynodon,nlenfuensis,Cynodon nlemfuensis, Poaceae,Poales,grasses,B,40.52,,
59,,Breeding,23,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,37.41,36.16,
60,,Breeding,23,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,34.91,,
61,,Breeding,23,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,32.78,33.045,
62,,Breeding,23,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,33.31,,
63,,LMF,23,F25-0017,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,0,0,0,A,,#DIV/0!,
