22_no,22_date,22_requisitioner,22_set_ciat,22_ciat_lab_id,22_gene_bank_breeding_program_id,22_genus,22_species,22_tax_name,22_family,22_order,22_functional_group,22_replication,22_dm_percentage,22_av_dm_percentage
82,,Genetic bank,24,F25-1676,CIAT-17403,Flemingia,macrophylla,Flemingia macrophylla,Fabaceae,Fabales,Shrub,B,18.3851851,
83,,Genetic bank,24,F25-1677,CIAT-17519,Mimosa,somnians,Mimosa somnians,Fabaceae,Fabales,Herbaceous,A,17.65179446,17.65179446
84,,Genetic bank,24,F25-1677,CIAT-17519,Mimosa,somnians,Mimosa somnians,Fabaceae,Fabales,Herbaceous,B,17.65179446,
85,,Genetic bank,24,F25-1678,CIAT-17896,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,A,15.64033488,15.64033488
86,,Genetic bank,24,F25-1678,CIAT-17896,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Herbaceous,B,15.64033488,
87,,Genetic bank,24,F25-1679,CIAT-18123,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,A,14.9986906,14.9986906
88,,Genetic bank,24,F25-1679,CIAT-18123,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,B,14.9986906,
89,,Genetic bank,24,F25-1680,CIAT-18126,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,A,17.86623651,18.01766567
90,,Genetic bank,24,F25-1680,CIAT-18126,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,B,18.16909484,
91,,Genetic bank,24,F25-1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,A,17.34307537,17.34307537
92,,Genetic bank,24,F25-1681,CIAT-18127,Dioclea,virgata,Dioclea virgata,Fabaceae,Fabales,Climber,B,17.34307537,
93,,Genetic bank,24,F25-1682,CIAT-18668,Cratylia,argentea,Cratylia argentea,Fabaceae,Fabales,Shrub,A,21.25858579,21.25858579
