trial,field,plot,rep,X,Y,lab_delivery_date,sampling_date,material,requisitioner,id,genotype,state,comercial_name,type,biomass_g,dry_biomass_g,dry_matter_pct,height_cm,leaf_number,cover_m2,yield_g_m2,yield_kgDM_ha_cut,yield_ton_ha_cut,yield_ton_ha_year
FM2411,I1N,681,3,49,9,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-4151,BR09_4151,,,hybrid,637.3,138.04,0.216601287,44,2.5,0.73501626,187.8053691,1878.053691,1.878053691,11.26832215
FM2411,I1N,160,1,6,12,5/20/2025 0:00,4/7/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-4467,BR09_4467,,,hybrid,1364.8,278.6,0.204132474,46,4.5,1.2,232.1666667,2321.666667,2.321666667,13.93
FM2411,I1N,373,2,6,27,5/20/2025 0:00,4/9/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-4467,BR09_4467,,,hybrid,1737.1,370.6,0.213344079,51,4.5,1.525676664,242.9086114,2429.086114,2.429086114,14.57451669
FM2411,I1N,686,3,1,49,5/20/2025 0:00,4/8/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-4467,BR09_4467,,,hybrid,1302.7,283.5,0.217624933,45,4.5,1.696415508,167.1170763,1671.170763,1.671170763,10.02702458
FM2411,I1N,185,1,3,14,5/20/2025 0:00,4/7/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-4777,BR09_4777,,,hybrid,1437.7,293.7,0.204284621,33.5,4,2.216093636,132.5305011,1325.305011,1.325305011,7.951830065
FM2411,I1N,366,2,13,27,5/20/2025 0:00,4/9/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-4777,BR09_4777,,,hybrid,1548.2,342.4,0.221160057,22,3,1.556400878,219.9947359,2199.947359,2.199947359,13.19968415
FM2411,I1N,699,3,13,50,5/20/2025 0:00,4/8/2025 0:00,Interspecific U.,Breeding,CIAT-BR-09-4777,BR09_4777,,,hybrid,1901.6,431.8,0.227071939,36,4.5,1.708705194,252.705968,2527.05968,2.52705968,15.16235808
FM2411,I1N,233,1,17,9,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-5252,BR09_5252,,,hybrid,468.2,116.467118,0.248755058,,,0.73600399,158.2425089,1582.425089,1.582425089,9.494550536
FM2411,I1N,412,2,30,6,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-5252,BR09_5252,,,hybrid,462.4,109.9919482,0.23787186,,,0.55930131,196.6595577,1966.595577,1.966595577,11.79957346
FM2411,I1N,775,3,56,5,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-5252,BR09_5252,,,hybrid,922.4,222.0718755,0.240754418,,,0.63286973,350.8966616,3508.966616,3.508966616,21.0537997
FM2411,I1N,53,1,4,11,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0834,BR09_834,,,hybrid,990.7,207.28,0.2092258,47,3,0.85823161,241.5198853,2415.198853,2.415198853,14.49119312
FM2411,I1N,368,2,27,4,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0834,BR09_834,,,hybrid,713.9,167.38,0.234458608,42,2.5,0.71340934,234.6198607,2346.198607,2.346198607,14.07719164
FM2411,I1N,824,3,59,12,2/19/2026 0:00,2/11/2026 0:00,Interspecific U.,Breeding,CIAT-BR-09-0834,BR09_834,,,hybrid,1039.4,216.51,0.208302867,44,3,0.85751256,252.4860977,2524.860977,2.524860977,15.14916586
FM2411,I1N,219,1,16,9,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1176,BR12_1176,,,hybrid,434.5,134.3211953,0.30913969,,,0.5828686,230.4485013,2304.485013,2.304485013,13.82691008
FM2411,I1N,568,2,41,8,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1176,BR12_1176,,,hybrid,1591.5,344.2998779,0.216336712,,,0.86405407,398.4702924,3984.702924,3.984702924,23.90821754
FM2411,I1N,762,3,55,6,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1176,BR12_1176,,,hybrid,1341.4,305.5065186,0.227751989,,,0.7820493,390.6486696,3906.486696,3.906486696,23.43892017
FM2411,I1N,196,1,14,14,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1280,BR12_1280,,,hybrid,523.1,129.4240644,0.247417443,,,0.5751973,225.0081222,2250.081222,2.250081222,13.50048733
FM2411,I1N,317,2,23,9,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1280,BR12_1280,,,hybrid,421.4,96.94807087,0.230061867,,,0.39994888,242.401156,2424.01156,2.42401156,14.54406936
FM2411,I1N,29,1,3,1,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1282,BR12_1282,,,hybrid,376.2,85.87204486,0.228261682,,,0.46797731,183.4961718,1834.961718,1.834961718,11.00977031
FM2411,I1N,306,2,22,12,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1282,BR12_1282,,,hybrid,595.6,77.32,0.12981867,,,0.55980638,138.1191833,1381.191833,1.381191833,8.287150997
FM2411,I1N,662,3,48,4,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1282,BR12_1282,,,hybrid,1496.2,291.294929,0.194689834,,,0.85893352,339.1355934,3391.355934,3.391355934,20.3481356
FM2411,I1N,294,1,21,14,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1325,BR12_1325,,,hybrid,682.8,164.1740086,0.240442309,,,0.81337628,201.8426313,2018.426313,2.018426313,12.11055788
FM2411,I1N,553,2,40,7,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1325,BR12_1325,,,hybrid,1633.7,309.2680283,0.189305275,,,0.90315307,342.4314643,3424.314643,3.424314643,20.54588786
FM2411,I1N,645,3,47,1,5/8/2026 0:00,3/18/2026 0:00,Interspecific U.,Breeding,CIAT-BR-12-1325,BR12_1325,,,hybrid,1122,218.1339028,0.194415243,,,0.79245416,275.2637487,2752.637487,2.752637487,16.51582492
