24_no,24_date,24_requisitioner,24_set_ciat,24_ciat_lab_id,24_gene_bank_breeding_program_id,24_genus,24_species,24_tax_name,24_family,24_order,24_functional_group,24_batches_ciat,24_id_lab,24_replication,24_ndf_percentage_dm,24_av_adf_percentage_dm
95,46175,GENBANK,38,F263161,CIAT19661,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,70.54865776,70.25297088
96,46175,GENBANK,38,F263161,CIAT19661,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,69.957284,
97,46175,GENBANK,38,F263162,CIAT20129,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,66.86306129,64.9424397
98,46175,GENBANK,38,F263162,CIAT20129,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,63.02181811,
99,46175,GENBANK,38,F263163,CIAT20386,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,63.97646907,64.13357074
100,46175,GENBANK,38,F263163,CIAT20386,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,64.2906724,
101,46175,GENBANK,38,F263164,CIAT21286,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,66.4379584,66.55824818
102,46175,GENBANK,38,F263164,CIAT21286,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,66.67853796,
103,46175,GENBANK,38,F263165,CIAT22500,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,70.83663777,69.38118277
104,46175,GENBANK,38,F263165,CIAT22500,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,67.92572777,
105,46175,GENBANK,38,F263166,CIAT22501,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,69.87509797,70.24093091
106,46175,GENBANK,38,F263166,CIAT22501,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,70.60676386,
107,46175,GENBANK,38,F263167,CIAT22571,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,64.59385026,63.32056195
108,46175,GENBANK,38,F263167,CIAT22571,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,62.04727364,
109,46175,GENBANK,38,F263168,CIAT22572,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),A,67.58120586,68.43159996
110,46175,GENBANK,38,F263168,CIAT22572,Desmanthus,covillei,Desmanthus covillei,Fabaceae,Fabales,Shurb_tree,"89,90,91",OT-028(2026),B,69.28199406,
