40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_av_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
83,46175,GENBANK,38,F263155,CIAT25213,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Herbaceous_climber,94.17116577,94.16587485,9.237168307,9.280104105,90.76283169,90.71989589,14.47389582,14.22545244,37.66826332,37.74144294,61.35307489,61.93228186
84,46175,GENBANK,38,F263155,CIAT25213,Centrosema,brachypodum,Centrosema brachypodum,Fabaceae,Fabales,Herbaceous_climber,94.16058394,,9.323039903,,90.6769601,,13.97700907,,37.81462257,,62.51148883,
85,46175,GENBANK,38,F263156,CIAT32229,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,92.21311475,92.19694834,8.673607341,8.398354085,91.32639266,91.60164591,13.4668842,13.61754318,34.04381195,32.91149629,61.01163886,59.70368167
86,46175,GENBANK,38,F263156,CIAT32229,Calopogonium,galactioides,Calopogonium galactioides,Fabaceae,Fabales,Herbaceous_climber,92.18078192,,8.123100829,,91.87689917,,13.76820215,,31.77918064,,58.39572448,
87,46175,GENBANK,38,F263157,CIAT8206,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,91.92161568,91.88580784,8.160672988,8.188696739,91.83932701,91.81130326,22.22133592,22.06946093,42.46254751,42.29764066,61.21441031,61.79260985
88,46175,GENBANK,38,F263157,CIAT8206,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,91.85,,8.21672049,,91.78327951,,21.91758594,,42.13273381,,62.3708094,
89,46175,GENBANK,38,F263158,CIAT8886,Zornia,myriadena,Zornia myriadena,Fabaceae,Fabales,Herbaceous,91.72165567,91.70748917,11.94865167,12.17635466,88.05134833,87.82364534,17.08904464,17.24206939,35.60615105,35.21856878,55.83492011,56.69123611
90,46175,GENBANK,38,F263158,CIAT8886,Zornia,myriadena,Zornia myriadena,Fabaceae,Fabales,Herbaceous,91.69332267,,12.40405764,,87.59594236,,17.39509415,,34.83098651,,57.54755212,
91,46175,GENBANK,38,F263159,CIAT13701,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Shurb_tree,92.4515097,92.45226425,11.89565289,11.72147071,88.10434711,88.27852929,15.15083131,15.24998552,42.02465117,41.93029505,60.57707148,62.03438165
92,46175,GENBANK,38,F263159,CIAT13701,Pseudarthria,viscida,Pseudarthria viscida,Fabaceae,Fabales,Shurb_tree,92.45301879,,11.54728853,,88.45271147,,15.34913974,,41.83593894,,63.49169182,
93,46175,GENBANK,38,F263160,CIAT18859,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,92.70145971,92.65109982,12.50679429,12.84737075,87.49320571,87.15262925,16.41954924,16.16684783,42.50578734,43.15954931,63.04845954,62.43068152
94,46175,GENBANK,38,F263160,CIAT18859,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,92.60073993,,13.1879472,,86.8120528,,15.91414642,,43.81331129,,61.81290351,
95,46175,GENBANK,38,F263161,CIAT19661,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,94.55,94.51555189,10.87651693,10.6903118,89.12348307,89.3096882,18.06309196,18.16154452,50.88217199,50.1322112,70.54865776,70.25297088
96,46175,GENBANK,38,F263161,CIAT19661,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,94.48110378,,10.50410668,,89.49589332,,18.25999709,,49.38225041,,69.957284,
97,46175,GENBANK,38,F263162,CIAT20129,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,91.86244127,91.78622063,14.93240286,15.09806594,85.06759714,84.90193406,25.08603022,24.98092848,33.8673564,33.99040411,66.86306129,64.9424397
98,46175,GENBANK,38,F263162,CIAT20129,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,91.71,,15.26372903,,84.73627097,,24.87582675,,34.11345183,,63.02181811,
99,46175,GENBANK,38,F263163,CIAT20386,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,91.61167766,91.57626179,22.09737809,21.36692535,77.90262191,78.63307465,18.12210566,17.92256556,37.73180977,38.00499956,63.97646907,64.13357074
100,46175,GENBANK,38,F263163,CIAT20386,Desmanthus,leptophyllus,Desmanthus leptophyllus,Fabaceae,Fabales,Shurb_tree,91.54084592,,20.63647262,,79.36352738,,17.72302546,,38.27818934,,64.2906724,
101,46175,GENBANK,38,F263164,CIAT21286,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,92.14157169,92.13735921,10.48225005,10.50290029,89.51774995,89.49709971,18.1126689,18.06400798,42.64528494,42.1216704,66.4379584,66.55824818
102,46175,GENBANK,38,F263164,CIAT21286,Pseudarthria,hookeri,Pseudarthria hookeri,Fabaceae,Fabales,Shurb_tree,92.13314674,,10.52355053,,89.47644947,,18.01534706,,41.59805586,,66.67853796,
103,46175,GENBANK,38,F263165,CIAT22500,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,91.78082192,91.77082292,9.718893005,9.713445195,90.28110699,90.2865548,16.5704174,16.82810522,44.36763353,44.8357616,70.83663777,69.38118277
104,46175,GENBANK,38,F263165,CIAT22500,Desmanthus,fruticosus,Desmanthus fruticosus,Fabaceae,Fabales,Shurb_tree,91.76082392,,9.707997385,,90.29200261,,17.08579303,,45.30388968,,67.92572777,
