10_sample_serial_no,10_date,10_requisitioner,10_set_ciat,10_ciat_lab_id,10_gene_bank_breeding_program_id,10_genus,10_species,10_tax_name,10_family,10_order,10_functional_group,10_batches_ciat,10_id_lab,10_observaciones
108,46203,BREEDING,39,F262935,CIAT-BR12_2367,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
109,46203,BREEDING,39,F262936,CIAT-BR12_2461,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
110,46203,BREEDING,39,F262937,CIAT-BR12_3018,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
111,46203,BREEDING,39,F262938,CIAT-BR12_3067,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
112,46203,BREEDING,39,F262939,CIAT-BR12_3069,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
113,46203,BREEDING,39,F262940,CIAT-BR12_3358,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
114,46203,BREEDING,39,F262941,CIAT-BR12_3377,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
115,46203,BREEDING,39,F262942,CIAT-BR12_49,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
116,46203,BREEDING,39,F262943,CIAT-BR12_61,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
117,46203,BREEDING,39,F262944,CIAT-BR12_91,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
118,46203,BREEDING,39,F262945,CIAT-BR15_1468,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
119,46203,BREEDING,39,F262946,CIAT-BR15_1628,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
120,46203,BREEDING,39,F262947,CIAT-BR15_1689,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,Bach 94 reemplazado por Bach 104 (set 43)
121,46203,BREEDING,39,F262948,CIAT-BR15_1712,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,"Bach 93, 94 reemplazado por Bach 104, 105 (set 43)"
122,46203,BREEDING,39,F262949,CIAT-BR15_1830,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
123,46203,BREEDING,39,F262950,CIAT-BR15_1865,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
124,46203,BREEDING,39,F262951,CIAT-BR15_1877,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
125,46203,BREEDING,39,F262952,CIAT-BR15_2174,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
126,46203,BREEDING,39,F262953,CIAT-BR15_2464,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
127,46203,BREEDING,39,F262954,CIAT-BR15_2528,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
128,46203,BREEDING,39,F262955,CIAT-BR15_2532,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
129,46203,BREEDING,39,F262956,CIAT-BR15_2538,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
130,46203,BREEDING,39,F262957,CIAT-BR15_2545,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,
131,46203,BREEDING,39,F262958,CIAT-BR15_2767,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,"92,93,94",OT-025,"Bach 93, 94 reemplazado por Bach 104, 105 (set 43)"
132,46203,JUAN CARDOSO,39,F263289, CIAT 17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
133,46203,JUAN CARDOSO,39,F263290,CIAT 17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
134,46203,JUAN CARDOSO,39,F263291,CIAT 13953,Desmodium,velutinum,Desmodium velutinum,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,
135,46203,JUAN CARDOSO,39,F263292,CIAT 9432,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
136,46203,JUAN CARDOSO,39,F263293,CIAT 17768,Clitoria,tertanea,Clitoria tertanea,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
137,46203,JUAN CARDOSO,39,F263294,CIAT 22768,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
138,46203,JUAN CARDOSO,39,F263295,CIAT 22598,Lablab,purpureus,Lablab purpureus,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
139,46203,JUAN CARDOSO,39,F263296,CIAT 18701,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,
140,46203,JUAN CARDOSO,39,F263297,CIAT 20891,Cajanus,cajan,Cajanus cajan,Fabaceas,Fabales,Arbustivas,"92,93,94",OT-032,Bach 94 reemplazado por Bach 104 (set 43)
141,46203,JUAN CARDOSO,39,F263298,CIAT 15551,Centrosema ,molle,Centrosema molle,Fabaceas,Fabales,Trepadoras,"92,93,94",OT-032,
