40_sample_serial_no,40_date,40_requisitioner,40_set_ciat,40_ciat_lab_id,40_gene_bank_breeding_program_id,40_genus,40_species,40_tax_name,40_family,40_order,40_functional_group,40_dm_percentage,40_av_dm_105,40_ash_dm,40_av_ash_percentage,40_om_percentage,40_om_percentage,40_pc_percentage_dm,40_av_pc_percentage,40_adf_percentage_dm,40_av_adf_percentage_dm,40_ndf_percentage_dm,40_av_ndf_percentage_dm
Sample serial No,"Date (M,D.Y)",Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
81,46090,Breeding,32,F260567,CIAT_679_Tully_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,92.80287885,92.97281088,10.77303516,10.46124073,89.22696484,89.53875927,10.76561032,10.77375993,35.52539376,35.76043809,70.60795424,70.74265136
82,46090,Breeding,32,F260567,CIAT_679_Tully_Opt,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,93.1427429,,10.1494463,,89.8505537,,10.78190954,,35.99548243,,70.87734848,
83,46090,Breeding,32,F260568,CIAT_6133_Llanero_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,95.16,95.23046991,10.54284412,10.53129131,89.45715588,89.46870869,6.960274639,6.99634781,36.22904509,36.27017016,70.55608908,70.30353998
84,46090,Breeding,32,F260568,CIAT_6133_Llanero_Exc,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,95.30093981,,10.51973849,,89.48026151,,7.03242098,,36.31129524,,70.05099089,
85,46090,LMF,32,F260656,CIAT17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Trepadoras,93.62,93.62031897,15.59490521,15.63150685,84.40509479,84.36849315,26.98062317,27.0665808,24.72973455,24.67061267,41.92022841,40.50177295
86,46090,LMF,32,F260656,CIAT17009,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Trepadoras,93.62063794,,15.66810849,,84.33189151,,27.15253842,,24.61149079,,39.08331748,
87,46090,LMF,32,F260657,CIAT17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Trepadoras,80.79192081,80.70692931,11.69547172,11.63352537,88.30452828,88.36647463,25.26007542,25.09699675,26.48436676,26.44481369,43.37380949,42.96126083
88,46090,LMF,32,F260657,CIAT17462,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Trepadoras,80.62193781,,11.57157901,,88.42842099,,24.93391808,,26.40526063,,42.54871217,
89,46090,LMF,32,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,13.1,13.1,37.8,37.75,76.05,76.05
90,46090,LMF,32,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.82123575,,11.49829497,,88.50170503,,13.1,,37.7,,76.05,
91,46119,Genebank,34,F260080,CIAT16927,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,93.24337831,93.68257089,12.70679046,12.0091009,87.29320954,87.9908991,20.27094803,20.27094803,33.3986131,33.18558025,62.89000295,63.62626334
92,46119,Genebank,34,F260080,CIAT16927,Brachiaria,nigropedata,Brachiaria nigropedata,Poaceae,Poales,Grasses,94.12176347,,11.31141135,,88.68858865,,20.27094803,,32.9725474,,64.36252373,
