40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
489,21,F25-2156,CIAT-BH22_3115,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.49025097,97.62057531,11.20553334,11.24993159,88.79446666,88.75006841,5.664369187,5.653108263,33.79087159,33.37475685,71.98398427,70.98921544
490,21,F25-2156,CIAT-BH22_3115,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.75089964,,11.29432984,,88.70567016,,5.641847339,,32.95864212,,69.99444661,
491,21,F25-2157,CIAT-BH22_1375,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.19056189,97.27028094,14.11248576,13.89286341,85.88751424,86.10713659,7.600521119,7.609083719,32.29512085,32.46785919,67.29892482,67.66044365
492,21,F25-2157,CIAT-BH22_1375,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.35,,13.67324107,,86.32675893,,7.617646318,,32.64059754,,68.02196249,
493,21,F25-2158,CIAT-CIAT_6133,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.32033593,98.3854004,11.62541638,11.51306361,88.37458362,88.48693639,6.562519625,6.574016526,33.85188508,33.67410337,73.06607359,72.89463033
494,21,F25-2158,CIAT-CIAT_6133,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.45046486,,11.40071084,,88.59928916,,6.585513427,,33.49632166,,72.72318708,
495,21,F25-2159,CIAT-CIAT_679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.2,97.32025595,12.14546744,12.00556361,87.85453256,87.99443639,6.166136676,6.189963155,31.25765239,31.71853479,70.45349654,70.7733983
496,21,F25-2159,CIAT-CIAT_679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.4405119,,11.86565977,,88.13434023,,6.213789634,,32.1794172,,71.09330005,
497,21,F25-2160,CIAT-BH22_4865,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.33080076,97.48075577,15.10614296,15.16254743,84.89385704,84.83745257,8.767376851,8.77320935,32.37951604,32.48394849,67.41040777,67.33040602
498,21,F25-2160,CIAT-BH22_4865,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.63071079,,15.2189519,,84.7810481,,8.77904185,,32.58838094,,67.25040428,
499,21,F25-2161,CIAT-BH22_1706,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.65023498,97.70511749,11.49261922,11.63136471,88.50738078,88.36863529,5.63082443,5.658259019,34.57037428,34.5841574,72.42761002,72.36616736
500,21,F25-2161,CIAT-BH22_1706,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.76,,11.7701102,,88.2298898,,5.685693607,,34.59794052,,72.30472471,
501,21,F25-2162,CIAT-BH22_4169,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.54122939,97.63072868,12.37720765,12.26702467,87.62279235,87.73297533,7.411183055,7.40724886,35.71838082,35.73863513,72.23847788,72.26186249
502,21,F25-2162,CIAT-BH22_4169,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.72022798,,12.15684168,,87.84315832,,7.403314666,,35.75888944,,72.28524711,
503,21,F25-2163,CIAT-BH22_1258,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.65117441,97.72580716,12.57994529,12.52556324,87.42005471,87.47443676,7.00339702,7.02190421,34.12215936,34.17543822,70.86531813,71.11368504
504,21,F25-2163,CIAT-BH22_1258,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.80043991,,12.4711812,,87.5288188,,7.040411401,,34.22871708,,71.36205195,
505,21,F25-2164,CIAT-BH22_1370,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.61,97.72021696,15.51367821,15.35865839,84.48632179,84.64134161,8.719286695,8.665439214,29.81896216,29.64117134,66.31169838,66.1673892
506,21,F25-2164,CIAT-BH22_1370,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.83043391,,15.20363857,,84.79636143,,8.611591733,,29.46338052,,66.02308002,
507,21,F25-2165,CIAT-BH22_2225,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.10018998,98.0553934,10.05453525,10.19626372,89.94546475,89.80373628,6.651601914,6.619562922,36.11201689,36.2547633,72.76559713,73.12233208
508,21,F25-2165,CIAT-BH22_2225,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.01059682,,10.33799219,,89.66200781,,6.587523931,,36.39750972,,73.47906703,
509,21,F25-2166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.22017798,98.21035891,15.07836781,13.77901606,84.92163219,86.22098394,8.72979258,8.766536374,36.95942436,36.79674098,73.73777137,73.55562007
510,21,F25-2166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.20053984,,12.4796643,,87.5203357,,8.803280168,,36.6340576,,73.37346877,
511,21,F25-2167,CIAT-BH22_3507,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.91104448,97.94102949,12.22573732,12.17981427,87.77426268,87.82018573,6.616281129,6.61117864,35.19497726,35.28924312,72.10376767,71.86724574
512,21,F25-2167,CIAT-BH22_3507,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.97101449,,12.13389121,,87.86610879,,6.60607615,,35.38350897,,71.63072382,
513,21,F25-2168,CIAT-BH22_4253,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.95081967,97.9656118,12.81569908,13.12314906,87.18430092,86.87685094,8.496684574,8.470464368,32.33298485,32.10494149,68.45003315,68.01386275
514,21,F25-2168,CIAT-BH22_4253,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.98040392,,13.43059905,,86.56940095,,8.444244161,,31.87689813,,67.57769235,
515,21,F25-2169,CIAT-BH22_2189,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.85157421,96.89594009,15.77192894,15.58933529,84.22807106,84.41066471,8.01664,8.007660286,33.94509939,33.24245098,68.8231406,68.20306424
516,21,F25-2169,CIAT-BH22_2189,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.94030597,,15.40674164,,84.59325836,,7.998680571,,32.53980257,,67.58298788,
517,21,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.37026297,97.48525147,10.96466485,10.74926919,89.03533515,89.25073081,9.797891651,9.787499801,37.41345348,36.16142426,73.32411739,72.25733601
518,21,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.60023998,,10.53387353,,89.46612647,,9.77710795,,34.90939504,,71.19055463,
519,21,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.47176412,96.45123899,12.31094913,12.33871005,87.68905087,87.66128995,6.210809926,6.221073081,32.77607573,33.04362964,70.93908626,71.21900706
520,21,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.43071386,,12.36647098,,87.63352902,,6.231336235,,33.31118355,,71.49892785,
521,21,F25-2172,CIAT-BH22_0132,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.53034697,96.52534747,10.85616616,10.95975553,89.14383384,89.04024447,6.605148052,6.603827682,35.11802313,35.41690731,71.07530804,71.89493823
522,21,F25-2172,CIAT-BH22_0132,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.52034797,,11.0633449,,88.9366551,,6.602507313,,35.71579149,,72.71456842,
523,21,F25-2173,CIAT-BH22_3521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.39156506,97.40591152,11.31695787,11.33518476,88.68304213,88.66481524,8.409007726,8.413893019,27.95015921,27.68683307,67.54347471,67.7929552
524,21,F25-2173,CIAT-BH22_3521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.42025797,,11.35341165,,88.64658835,,8.418778313,,27.42350693,,68.04243569,
525,21,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,0,0,0,0,0,0
526,21,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,0,,0,,0,
527,21,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,0,0,0,0,0,0
528,21,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
529,21,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,0,0,0,0,0,0
530,21,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
531,22,F25-2174,CIAT-BH22_2074,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.77161419,96.84142485,13.62371869,13.33538275,86.37628131,86.66461725,7.589883903,7.652005953,31.69203302,31.55528452,68.09051511,67.79857367
532,22,F25-2174,CIAT-BH22_2074,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.91123551,,13.0470468,,86.9529532,,7.714128003,,31.41853601,,67.50663223,
533,22,F25-2175,CIAT-BH22_0456,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.61033897,96.71032897,11.06286187,10.98531844,88.93713813,89.01468156,6.042491889,6.020004014,29.57505781,29.80071497,68.05008874,67.90360723
534,22,F25-2175,CIAT-BH22_0456,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.81031897,,10.90777502,,89.09222498,,5.99751614,,30.02637212,,67.75712573,
535,22,F25-2176,CIAT-BH22_1832,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.31161303,97.35080652,10.89219309,10.81841978,89.10780691,89.18158022,6.654398504,6.640333527,32.46886362,32.59587571,72.17855871,72.55825504
536,22,F25-2176,CIAT-BH22_1832,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.39,,10.74464647,,89.25535353,,6.626268549,,32.72288779,,72.93795138,
537,22,F25-2177,CIAT-BH22_1872,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.54122939,97.62630128,11.63039334,11.57350867,88.36960666,88.42649133,6.98310489,6.895026897,33.32298508,33.73371071,70.46696043,71.30774858
538,22,F25-2177,CIAT-BH22_1872,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.71137318,,11.516624,,88.483376,,6.806948905,,34.14443634,,72.14853673,
539,22,F25-2178,CIAT-BH22_0071,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.03118752,97.09144825,13.36349422,13.53199964,86.63650578,86.46800036,7.377718474,7.411669525,37.43111341,36.87789805,71.71758682,70.97224392
540,22,F25-2178,CIAT-BH22_0071,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.15170897,,13.70050507,,86.29949493,,7.445620577,,36.32468269,,70.22690103,
541,22,F25-2179,CIAT-BH22_4454,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.46025397,97.61035094,10.97109989,11.16004263,89.02890011,88.83995737,6.538680055,6.525313077,32.07086068,31.1246096,70.10903111,68.57518088
542,22,F25-2179,CIAT-BH22_4454,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.76044791,,11.34898536,,88.65101464,,6.511946099,,30.17835851,,67.04133065,
543,22,F25-2180,CIAT-BH22_1267,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.65046991,97.71556785,10.49776268,10.31820044,89.50223732,89.68179956,6.062272028,5.990733796,32.89242637,32.7650623,70.56489953,70.79286283
544,22,F25-2180,CIAT-BH22_1267,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.7806658,,10.1386382,,89.8613618,,5.919195565,,32.63769824,,71.02082612,
545,22,F25-2181,CIAT-BH22_1303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.80095971,96.85578879,11.54979392,11.54004873,88.45020608,88.45995127,7.591035388,7.588758988,34.72920939,35.25135619,71.30896955,72.11901345
546,22,F25-2181,CIAT-BH22_1303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.91061788,,11.53030354,,88.46969646,,7.586482588,,35.77350299,,72.92905736,
547,22,F25-2182,CIAT-BH22_2508,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.85107446,97.89074419,13.01821566,13.18868956,86.98178434,86.81131044,8.619583105,8.681365205,34.02226269,33.87672656,70.90609393,70.42722596
548,22,F25-2182,CIAT-BH22_2508,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.93041392,,13.35916345,,86.64083655,,8.743147304,,33.73119043,,69.94835798,
549,22,F25-2183,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.93092072,97.08059885,10.38001107,10.3501499,89.61998893,89.6498501,6.817642035,6.705620313,32.14666522,32.1820102,70.19878031,70.29114373
550,22,F25-2183,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.23027697,,10.32028873,,89.67971127,,6.59359859,,32.21735518,,70.38350715,
,22,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,0,0,0,0,0,0
,22,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,0,,0,,0,
,22,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,0,0,0,0,0,0
,22,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,0,,0,,0,
