40qraw_no,40qraw_set_ciat,40qraw_sample_id,40qraw_gene_bank_breeding_program_id,40qraw_genus,40qraw_species,40qraw_tax_name,40qraw_family,40qraw_order,40qraw_functional_group,40qraw_replication_dm_percentage,40qraw_dm_percentage,40qraw_av_dm_105,40qraw_ash_dm,40qraw_av_ash_percentage,40qraw_om_percentage,40qraw_om_percentage,40qraw_pc_percentage_dm,40qraw_av_pc_percentage,40qraw_adf_percentage_dm,40qraw_av_adf_percentage_dm,40qraw_ndf_percentage_dm,40qraw_av_ndf_percentage_dm
No,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
76,15,F24-3644,ABC-18708,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,B,92.87,,10.78,,89.22,,23.89,,19.77,,44.14,
77,15,F24-3645,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,A,93.88,93.935,14.26,14.285,85.74,85.715,23.09,23.09,20.56,20.435,41.49,40.555
78,15,F24-3645,ABC-18850,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,B,93.99,,14.31,,85.69,,23.09,,20.31,,39.62,
79,15,F24-3646,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,A,93.34,93.43,13.48,13.545,86.52,86.455,18.24,18.24,23.95,23.385,42.63,41.27
80,15,F24-3646,ABC-18865,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,B,93.52,,13.61,,86.39,,18.24,,22.82,,39.91,
81,15,F24-3647,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,A,92.45,92.42,14.82,14.725,85.18,85.275,23.96,23.96,17.05,17.665,38.7,39.85
82,15,F24-3647,ABC-19032,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,B,92.39,,14.63,,85.37,,23.96,,18.28,,41,
83,15,F24-3648,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,A,92.49,92.495,23.88,23.765,76.12,76.235,20.28,20.28,21.53,22.195,40.84,41.365
84,15,F24-3648,ABC-19119,Alysicarpus,rugosus,Alysicarpus rugosus,Fabaceae,Fabales,Herbaceous,B,92.5,,23.65,,76.35,,20.28,,22.86,,41.89,
85,15,F24-3650,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,A,88.97,88.975,16.24,16.205,83.76,83.795,21.53,21.53,13.78,12.765,34.89,33.06
86,15,F24-3650,ABC-20303,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,B,88.98,,16.17,,83.83,,21.53,,11.75,,31.23,
87,15,F24-3651,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,A,92.07,92.035,21.57,21.075,78.43,78.925,20.67,20.68,21.23,21.065,38.96,38.55
88,15,F24-3651,ABC-20589,Uraria,lagopodioides,Uraria lagopodioides,Fabaceae,Fabales,Herbaceous,B,92,,20.58,,79.42,,20.69,,20.9,,38.14,
89,15,F24-3652,ABC-21687,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,A,91.82,91.865,8.55,8.54,91.45,91.46,28.43,28.43,31.51,32.71,50.32,47.95
