21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional group,21_replication,21_dm_percentage,21_av_dm_105,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_om_percentage,21_remarks
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Replication,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %",Remarks
473,,21,F25-2148,CIAT-CIAT_16891,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.30101939,98.40058469,13.81276843,12.84579563,86.18723157,87.15420437,
474,,21,F25-2148,CIAT-CIAT_16891,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.50014999,,11.87882283,,88.12117717,,
475,,21,F25-2149,CIAT-CIAT_26146,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.72076754,98.77561768,13.13301498,12.17799646,86.86698502,87.82200354,
476,,21,F25-2149,CIAT-CIAT_26146,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.83046781,,11.22297793,,88.77702207,,
477,,21,F25-2150,CIAT-CIAT_26149,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.34033193,98.43523946,13.99625239,14.71308744,86.00374761,85.28691256,
478,,21,F25-2150,CIAT-CIAT_26149,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.53014699,,15.42992249,,84.57007751,,
479,,21,F25-2151,CIAT-CIAT_26160,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.02079168,98.10048683,15.03978098,14.13489443,84.96021902,85.86510557,
480,,21,F25-2151,CIAT-CIAT_26160,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.18018198,,13.23000787,,86.76999213,,
481,,21,F25-2152,CIAT-CIAT_26415,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.72136718,97.76134319,13.07503578,13.33571867,86.92496422,86.66428133,
482,,21,F25-2152,CIAT-CIAT_26415,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.80131921,,13.59640155,,86.40359845,,
483,,21,F25-2153,CIAT-BH22_4092,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.23053084,98.21535541,15.10512208,14.51615247,84.89487792,85.48384753,
484,,21,F25-2153,CIAT-BH22_4092,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.20017998,,13.92718285,,86.07281715,,
485,,21,F25-2154,CIAT-CIAT_26438,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.88,98.00509349,12.51975746,12.57524545,87.48024254,87.42475455,
486,,21,F25-2154,CIAT-CIAT_26438,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.13018698,,12.63073345,,87.36926655,,
487,,21,F25-2155,CIAT-CIAT_26570,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.78044391,97.83043391,13.86816556,13.76085846,86.13183444,86.23914154,
488,,21,F25-2155,CIAT-CIAT_26570,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.88042392,,13.65355135,,86.34644865,,
489,,21,F25-2156,CIAT-BH22_3115,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.49025097,97.62057531,11.20553334,11.24993159,88.79446666,88.75006841,
490,,21,F25-2156,CIAT-BH22_3115,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.75089964,,11.29432984,,88.70567016,,
491,,21,F25-2157,CIAT-BH22_1375,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.19056189,97.27028094,14.11248576,13.89286341,85.88751424,86.10713659,
492,,21,F25-2157,CIAT-BH22_1375,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.35,,13.67324107,,86.32675893,,
493,,21,F25-2158,CIAT-CIAT_6133,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.32033593,98.3854004,11.62541638,11.51306361,88.37458362,88.48693639,
494,,21,F25-2158,CIAT-CIAT_6133,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.45046486,,11.40071084,,88.59928916,,
495,,21,F25-2159,CIAT-CIAT_679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.2,97.32025595,12.14546744,12.00556361,87.85453256,87.99443639,
496,,21,F25-2159,CIAT-CIAT_679,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.4405119,,11.86565977,,88.13434023,,
497,,21,F25-2160,CIAT-BH22_4865,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.33080076,97.48075577,15.10614296,15.16254743,84.89385704,84.83745257,
498,,21,F25-2160,CIAT-BH22_4865,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.63071079,,15.2189519,,84.7810481,,
499,,21,F25-2161,CIAT-BH22_1706,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.65023498,97.70511749,11.49261922,11.63136471,88.50738078,88.36863529,
500,,21,F25-2161,CIAT-BH22_1706,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.76,,11.7701102,,88.2298898,,
501,,21,F25-2162,CIAT-BH22_4169,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.54122939,97.63072868,12.37720765,12.26702467,87.62279235,87.73297533,
502,,21,F25-2162,CIAT-BH22_4169,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.72022798,,12.15684168,,87.84315832,,
503,,21,F25-2163,CIAT-BH22_1258,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.65117441,97.72580716,12.57994529,12.52556324,87.42005471,87.47443676,
504,,21,F25-2163,CIAT-BH22_1258,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.80043991,,12.4711812,,87.5288188,,
505,,21,F25-2164,CIAT-BH22_1370,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.61,97.72021696,15.51367821,15.35865839,84.48632179,84.64134161,
506,,21,F25-2164,CIAT-BH22_1370,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.83043391,,15.20363857,,84.79636143,,
507,,21,F25-2165,CIAT-BH22_2225,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.10018998,98.0553934,10.05453525,10.19626372,89.94546475,89.80373628,
508,,21,F25-2165,CIAT-BH22_2225,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.01059682,,10.33799219,,89.66200781,,
509,,21,F25-2166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,98.22017798,98.21035891,15.07836781,13.77901606,84.92163219,86.22098394,
510,,21,F25-2166,CIAT-BH22_0528,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,98.20053984,,12.4796643,,87.5203357,,
511,,21,F25-2167,CIAT-BH22_3507,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.91104448,97.94102949,12.22573732,12.17981427,87.77426268,87.82018573,
512,,21,F25-2167,CIAT-BH22_3507,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.97101449,,12.13389121,,87.86610879,,
513,,21,F25-2168,CIAT-BH22_4253,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.95081967,97.9656118,12.81569908,13.12314906,87.18430092,86.87685094,
514,,21,F25-2168,CIAT-BH22_4253,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.98040392,,13.43059905,,86.56940095,,
515,,21,F25-2169,CIAT-BH22_2189,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.85157421,96.89594009,15.77192894,15.58933529,84.22807106,84.41066471,
516,,21,F25-2169,CIAT-BH22_2189,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.94030597,,15.40674164,,84.59325836,,
517,,21,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.37026297,97.48525147,10.96466485,10.74926919,89.03533515,89.25073081,
518,,21,F25-2170,CIAT-BH22_0765,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.60023998,,10.53387353,,89.46612647,,
519,,21,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.47176412,96.45123899,12.31094913,12.33871005,87.68905087,87.66128995,
520,,21,F25-2171,CIAT-BH22_2531,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.43071386,,12.36647098,,87.63352902,,
521,,21,F25-2172,CIAT-BH22_0132,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.53034697,96.52534747,10.85616616,10.95975553,89.14383384,89.04024447,
522,,21,F25-2172,CIAT-BH22_0132,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.52034797,,11.0633449,,88.9366551,,
523,,21,F25-2173,CIAT-BH22_3521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.39156506,97.40591152,11.31695787,11.33518476,88.68304213,88.66481524,
524,,21,F25-2173,CIAT-BH22_3521,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.42025797,,11.35341165,,88.64658835,,
525,,21,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,A,91.34432784,91.33303174,9.990152095,10.05857506,90.0098479,89.94142494,
526,,21,F25-0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,B,91.32173565,,10.12699803,,89.87300197,,
527,,21,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,
528,,21,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
529,,21,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
530,,21,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
531,,22,F25-2174,CIAT-BH22_2074,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.77161419,96.84142485,13.62371869,13.33538275,86.37628131,86.66461725,
532,,22,F25-2174,CIAT-BH22_2074,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.91123551,,13.0470468,,86.9529532,,
533,,22,F25-2175,CIAT-BH22_0456,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.61033897,96.71032897,11.06286187,10.98531844,88.93713813,89.01468156,
534,,22,F25-2175,CIAT-BH22_0456,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.81031897,,10.90777502,,89.09222498,,
535,,22,F25-2176,CIAT-BH22_1832,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.31161303,97.35080652,10.89219309,10.81841978,89.10780691,89.18158022,
536,,22,F25-2176,CIAT-BH22_1832,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.39,,10.74464647,,89.25535353,,
537,,22,F25-2177,CIAT-BH22_1872,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.54122939,97.62630128,11.63039334,11.57350867,88.36960666,88.42649133,
538,,22,F25-2177,CIAT-BH22_1872,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.71137318,,11.516624,,88.483376,,
539,,22,F25-2178,CIAT-BH22_0071,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.03118752,97.09144825,13.36349422,13.53199964,86.63650578,86.46800036,
540,,22,F25-2178,CIAT-BH22_0071,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.15170897,,13.70050507,,86.29949493,,
541,,22,F25-2179,CIAT-BH22_4454,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.46025397,97.61035094,10.97109989,11.16004263,89.02890011,88.83995737,
542,,22,F25-2179,CIAT-BH22_4454,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.76044791,,11.34898536,,88.65101464,,
543,,22,F25-2180,CIAT-BH22_1267,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.65046991,97.71556785,10.49776268,10.31820044,89.50223732,89.68179956,
544,,22,F25-2180,CIAT-BH22_1267,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.7806658,,10.1386382,,89.8613618,,
545,,22,F25-2181,CIAT-BH22_1303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.80095971,96.85578879,11.54979392,11.54004873,88.45020608,88.45995127,
546,,22,F25-2181,CIAT-BH22_1303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,96.91061788,,11.53030354,,88.46969646,,
547,,22,F25-2182,CIAT-BH22_2508,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,97.85107446,97.89074419,13.01821566,13.18868956,86.98178434,86.81131044,
548,,22,F25-2182,CIAT-BH22_2508,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.93041392,,13.35916345,,86.64083655,,
549,,22,F25-2183,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,A,96.93092072,97.08059885,10.38001107,10.3501499,89.61998893,89.6498501,
550,,22,F25-2183,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,B,97.23027697,,10.32028873,,89.67971127,,
551,,22,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,A,89.73205359,89.69309597,6.183844011,6.035393965,93.81615599,93.96460604,
552,,22,F25-0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,B,89.65413834,,5.886943918,,94.11305608,,
553,,22,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,A,93.64063594,93.73093584,11.32941805,11.41385651,88.67058195,88.58614349,
554,,22,F25-0008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,B,93.82123575,,11.49829497,,88.50170503,,
