43_no,43_date,43_requisitioner,43_set_ciat,43_ciat_lab_id,43_gene_bank_breeding_program_id,43_genus,43_species,43_tax_name,43_family,43_ordeer,43_functional_group,43_av_dm_105,43_av_ash_percentage,43_om_percentage,43_av_pc_percentage,43_av_adf_percentage_dm,43_av_ndf_percentage,43_net_gas_8h_ml,43_net_gas_8_24_ml,43_net_gas_24h_ml,43_ch4_8h_ml,43_ch4_8_24h_ml,43_ch4_24h_ml,43_gas_ml_g_dm_incubated_24h,43_percentage_dmd_truly_digestibility,43_part_fact,43_ch4_ml_in_gas_8h,43_ch4_ml_in_gas_24h,43_ch4_ml_g_dm_incubated_24h,43_ch4_ml_g_dmd_24h2,43_ch4_ml_g_ndf_digested_in_24h,43_ch4_g_g_dm_incubated_24h,43_ch4_g_dmd_24h
No,"Date (M,D.Y)",Requisitioner2,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Av DM 105,"Av Ash, %","OM, %","Av PC, %"," Av ADF, % (DM)"," Av NDF, % (DM)","Net gas 8h, ml","Net gas 8-24h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h2",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
66,46048,Genbank,28,F252577,CIAT517,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.99781159,12.88760478,87.11239522,23.68402656,23.68402656,26.72725226,33.38249099,21.34716343,67.49575641,3.864194889,5.065397016,8.929591906,148.1091618,37.98714998,2.568688878,11.575,13.23493265,19.59463986,52.88274715,-0.291840525,10.87536413,21.34716343
67,46048,Genbank,28,F252578,CIAT563,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,88.84780354,8.444929231,91.55507077,21.85730465,21.85730465,29.99083879,31.19499099,21.59716343,72.62075641,3.801993111,6.11638719,9.9183803,156.1342619,40.95053574,2.623646663,12.1875,13.66057036,21.32449235,53.48688682,-0.063157629,11.83546219,21.59716343
68,46048,Genbank,28,F252579,CIAT789,Zornia,latifolia,Zornia latifolia,Fabaceae,Fabales,Herbaceous,91.97281233,9.331025136,90.66897486,14.78857004,14.78857004,24.83226537,45.63249099,24.84716343,96.05825641,6.028166304,8.09973191,14.12789821,216.1617154,40.55323433,1.882147549,13.2,14.71062797,31.79226273,84.23295178,-0.952499333,17.64525585,24.84716343
69,46048,Genbank,28,F252580,CIAT2085,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,91.01315869,9.451343506,90.54865649,18.70996375,18.70996375,37.03959724,29.76124118,46.12008854,75.88132972,3.237939869,6.719559492,9.957499361,164.9369129,35.99113335,2.184758475,10.86666667,13.12535554,21.64378263,60.40938476,-0.948322512,12.01267382,46.12008854
70,46048,Genbank,28,F252581,CIAT2690,Stylosanthes,angustifolia,Stylosanthes angustifolia,Fabaceae,Fabales,Herbaceous,92.30309045,14.76074376,85.23925624,17.54314001,17.54314001,38.19609992,35.88249099,18.59716343,79.49575641,3.950343994,6.654495001,10.604839,174.6597038,29.90379806,1.715045398,11,13.34745827,23.29983056,85.56658817,-1.153058153,12.93180907,18.59716343
71,46048,Genbank,28,F252582,CIAT4069,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,90.94089982,11.81969195,88.18030805,20.83137982,20.83137982,32.4010087,28.69499099,27.45997298,64.12075641,3.257930847,4.871900551,8.129831398,138.893068,33.67775928,2.426862173,11.35,12.67771972,17.61022059,57.026247,-0.499350435,9.773977103,27.45997298
72,46048,Genbank,28,F252583,CIAT4141,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,92.05698448,11.96785912,88.03214088,19.79583376,19.48200475,28.07370229,34.64790634,46.56477562,81.21268197,4.643526106,7.296500922,11.94002703,178.4928755,40.83183497,2.291678699,13.4,14.70091545,26.24236235,67.85928599,-0.048330081,14.56496513,46.56477562
73,46048,Genbank,28,F252584,CIAT4532,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,92.22311644,12.06373267,87.93626733,18.9362818,18.9362818,24.10088015,40.63249099,21.17540147,87.05825641,5.34746349,7.362215533,12.70967902,189.0443298,37.30564615,1.980968374,13.175,14.60317376,27.59877268,78.96514323,-1.653602113,15.31779632,21.17540147
74,46048,Genbank,28,F252585,CIAT4537,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,91.40629561,5.748212086,94.25178791,25.08438089,25.08438089,28.16909679,39.06999099,15.01484916,84.05825641,4.592569557,6.934049042,11.5266186,182.1787096,46.91691303,2.744960553,11.75,13.70950207,24.98155639,52.99634249,0.547603197,13.86519601,15.01484916
75,46048,Genbank,28,F252586,CIAT7289,Chamaecrista,mimosoides,Chamaecrista mimosoides,Fabaceae,Fabales,Herbaceous,90.75685004,8.322782107,91.67721789,18.55944373,18.55944373,37.05595298,36.99624043,29.51637775,75.61101605,5.200560108,6.78569738,11.98625749,165.3284409,34.87926782,2.115975007,14.05,15.85443901,26.20883467,78.43083966,-0.633369415,14.54635668,29.51637775
76,46048,Genbank,28,F252587,CIAT7826,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,91.31391004,8.932184411,91.06781559,21.70179375,21.70179375,29.58125848,32.00749099,32.7638301,68.24575641,4.283938473,5.83121963,10.1151581,150.3368636,34.58584734,2.314349612,13.375,14.83085002,22.28241925,66.84575003,-0.695972889,12.36712819,32.7638301
77,46048,Genbank,28,F252588,CIAT8014,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,91.31391004,8.932184411,91.06781559,21.18340649,21.18340649,31.01340151,43.38909757,49.55676979,92.94586736,5.323491496,7.077092815,12.40058431,203.4291873,51.7643234,2.546392943,12.27142857,13.34710482,27.14104505,53.28871664,1.779125339,15.06374957,49.55676979
78,46048,Genbank,28,F252589,CIAT8849,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,90.25548645,9.616661972,90.38333803,17.57023385,17.57023385,27.22743192,33.50749099,54.7638301,71.30825641,4.253816349,6.527699993,10.78151634,157.9311571,37.41206124,2.369300643,12.7,15.12023476,23.87854387,65.40904568,-0.735911058,13.25300497,54.7638301
79,46048,Genbank,28,F252590,CIAT9326,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,92.00579942,7.754170516,92.24582948,18.83906509,18.83906509,32.05167123,38.60338329,51.91391265,90.51729593,4.696495793,7.591221952,12.28771774,196.6795848,44.23694377,2.255119933,12.15714286,13.57956017,26.69920976,62.07170015,-1.657281333,14.81852334,51.91391265
80,46048,Genbank,28,F252591,CIAT9337,Crotalaria,retusa,Crotalaria retusa,Fabaceae,Fabales,Herbaceous,92.16734622,8.753189862,91.24681014,22.45780061,22.45780061,26.15941458,36.95790935,53.8794777,81.46664415,4.434312457,5.926163184,10.36047564,176.6265466,46.30470117,2.615851408,12,12.71849064,22.46231127,50.53553733,0.08425234,12.46697138,53.8794777
81,46048,Genbank,28,F252592,CIAT9350,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,91.19264221,7.575093181,92.42490682,21.99387384,21.99387384,29.62497073,42.75749099,51.9794777,89.68325641,5.4870104,7.053827695,12.5408381,196.5860404,59.87649304,3.04551437,12.825,13.98423983,27.48959754,46.70534092,0.552404904,15.25720223,51.9794777
82,46048,Genbank,28,F252593,CIAT9352,Crotalaria,pumila,Crotalaria pumila,Fabaceae,Fabales,Herbaceous,93.40632717,9.403270852,90.59672915,22.91297307,22.81967121,30.92834653,43.38249099,54.09716343,83.99575641,5.599695081,6.74926385,12.34895893,179.755324,47.09054297,2.624714389,12.9,14.70169022,26.42741014,57.37629615,4.985397624,14.66766985,54.09716343
83,46048,Genbank,28,F252594,CIAT9472,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,92.0961833,10.150903,89.849097,18.2131397,18.2131397,24.22314912,32.10338329,30.41391265,62.51729593,3.96041078,5.33125006,9.29166084,135.7060149,35.26854447,2.622661193,12.32857143,14.85765758,20.16936161,61.18332892,-0.401853891,11.19434464,30.41391265
84,46048,Genbank,28,F252595,CIAT9531,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,91.5983853,16.18926784,83.81073216,20.55277496,20.55277496,25.71391134,31.46052614,44.84248407,76.30301022,3.911312735,7.261386974,11.17269971,166.564987,50.84988426,3.058798002,12.42857143,14.64510683,24.38936982,48.4878629,-1.409332578,13.53652221,44.84248407
85,46048,Genbank,28,F252596,CIAT10026,Stylosanthes,seabrana,Stylosanthes seabrana,Fabaceae,Fabales,Herbaceous,92.74681353,9.970892531,90.02910747,16.29399375,16.29399375,35.01632533,29.60338329,38.24624043,73.01729593,3.341965704,6.378654891,9.720620594,157.3873706,42.25408371,2.679981627,11.28571429,13.3131259,20.95259015,51.61003146,0.517034455,11.62905003,38.24624043
86,46048,Genbank,28,F252597,CIAT12411,Stylosanthes,sympodialis,Stylosanthes sympodialis,Fabaceae,Fabales,Herbaceous,91.72124329,11.77848324,88.22151676,17.93763784,17.93763784,33.35711653,38.24624043,44.62819836,82.87443879,4.274257136,6.844929072,11.11918621,180.6476518,55.05720739,3.052408537,11.17142857,13.41677376,24.23733287,44.51362657,0.491251328,13.45213908,44.62819836
87,46048,Genbank,28,F252598,CIAT13494,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,91.66625229,10.88023618,89.11976382,21.07617968,21.07617968,23.51985913,39.63249099,31.5087348,82.68325641,4.802773435,7.024902492,11.82767593,180.2948057,47.78764241,2.675361929,12.1125,14.30624252,25.79082649,56.12592192,-0.318398392,14.31435491,31.5087348
88,46048,Genbank,28,F252599,CIAT13562,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,91.81204447,14.8037139,85.1962861,18.55661144,18.55661144,27.30491827,36.81457301,31.98144229,68.7960153,5.18419104,5.386472917,10.57066396,149.8064818,46.73469521,3.1411946,14.06666667,15.36369072,23.01813865,49.56075484,2.125068819,12.77546519,31.98144229
89,46048,Genbank,28,F252600,CIAT13593,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,90.70871514,10.4798948,89.5201052,16.64819845,16.64819845,42.86543156,32.56457301,32.89810895,65.46268197,4.785967852,5.680650142,10.46661799,144.2843615,34.39219326,2.399895174,14.68333333,15.98700287,23.0692877,76.03065924,-2.552948575,12.80385379,32.89810895
90,46048,Genbank,28,F252601,CIAT13608,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,92.60907873,9.977345563,90.02265444,17.5775175,17.5775175,44.62612732,28.23123968,32.89810895,61.12934863,3.690373022,5.401875386,9.092248408,131.9551535,31.24339346,2.385799875,13.08333333,14.87568373,19.62674482,64.76867634,-1.101146947,10.89318294,32.89810895
91,46048,Genbank,28,F252602,CIAT18277,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,89.82756762,10.32823895,89.67176105,21.9401464,21.9401464,32.66799286,22.98123968,37.89810895,60.87934863,2.850289764,5.941697065,8.791986829,135.4796906,39.45925659,2.933870377,12.41666667,14.44291761,19.56554307,51.21641187,-0.694803048,10.85921491,37.89810895
92,46048,Genbank,28,F252603,CIAT18952,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,90.34290874,18.09235425,81.90764575,16.68180624,16.65817348,41.73947776,22.98123968,26.31477562,49.2960153,2.899898896,3.90150637,6.801405267,109.0725585,32.47101605,3.014951801,12.61666667,13.79529233,15.04887712,51.45745045,-0.200359126,8.352387165,26.31477562
93,46048,Jacobo Arango/ Alejandro Montoya,28,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.55,11.4,88.6,0,0,0,24.1074741,44.06059206,68.16806617,3.821588382,7.313183283,11.13477166,145.6987721,29.31146806,2.007991084,15.9,16.33975862,23.79892339,85.63570363,-2.875109422,13.20881423,44.06059206
94,46055,Genbank,29,F252604,CIAT18953,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,89.53656703,11.97121274,88.02878726,13.46691821,13.46691821,44.85763775,33.85039771,29.97841062,63.82880833,4.715923787,4.183094055,8.899017843,142.5023353,39.30567298,2.749803964,13.88333333,13.92123963,19.86790758,51.32954373,-0.817199314,11.02703244,29.97841062
95,46055,Genbank,29,F252605,CIAT18954,Indigofera,atriceps,Indigofera atriceps,Fabaceae,Fabales,Herbaceous,92.94105982,20.28407787,79.71592213,17.60529835,17.60529835,45.5644788,28.17623335,28.96756286,57.14379622,3.415176149,4.043908167,7.459084316,122.9274194,33.48045034,2.704262672,12.02857143,13.02004982,16.0458765,49.97898633,-0.497027179,8.905739071,28.96756286
96,46055,Genbank,29,F252606,CIAT19198,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,90.54283677,11.32255879,88.67744121,26.99802394,26.99802394,33.60240728,33.28029603,30.06113719,69.982536,4.629174093,6.433643999,11.06281809,154.4872541,45.87455921,3.371063588,13.7125,15.69764735,24.4213013,53.5526074,-1.362165422,13.55424474,30.06113719
97,46055,Genbank,29,F252607,CIAT19460,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,91.03358847,10.42628781,89.57371219,21.69628458,21.69628458,33.90170078,36.45414978,34.86708689,78.19214316,5.180916733,6.60237188,11.78328861,171.6775658,25.96465287,1.501034912,14.15,15.03996433,25.87115546,105.581748,-0.407051425,14.35893888,34.86708689
98,46055,Genbank,29,F252608,CIAT20044,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,92.1761763,11.53051385,88.46948615,27.96478552,27.96478552,25.26758731,40.90529603,40.7754229,78.795036,5.890011649,6.942951146,12.8329628,170.8653701,57.06397432,3.389662776,14.3375,16.27916549,27.82800688,49.36188768,1.092470107,15.44502527,40.7754229
99,46055,Genbank,29,F252609,CIAT22423,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,90.60592881,12.05092136,87.94907864,27.74472182,27.74472182,27.76521099,42.14105615,41.49033253,83.63138868,5.720803968,6.704744644,12.42554861,184.4928874,64.95353569,3.522633638,13.5,14.82167912,27.41099737,42.49315436,0.695769158,15.21357778,41.49033253
100,46055,Genbank,29,F252610,CIAT22480,Sesbania,cannabina,Sesbania cannabina,Fabaceae,Fabales,Shurb_Tree,92.47913271,11.67710884,88.32289116,26.98075692,26.98075692,27.25312308,45.03029603,34.88970862,88.670036,6.245268313,7.082085112,13.32735343,191.6895772,56.25527665,2.937835474,13.8125,14.99775973,28.81164884,51.38769056,-3.651405415,15.99096358,34.88970862
101,46055,Genbank,29,F252611,CIAT23116,Desmodium,tortuosum,Desmodium tortuosum,Fabaceae,Fabales,Shurb_Tree,92.56574185,10.86687472,89.13312528,18.22528988,18.22528988,36.93640957,40.34279603,34.86708689,77.607536,5.712797641,6.462279366,12.17507701,167.5497127,38.28970244,2.310325279,14.1125,15.65922024,26.28529221,69.81458745,-3.532236,14.58879194,34.86708689
102,46055,Genbank,29,F252612,CIAT23416,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,92.80751346,12.2738173,87.7261827,18.14271529,18.14271529,40.90614806,28.03029603,38.11708689,61.857536,3.656267666,5.321120946,8.977388612,133.2344671,36.60887326,2.749221317,13,14.47781829,19.33639939,56.65223578,-1.189998321,10.7320362,38.11708689
103,46055,Genbank,29,F252613,CIAT23806,Desmodium,angustifolium,Desmodium angustifolium,Fabaceae,Fabales,Herbaceous,92.76608432,9.926703061,90.07329694,13.60322728,13.4971577,35.46605763,39.46779603,34.59425183,81.607536,5.343582113,6.990501968,12.33408408,175.8052782,44.03855184,2.523779983,13.4875,15.07131336,26.57108367,60.64140942,2.189880027,14.74741114,34.59425183
104,46055,Genbank,29,F252614,CIAT24104,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.29770388,13.07267813,86.92732187,26.64170878,26.64170878,26.43820876,39.46779603,33.39301472,73.732536,5.110476119,5.501633508,10.61210963,159.6812633,56.78411499,3.581693335,12.875,14.34775342,22.98238341,40.92944778,0.617509159,12.75562041,33.39301472
105,46055,Genbank,29,F252615,CIAT24565,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,90.07247376,11.42128206,88.57871794,23.16338663,23.16222903,30.78779607,30.86123367,42.88476661,73.74600029,4.001537647,6.647775167,10.64931281,163.6491149,50.41393023,3.084567769,12.91666667,14.38115912,23.63179531,46.92112006,0.069977521,13.11605525,42.88476661
106,46055,Genbank,29,F252616,CIAT33561,Desmodium,wigginsii,Desmodium wigginsii,Fabaceae,Fabales,Herbaceous,91.87581242,9.909125537,90.09087446,16.2936559,16.2936559,35.8552484,40.78029603,44.59425183,79.732536,5.689211272,6.553977773,12.24318905,173.5118276,43.12469303,2.487690973,13.8875,15.3152379,26.64323838,62.432481,-1.681270867,14.78745826,44.59425183
107,46055,Genbank,29,F252617,CIAT34038,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,91.78910886,12.2447827,87.7552173,20.56824412,20.56824412,24.04917497,37.78029603,40.04672669,82.420036,4.881886447,7.038514688,11.92040113,179.5181005,55.34103588,3.088579953,12.9,14.4367161,25.96366106,47.67993336,0.384994225,14.41028109,40.04672669
108,46055,Genbank,29,F252618,CIAT34040,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,90.65592781,12.81090438,87.18909562,25.5636915,25.5636915,22.85370059,44.96779603,45.53587186,88.982536,6.105958205,7.622558114,13.72851632,196.207529,54.28251943,2.769528856,13.5,15.39791829,30.27162527,56.11029845,5.864588585,16.80127575,45.53587186
109,46055,Genbank,29,F252619,CIAT34042,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,91.07089291,12.36824769,87.63175231,24.70704998,24.70704998,23.32593852,38.78029603,43.95706138,83.582536,5.252556488,7.491648822,12.74420531,183.4847031,49.93304202,2.726932639,13.475,15.20412431,27.9767456,56.26540624,1.790279004,15.52757784,43.95706138
110,46055,Genbank,29,F252620,CIAT34044,Vigna,aconitifolia,Vigna aconitifolia,Fabaceae,Fabales,Herbaceous,91.57463243,10.43929542,89.56070458,22.3628054,22.3628054,21.10603306,49.75647906,51.24934713,101.0058262,7.000900035,9.01126632,16.01216635,220.4571412,57.39987997,2.610142421,14.04,15.84627806,34.94843694,62.53485459,-1.760618582,19.39698715,51.24934713
111,46055,Genbank,29,F252621,CIAT34148,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,89.54261182,10.26070483,89.73929517,23.28788448,23.28788448,27.18308226,33.78029603,45.5131022,76.982536,4.707757366,7.157515431,11.8652728,171.851419,46.55242573,2.72292166,13.8875,15.40556576,26.48735512,58.17394676,13.10071819,14.70094035,45.5131022
112,46055,Genbank,29,F252622,CIAT34159,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,90.48238338,11.99382056,88.00617944,22.86358872,22.86358872,22.21471082,44.96779603,34.26201035,89.107536,6.353106865,7.237020614,13.59012748,196.9023074,54.02098815,2.757363847,14.0875,15.22033743,30.03023848,56.71945413,1.445355978,16.66730191,34.26201035
113,46055,Genbank,29,F252623,CIAT34347,Vigna,unguiculata,Vigna unguiculata,Fabaceae,Fabales,Herbaceous,89.49262532,11.99798549,88.00201451,32.50938499,32.4648997,23.31284213,42.00622842,43.90538795,85.91161637,5.320695992,7.125741991,12.44643798,191.8945248,61.00810992,3.178529586,12.66666667,14.4904881,27.80073795,45.6424724,2.191541277,15.42989054,43.90538795
114,46055,Genbank,29,F251692,CIAT-23715,Desmodium,sequax,Desmodium sequax,Fabaceae,Fabales,Shrub,,,,,,,,,,,,,,,,,,,,,,
115,46055,Jacobo Arango/ Alejandro Montoya,29,F250008,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,Poaceae,Poales,grasses,93.55,11.4,88.6,0,0,0,24.69341512,40.47543898,65.1688541,3.768690893,6.851815892,10.62050678,139.2408005,23.07492382,1.665214796,15.275,16.28008565,22.69204061,123.4739108,2.119434606,12.59447514,40.47543898
,46062,Genbank,30,F260013,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,92.60293254,10.54077955,89.45922045,18.34283136,18.46960616,35.83839106,37.65765742,34.17685727,75.53861193,4.930251514,6.077984954,11.00823647,163.0995865,44.66308163,2.750767301,13.08571429,14.55843532,23.76846714,55.64763405,-12.93965852,13.19191048,34.17685727
,46062,Genbank,30,F260014,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,92.58296774,12.35694073,87.64305927,22.84205672,22.84205672,35.23702913,31.65765742,32.37685727,62.32432622,3.562169935,4.632800282,8.194970217,134.5670418,38.61575779,2.916812313,11.24285714,13.13284943,17.69398268,48.69260094,-1.090498294,9.820466511,32.37685727
,46062,Genbank,30,F260015,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,94.765,11.78705218,88.21294782,21.61626081,21.61626081,28.32269691,29.08622885,37.87685727,71.61004051,4.061672579,6.959743955,11.02141653,151.0585167,45.19031624,3.007175864,13.92857143,15.37793538,23.24925384,52.8658991,-0.206298256,12.90373812,37.87685727
,46062,Genbank,30,F260016,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,93.56128568,12.30498063,87.69501937,21.4350367,21.4350367,32.7530679,33.87194313,43.30185727,64.25289765,4.107841711,4.793212856,8.901054568,137.290469,42.42336443,3.099649529,12.11428571,13.85113006,19.01900644,46.3087112,-1.99598722,10.55587762,43.30185727
,46062,Genbank,30,F260017,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,94.62686923,14.27728367,85.72271633,16.06877613,16.06877613,44.13245587,35.05972984,44.67976886,68.38607833,4.648042079,5.665960755,10.31400283,144.4509118,38.76531052,2.709283658,13.26,15.07960751,21.78612611,58.91010868,2.047657526,12.09167691,44.67976886
,46062,Genbank,30,F260018,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,95.45704257,10.53930727,89.46069273,11.38570084,11.38570084,43.60282667,23.55539546,41.43122466,33.85828454,2.969305642,1.499600021,4.468905663,70.92022168,19.41989934,2.745172366,12.6,13.21757073,9.360671561,51.64943479,-0.107294935,5.195334665,41.43122466
,46062,Genbank,30,F260019,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,94.45110978,12.9300307,87.0699693,17.41588153,17.41588153,45.96543024,27.58622885,35.38209814,57.18146908,3.871328641,4.937157353,8.808485995,121.0135919,21.40353914,1.773954083,14.04285714,15.41206561,18.64139981,96.04402868,-0.359562255,10.34629941,35.38209814
,46062,Genbank,30,F260020,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,94.68738991,16.1881863,83.8118137,21.55350622,21.55350622,30.31303992,36.08622885,34.59789133,72.39575479,4.815738244,5.975543396,10.79128164,152.8717207,38.61317727,2.528988288,13.34285714,14.90622517,22.78697319,60.76043573,-0.205075218,12.64716436,34.59789133
,46062,Genbank,30,F260021,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,94.01709825,15.83738766,84.16261234,23.42333436,23.42333436,32.7547816,27.37194313,31.43122466,70.46718336,3.514520312,6.658789476,10.17330979,149.8434383,41.56442145,2.771099464,12.81428571,14.44125886,21.63274578,53.04213224,-0.485089741,12.00654818,31.43122466
,46062,Genbank,30,F260022,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,95.07574038,9.533024097,90.4669759,24.38627131,24.27463689,33.68961447,46.37194313,31.24443943,84.82432622,6.988540727,7.094819899,14.08336063,178.3494508,45.42044018,2.556937668,15.05714286,16.60865475,29.61123639,66.37605885,1.14215537,16.4347485,31.24443943
,46062,Genbank,30,F260023,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,94.72578887,18.45577814,81.54422186,17.22808905,17.22808905,28.67079411,41.30051456,30.03015372,76.96718336,5.049986511,6.207188041,11.25717455,162.4460398,44.37028797,2.74837261,12.21428571,14.62520534,23.75921257,54.78802747,0.229154361,13.18677404,30.03015372
,46062,Genbank,30,F260024,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,93.51824088,15.89269492,84.10730508,21.86273111,21.86273111,31.96986787,40.80051456,29.38729658,83.82432622,5.676376329,7.338592691,13.01496902,179.2110967,47.30289805,2.658221987,13.91428571,15.55172312,27.82523151,59.58598433,-0.670319443,15.44348489,29.38729658
,46062,Genbank,30,F260025,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,94.33169943,7.158750153,92.84124985,21.65767298,21.65767298,35.02232084,40.58622885,31.22935051,73.32432622,6.081438071,6.175773742,12.25721181,155.3915156,39.26257668,2.558951157,14.98571429,16.69950268,25.97592983,68.15154228,3.591993493,14.41709047,31.22935051
,46062,Genbank,30,F260026,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,96.04658137,8.33636884,91.66363116,20.31614144,20.31614144,40.37681224,39.58622885,34.66685051,73.11004051,5.713679796,6.171203137,11.88488293,152.1563287,36.64068245,2.42984466,14.42857143,16.24773702,24.73484309,71.68435126,2.576379161,13.72826586,34.66685051
,46062,Genbank,30,F260027,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,93.32733154,13.2231507,86.7768493,20.34431216,20.34431216,40.54684301,34.72908599,33.10435051,64.39575479,4.493879397,4.759081545,9.252960942,137.9517355,32.86839424,2.398283598,12.94285714,14.36849342,19.82217247,64.15661257,-0.696464947,11.00164867,33.10435051
,46062,Genbank,30,F260028,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,94.41223005,9.692969907,90.30703009,15.85300644,15.85300644,35.60478419,44.01480028,31.79185051,84.89575479,6.4012837,6.828049223,13.22933292,179.768211,35.63052945,1.977044779,14.54285714,15.58602551,28.01336612,84.67656082,-0.498218206,15.54790285,31.79185051
,46062,Genbank,30,F260029,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,93.33168666,15.45169958,84.54830042,20.05227466,20.05227466,42.48758016,30.51480028,34.76685051,58.11004051,4.51388168,4.439060544,8.952942224,124.4863341,33.7810963,2.735606412,14.78571429,15.42442897,19.17942162,58.31421002,-1.843206075,10.64491082,34.76685051
,46062,Genbank,30,F260030,CIAT33605,Desmodium,sandwicense x intortum,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,95.55244814,10.57478615,89.42521385,19.32230436,19.32230436,46.64076047,29.87194313,36.70435051,59.75289765,4.086377088,4.77887308,8.865250168,125.0108827,31.26798542,2.509056544,13.68571429,14.84310829,18.54721213,60.55246027,-0.885817174,10.29402362,36.70435051
