31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h,31_net_gas_8h_ml,31_net_gas_8_24h_ml,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubated_24h,31_ch4_ml_g_dmd_24h2,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h,31_remarks
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h2",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks
1079,46083,Genbank,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F260013,30,65,2,1,3,0.5002,463.1998686,205.9998686,0.327777778,41,0.661111111,79,12.8,40.5,0.361111111,85.5,16.3,,38,45,35.86123367,42.12372804,77.98496172,4.59023791,6.866167671,11.45640558,168.3613641,44.47321395,2.64153324,12.8,14.69053178,24.73317969,55.61365481,-95.90829508,13.72734264,30.86654059,
1080,46083,Genbank,CIAT590,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F260013,30,65,2,2,4,0.5001,463.1072656,246.2072656,0.327777778,41,0.6625,79,13.3,41,0.361805556,87.5,16.5,,38,46.5,35.86123367,43.62372804,79.48496172,4.769544078,7.197915127,11.96745921,171.63402,53.16419843,3.097532669,13.3,15.05625586,25.8416572,48.60725444,0.76955599,14.34256683,26.97786717,
1081,46083,Genbank,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F260014,30,65,2,1,5,0.5003,463.1925876,206.9925876,0.327777778,41,0.6625,73.5,10.9,41,0.3625,74.5,15.1,,32.5,33.5,30.36123367,30.62372804,60.98496172,3.30937447,4.624182934,7.933557405,131.6622143,44.68823404,3.394157867,10.9,13.00903892,17.1279887,38.32773674,-1.684113744,9.506330059,21.272557,
1082,46083,Genbank,CIAT778,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F260014,30,65,2,2,6,0.5001,463.0074217,201.2074217,0.328472222,41.5,0.663194444,73.5,10.9,41.5,0.363194444,75.5,14.7,,32,34,29.86123367,31.12372804,60.98496172,3.25487447,4.575188022,7.830062493,131.7148686,43.4566299,3.299295695,10.9,12.83933329,16.91131098,38.91537612,-1.111850044,9.386070176,21.59870702,
1083,46083,Genbank,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,F260015,30,65,2,1,7,0.5003,474.109295,237.309295,0.328472222,41,0.663888889,68,13.1,41,0.363194444,84,15.8,,27,43,24.86123367,40.12372804,64.98496172,3.256821611,6.339549031,9.596370642,137.0674703,50.05371072,3.651757095,13.1,14.76706362,20.24084055,40.43824175,-1.946255016,11.23401669,22.4439238,
1084,46083,Genbank,CIAT827,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,F260015,30,65,2,2,8,0.5001,473.919765,239.319765,0.328472222,41,0.663888889,68,13.8,40.5,0.363888889,86.5,16.6,,27,46,24.86123367,43.12372804,67.98496172,3.430850247,7.158538855,10.5893891,143.4524718,50.4979498,3.520186803,13.8,15.5760757,22.3442656,44.24786687,-2.649071591,12.40145399,24.55833165,
1085,46083,Genbank,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F260016,30,65,2,1,9,0.5003,468.0871123,170.7871123,0.328472222,41.5,0.664583333,76,11.5,41.5,0.364583333,77,15.2,,34.5,35.5,32.36123367,32.62372804,64.98496172,3.721541872,4.958806662,8.680348535,138.8309142,36.48618126,2.628102068,11.5,13.35747272,18.54430149,50.82554779,-0.34767054,10.29240816,28.20905836,
1086,46083,Genbank,CIAT997,Macroptilium,atropurpureum,Macroptilium atropurpureum,Fabaceae,Fabales,Herbaceous,F260016,30,65,2,2,10,0.5,467.8064284,219.6064284,0.329166667,41.5,0.665277778,75.5,11.6,41.5,0.364583333,77,15.6,Muestra en la manguera despues del clip 8h,34,35.5,31.86123367,32.62372804,64.48496172,3.695903106,5.089301575,8.785204681,137.8453946,46.94386718,3.405544836,11.6,13.62364875,18.77957238,40.00431474,-2.000704191,10.42298758,22.2030868,
1087,46083,Genbank,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,F260017,30,65,2,1,11,0.5003,473.4182268,201.4182268,0.330555556,40.5,0.665277778,76.5,13.7,41,0.365277778,79.5,17.7,Cambio de maguera 0H,,,33.86123367,35.62372804,69.48496172,4.638989013,6.305399864,10.94438888,146.7728908,42.54551586,2.898731204,13.7,15.75073024,23.1178021,54.33663603,1.958720489,12.83078013,30.15777308,
1088,46083,Genbank,CIAT1405,Stylosanthes,capitata,Stylosanthes capitata,Fabaceae,Fabales,Herbaceous,F260017,30,65,2,2,12,0.5002,473.3235999,206.1235999,0.329166667,41.5,0.665972222,76,12.7,41,0.365277778,77.5,17,,,,32.36123367,33.62372804,65.98496172,4.109876676,5.716033767,9.825910444,139.4077154,43.54813492,3.123796612,12.7,14.89113608,20.75939261,47.66999242,1.358092814,11.52182206,26.45767053,
1089,46083,Genbank,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,F260018,30,65,2,1,13,0.5001,477.3806699,125.4806699,0.329166667,41.5,0.666666667,66,11.7,40,0.365972222,57,14.6,,24.5,17,22.36123367,14.12372804,36.48496172,2.61626434,2.062064294,4.678328634,76.42739645,26.28524316,3.439243568,11.7,12.82262174,9.799995955,37.28326154,-0.150989698,5.439167305,20.69285519,
1090,46083,Genbank,CIAT1812,Stylosanthes,viscosa,Stylosanthes viscosa,Fabaceae,Fabales,Herbaceous,F260018,30,65,2,2,14,0.5002,477.4761269,110.7761269,0.329861111,40.5,0.667361111,66.5,11.7,40,0.366666667,53.5,13.3,,26,13.5,23.86123367,10.62372804,34.48496172,2.79176434,1.41295583,4.204720169,72.22342599,23.20034881,3.212302448,11.7,12.19290949,8.806136961,37.95691622,-0.115305222,4.887558369,21.0667452,
1091,46083,Genbank,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,F260019,30,65,2,1,15,0.5,472.2555489,103.8555489,0.330555556,40.5,0.667361111,68.5,13.8,40,0.366666667,75,16.7,,28,35,25.86123367,32.12372804,57.98496172,3.568850247,5.364662583,8.93351283,122.7830183,21.99138774,1.791077304,13.8,15.40660296,18.91669214,86.01863767,-0.320634706,10.49909142,47.74183212,
1092,46083,Genbank,CIAT3694,Desmodium,sandwicense,Desmodium sandwicense,Fabaceae,Fabales,Herbaceous,F260019,30,65,2,2,16,0.5003,472.5389022,140.9389022,0.330555556,40.5,0.668055556,68.5,14,40,0.367361111,73.5,16.5,,28,33.5,25.86123367,30.62372804,56.48496172,3.620572714,5.052915127,8.673487841,119.5350509,29.82588345,2.495157967,14,15.35539297,18.3550768,61.54076486,-0.577438018,10.18738519,34.15618922,
1093,46083,Genbank,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F260020,30,65,2,1,17,0.5001,473.5316369,244.9316369,0.33125,40.5,0.668055556,77,13,40.5,0.367361111,81.5,16.4,,36.5,41,34.36123367,38.12372804,72.48496172,4.466960377,6.252291399,10.71925178,153.0731129,51.72445046,3.379068308,13,14.78824231,22.63682284,43.76425973,1.842119895,12.56382832,24.28992132,
1094,46083,Genbank,CIAT4080,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F260020,30,65,2,2,18,0.5,473.4369496,206.3369496,0.33125,40.5,0.66875,78,13.1,41.5,0.368055556,81.5,16.3,Muestra en la amnguera despues del clip 24h,37.5,40,35.36123367,37.12372804,72.48496172,4.632321611,6.051167671,10.68348928,153.1037275,43.58277269,2.846617349,13.1,14.7389045,22.56581218,51.77690813,-1.061484746,12.52441617,28.73707981,
1095,46083,Genbank,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,F260021,30,65,2,1,19,0.5001,470.1795083,217.7795083,0.33125,41,0.669444444,67,12.3,41.5,0.368055556,91.5,15.5,,26,50,23.86123367,47.12372804,70.98496172,2.934931742,7.304177847,10.23910959,150.9741715,46.31837511,3.067966835,12.3,14.42433628,21.77702219,47.01594593,-0.547419572,12.08662408,26.09466341,
1096,46083,Genbank,CIAT7162,Indigofera,jamaicensis,Indigofera jamaicensis,Fabaceae,Fabales,Herbaceous,F260021,30,65,2,2,20,0.5,470.0854912,241.3854912,0.33125,41,0.670138889,69,11.7,41,0.36875,91,15.1,,28,50,25.86123367,47.12372804,72.98496172,3.02576434,7.115682934,10.14144727,155.2589116,51.34927492,3.307331888,11.7,13.895256,21.57362323,42.01349146,-1.337981252,11.97373414,23.31821464,
1097,46083,Genbank,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,F260022,30,65,2,1,21,0.5,475.3787019,244.8787019,0.331944444,41,0.670138889,87.5,14.3,40.5,0.36875,85,18.6,,46.5,44.5,44.36123367,41.62372804,85.98496172,6.343656415,7.742013416,14.08566983,180.8767649,51.51234183,2.847924765,14.3,16.38155039,29.63041839,57.52100825,2.150367133,16.44539484,31.92515475,
1098,46083,Genbank,CIAT8820,Tephrosia,cinerea,Tephrosia cinerea,Fabaceae,Fabales,Herbaceous,F260022,30,65,2,2,22,0.5002,475.5688534,240.0688534,0.331944444,40.5,0.670833333,87.5,14.1,41.5,0.369444444,86,18.5,,47,44.5,44.86123367,41.62372804,86.48496172,6.325433948,7.700389688,14.02582364,181.8558156,50.48035666,2.775845056,14.1,16.2176445,29.49272968,58.42417056,3.074878302,16.36897523,32.42642546,
1099,46083,Genbank,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,F260023,30,65,2,1,23,0.5,473.6289443,204.8289443,0.332638889,40,0.671527778,81.5,11.9,40,0.370138889,81.5,17.2,En el momento del filtrado se desperdicio un poco de muestra,41.5,41.5,39.36123367,38.62372804,77.98496172,4.683986807,6.643281223,11.32726803,164.6541299,43.24671175,2.626518496,11.9,14.52493889,23.91591174,55.30111023,-0.522853153,13.27374479,30.69307295,
1100,46083,Genbank,CIAT14080,Zornia,brasiliensis,Zornia brasiliensis,Fabaceae,Fabales,Herbaceous,F260023,30,65,2,2,24,0.5,473.6289443,215.9289443,0.332638889,41.5,0.672222222,83,11.3,40.5,0.370833333,81.5,17.1,,41.5,41,39.36123367,38.12372804,77.48496172,4.447819405,6.519157495,10.9669769,163.5984512,45.59031852,2.786720669,11.3,14.15368435,23.15520838,50.78974907,-0.659063082,12.85154126,28.18918945,
1101,46083,Genbank,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,F260024,30,65,2,1,25,0.5001,467.6847226,246.2847226,0.332638889,40.5,0.672222222,81.5,13,40,0.370833333,94.5,16.8,,41,54.5,38.86123367,51.62372804,90.48496172,5.051960377,8.672786311,13.72474669,193.474273,52.66041646,2.721830434,13,15.1679864,29.34615142,55.72715409,-1.051166271,16.28762176,30.92953466,
1102,46083,Genbank,CIAT18950,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,F260024,30,65,2,2,26,0.5002,467.7782409,243.6782409,0.332638889,41,0.672916667,83.5,12.8,40,0.371527778,90.5,17.1,,42.5,50.5,40.36123367,47.62372804,87.98496172,5.16623791,8.143657495,13.30989541,188.0911809,52.09268401,2.769544205,12.8,15.12746627,28.45342994,54.62077926,-0.923493638,15.79214589,30.31547749,
1103,46083,Genbank,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,F260025,30,65,2,1,27,0.5002,471.8471606,200.4471606,0.334027778,41,0.673611111,84,14.9,41.5,0.372222222,88,19.5,Cambio de click 0H,43,46.5,40.86123367,43.62372804,84.48496172,6.088323817,8.506626968,14.59495079,179.0515421,42.48137476,2.372577989,14.9,17.27520554,30.93152191,72.81196074,15.60382554,17.16752981,40.41189793,
1104,46083,Genbank,CIAT19193,Tephrosia,villosa,Tephrosia villosa,Fabaceae,Fabales,Herbaceous,F260025,30,65,2,2,28,0.5002,471.8471606,215.8471606,0.333333333,41,0.674305556,83,14,40.5,0.372222222,80,19.1,,42,39.5,39.86123367,36.62372804,76.48496172,5.580572714,6.995132056,12.57570477,162.0968994,45.74514347,2.822086273,14,16.44206193,26.65207258,58.26208108,1.918036356,14.79236139,32.336463,
1105,46083,Genbank,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,F260026,30,65,2,1,29,0.5002,480.425,193.425,0.333333333,41,0.675,82,14.1,40.5,0.372916667,82,18.6,,41,41.5,38.86123367,38.62372804,77.48496172,5.479433948,7.184013416,12.66344736,161.2841999,40.26122704,2.496290838,14.1,16.34310334,26.35884345,65.46954822,4.454124618,14.62961415,36.33673195,
1106,46083,Genbank,CIAT19641,Tephrosia,purpurea,Tephrosia purpurea,Fabaceae,Fabales,Herbaceous,F260026,30,65,2,2,30,0.5001,480.3289534,195.2289534,0.334027778,40.5,0.675694444,81,14.1,40,0.372916667,82,18.6,Muestra en la manguera despues del clip 8h,40.5,42,38.36123367,39.12372804,77.48496172,5.408933948,7.277013416,12.68594736,161.3164502,40.64484392,2.519572174,14.1,16.37214123,26.41095706,64.97984618,3.659073447,14.65853811,36.06493885,
1107,46083,Genbank,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,F260027,30,65,2,1,31,0.5002,466.8233123,189.0233123,0.334722222,40.5,0.676388889,78,12.4,41,0.373611111,76.5,15.9,,37.5,35.5,35.36123367,32.62372804,67.98496172,4.384792975,5.187172759,9.571965734,145.6331762,40.49140378,2.780369475,12.4,14.0795339,20.50447242,50.63907523,-1.37721257,11.38033694,28.10556286,
1108,46083,Genbank,CIAT23503,Desmodium,macrodesmum,Desmodium macrodesmum,Fabaceae,Fabales,Herbaceous,F260027,30,65,2,2,32,0.5002,466.8233123,178.0233123,0.334722222,41,0.676388889,77,12.5,40.5,0.374305556,74,15.8,,36,33.5,33.86123367,30.62372804,64.48496172,4.232654209,4.838549031,9.07120324,138.1356929,38.13505188,2.760695015,12.5,14.06716077,19.43177001,50.95514245,-0.811005134,10.78496854,28.28098564,
1109,46083,Genbank,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F260028,30,65,2,1,33,0.5002,472.2499747,198.6499747,0.334722222,41,0.677083333,86.5,13.9,41,0.374305556,87.5,16.8,,45.5,46.5,43.36123367,43.62372804,86.98496172,6.027211481,7.328786311,13.35599779,184.1926233,42.06458134,2.283727794,13.9,15.35437566,28.28162733,67.23382578,-2.548314595,15.69679247,37.31593652,
1110,46083,Genbank,CIAT24333,Macroptilium,bracteatum,Macroptilium bracteatum,Fabaceae,Fabales,Herbaceous,F260028,30,65,2,2,34,0.5002,472.2499747,226.8499747,0.335416667,41,0.677777778,86.5,14.1,41,0.375,90.5,16.6,,45.5,49.5,43.36123367,46.62372804,89.98496172,6.113933948,7.739538855,13.8534728,190.5451912,48.0359951,2.52097651,14.1,15.39531999,29.33504191,61.06887523,2.471138492,16.28145579,33.89428231,
1111,46083,,BLANK 8H,BLANK,8H,BLANK 8H,,,,BLANK8H,30,65,2,1,35,,,,0.335416667,39.5,0.677777778,42,,,,,,,2.5,,,,,,,,,,,,,,,,,,
1112,46083,,BLANK 8H,BLANK,8H,BLANK 8H,,,,BLANK8H,30,65,2,2,36,,,,0.335416667,40.5,0.678472222,42.5,,,,,,,2,,,,,,,,,,,,,,,,,,
1113,46083,Genbank,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,F260029,30,65,2,1,37,0.5001,466.751765,181.351765,0.335416667,41,0.678472222,72,13.9,41,0.375694444,78.5,16,,31,37.5,28.86123367,34.62372804,63.48496172,4.011711481,5.539796487,9.551507967,136.014401,38.85400733,2.856609819,13.9,15.04530791,20.46378543,52.66840369,-1.193160471,11.35775496,29.23187527,
1114,46083,Genbank,CIAT33235,Desmodium,scorpiurus,Desmodium scorpiurus,Fabaceae,Fabales,Herbaceous,F260029,30,65,2,2,38,0.5001,466.751765,136.351765,0.336111111,41,0.679166667,72.5,14.1,41,0.375694444,77.5,15.8,Muestra en la manguera despues del clip 8h ,31.5,36.5,29.36123367,33.62372804,62.98496172,4.139933948,5.312549031,9.452482979,134.9431677,29.21290827,2.164830481,14.1,15.00752358,20.25162771,69.32424366,-0.377574179,11.24000375,38.47615461,
1115,46083,Genbank,CIAT33605,Desmodium,sandwicense,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,F260030,30,65,2,1,39,0.5001,477.8577932,147.7577932,0.336111111,40.5,0.679166667,73,12.3,40.5,0.376388889,74,15.8,,32.5,33.5,30.36123367,30.62372804,60.98496172,3.734431742,4.838549031,8.572980772,127.6215698,30.92087129,2.422856209,12.3,14.05753243,17.94044357,58.0204982,-0.539822941,9.95725657,32.20238032,
1116,46083,Genbank,CIAT33605,Desmodium,sandwicense,Desmodium sandwicense x intortum,Fabaceae,Fabales,Herbaceous,F260030,30,65,2,2,40,0.5002,477.9533456,183.9533456,0.336805556,40.5,0.679861111,72.5,13.3,40,0.377083333,74.5,16,,32,34.5,29.86123367,31.62372804,61.48496172,3.971544078,5.059796487,9.031340565,128.6421829,38.48772005,2.991842891,13.3,14.68869836,18.89586222,49.0958212,-2.833259866,10.48753045,27.24903018,
1117,46083,Genbank,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F260031,30,65,2,1,41,0.5,454.4931748,287.6931748,0.336805556,40.5,0.680555556,82.5,13.8,40,0.377777778,89,18.2,,42,49,39.86123367,46.12372804,85.98496172,5.500850247,8.394518504,13.89536875,189.1886754,63.29977891,3.345854543,13.8,16.16023136,30.57332766,48.29926452,0.556003731,16.9687258,26.80692744,
1118,46083,Genbank,CIAT34144,Vigna,radiata,Vigna radiata,Fabaceae,Fabales,Herbaceous,F260031,30,65,2,2,42,0.5002,454.6749721,275.2749721,0.336805556,41,0.680555556,83,13.6,40,0.377777778,92,15.5,,42,52,39.86123367,49.12372804,88.98496172,5.421127779,7.614177847,13.03530563,195.7111501,60.54324275,3.093499921,13.6,14.64888603,28.66950333,47.35376242,0.673392976,15.91207036,26.28215741,
1119,46083,Genbank,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Herbaceous,F260032,30,65,2,1,43,0.5,482.3322014,276.6322014,0.336805556,41,0.68125,83,13.8,40.5,0.378472222,95.5,14.9,Se observa líquido por encima del embolo en la primera agitación,42,55,,,,,,,,,,,,,,,,,Elimin Dig
1120,46083,Genbank,CIAT7934,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Herbaceous,F260032,30,65,2,2,44,0.5,482.3322014,296.8322014,0.3375,40.5,0.681944444,81.5,14.1,40,0.378472222,92.5,14.8,Muestra en la manguera despues del clip 8h ,41,52.5,,,,,,,,,,,,,,,,,EilinDig 
1121,46083,Genbank,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Herbaceous,F260033,30,65,2,1,45,0.5,481.0056775,194.7056775,0.3375,41,0.681944444,70,12.7,40,0.379166667,73.5,14.6,,29,33.5,26.86123367,30.62372804,57.48496172,3.411376676,4.471064294,7.882440971,119.5099443,40.47887304,3.387071535,12.7,13.71217921,16.38741773,40.48387839,1.792317847,9.095300362,22.46925292,
1122,46083,Genbank,CIAT7937,Mimosa,nuda,Mimosa nuda,Fabaceae,Fabales,Herbaceous,F260033,30,65,2,2,46,0.5,481.0056775,147.6056775,0.338194444,41,0.682638889,69.5,12.3,40,0.379861111,73,14.6,,28.5,33,26.36123367,30.12372804,56.48496172,3.242431742,4.398064294,7.640496036,117.4309667,30.68688883,2.613185405,12.3,13.52660213,15.88441965,51.76288719,-0.674368079,8.816127723,28.72929794,
1123,46083,Genbank,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Herbaceous,F260034,30,65,2,1,47,0.5,476.459426,220.859426,0.338194444,41.5,0.682638889,75.5,12.1,40,0.379861111,78.5,15.6,,34,38.5,31.86123367,35.62372804,67.48496172,3.855209274,5.557301575,9.412510849,141.638423,46.3542988,3.272720624,12.1,13.94756789,19.7551152,42.61765513,6.509321155,10.96443072,23.65353593,
1124,46083,Genbank,CIAT8056,Mimosa,diplotricha,Mimosa diplotricha,Fabaceae,Fabales,Herbaceous,F260034,30,65,2,2,48,0.5,476.459426,169.859426,0.338194444,41,0.683333333,74.5,12.3,40.5,0.380555556,79,16,,33.5,38.5,31.36123367,35.62372804,66.98496172,3.857431742,5.699796487,9.557228229,140.5890157,35.65034434,2.535784475,12.3,14.26772216,20.05885015,56.26551587,-0.524588487,11.13300887,31.22833476,
1125,46083,Genbank,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Herbaceous,F260035,30,65,2,1,49,0.5002,482.3722571,203.7722571,0.338194444,41,0.684027778,73,13.4,40,0.38125,76,17,,32,36,29.86123367,33.12372804,62.98496172,4.001405312,5.631033767,9.632439079,130.5733503,42.24377627,3.235252535,13.4,15.29323638,19.96889112,47.27061092,3.500149957,11.08308005,26.23600689,
1126,46083,Genbank,CIAT17514,Mimosa,pudica,Mimosa pudica,Fabaceae,Fabales,Herbaceous,F260035,30,65,2,2,50,0.5002,482.3722571,198.0722571,0.338888889,41,0.684027778,75,13,40,0.381944444,76,16.6,,34,36,31.86123367,33.12372804,64.98496172,4.141960377,5.498538855,9.640499233,134.7195258,41.06211627,3.047970666,13,14.83496947,19.98560052,48.6716281,12.64546564,11.09235406,27.01359566,
1127,46083,Genbank,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Herbaceous,F260036,30,65,2,1,51,0.5,478.3358643,173.0358643,0.338888889,40.5,0.684722222,72,12.3,40,0.381944444,80.5,16.8,Muestra en la manguera despues del clip 8h ,31.5,40.5,29.36123367,37.62372804,66.98496172,3.611431742,6.320786311,9.932218053,140.0375065,36.17455375,2.583204646,12.3,14.82753412,20.76410906,57.3997656,-2.213084021,11.52443977,31.85786298,
1128,46083,Genbank,CIAT17725,Mimosa,polycarpa,Mimosa polycarpa,Fabaceae,Fabales,Herbaceous,F260036,30,65,2,2,52,0.5,478.3358643,165.7358643,0.338888889,41.5,0.685416667,73.5,12.2,40,0.382638889,83,16.7,,32,43,29.86123367,40.12372804,69.98496172,3.643070508,6.700662583,10.34373309,146.3092503,34.64842942,2.368163964,12.2,14.77993677,21.62441469,62.41095211,-1.48056215,12.00192428,34.63915819,
1129,46083,Genbank,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,F260037,30,65,2,1,53,0.5,477.4045582,273.6045582,0.339583333,41.5,0.686111111,73.5,12.8,40,0.382638889,84.5,14,,32,44.5,29.86123367,41.62372804,71.48496172,3.82223791,5.827321926,9.649559836,149.7366552,57.3108391,3.827442187,12.8,13.49872701,20.21254232,35.26827148,1.33902699,11.21831069,19.57450085,
1130,46083,Genbank,CIAT18947,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,F260037,30,65,2,2,54,0.5,477.4045582,290.7045582,0.339583333,41,0.686805556,77.5,13.2,41.5,0.383333333,86,13.8,,36.5,44.5,34.36123367,41.62372804,75.98496172,4.535682845,5.74407447,10.27975731,159.162623,60.89270687,3.825816999,13.2,13.52867341,21.53259146,35.3615278,0.685668335,11.9509608,19.62625972,
1131,46083,Genbank,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,F260038,30,65,2,1,55,0.5002,482.4008796,212.8008796,0.340277778,41,0.686805556,78,13.8,40.5,0.383333333,80,16.4,,37,39.5,34.86123367,36.62372804,71.48496172,4.810850247,6.006291399,10.81714165,148.185803,44.11287138,2.976862188,13.8,15.13205209,22.42355291,50.83222244,-0.994290888,12.44545981,28.21276291,
1132,46083,Genbank,CIAT19165,Sesbania,keniensis,Sesbania keniensis,Fabaceae,Fabales,Shurb_Tree,F260038,30,65,2,2,56,0.5002,482.4008796,222.8008796,0.340277778,40.5,0.6875,78,14.3,40,0.384027778,81.5,16.2,,37.5,41.5,35.36123367,38.62372804,73.98496172,5.056656415,6.257043943,11.31370036,153.3682148,46.1858361,3.011434681,14.3,15.29189189,23.4529016,50.77942412,-1.672011515,13.01676615,28.18345892,
1133,46083,Genbank,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,F260039,30,65,2,1,57,0.5002,479.376052,198.176052,0.340277778,41,0.6875,78,13.2,40,0.384722222,76,16,,37,36,34.86123367,33.12372804,67.98496172,4.601682845,5.299796487,9.901479332,141.8196871,41.34041556,2.914998361,13.2,14.56421991,20.65493111,49.96304666,1.429026334,11.46384412,27.73035531,
1134,46083,Genbank,CIAT21899,Sesbania,sesban,Sesbania sesban,Fabaceae,Fabales,Shurb_Tree,F260039,30,65,2,2,58,0.5001,479.2802151,205.4802151,0.340972222,41,0.688194444,78.5,13.4,40,0.385416667,77.5,15.8,,37.5,37.5,35.36123367,34.62372804,69.98496172,4.738405312,5.470549031,10.20895434,146.0209696,42.87266794,2.936062406,13.4,14.58735433,21.30059623,49.6833933,1.090706108,11.82219943,27.57514286,
1135,46083,Genbank,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,F260040,30,65,2,1,59,0.5,481.533186,,0.340972222,41,0.689583333,73,13.9,40,0.386111111,75.5,16.4,,32,35.5,,,,,,,,,,,,,,,,,Elimin Dig Neg
1136,46083,Genbank,CIAT23414,Codariocalyx,motorius,Codariocalyx motorius,Fabaceae,Fabales,Shurb_Tree,F260040,30,65,2,2,60,0.5,481.533186,209.133186,0.340972222,40.5,0.690277778,72.5,14.1,40,0.386111111,75.5,16.1,,32,35.5,,,,,,,,,,,,,,,,,Elimin Dig 
