21_no,21_date,21_requisitioner,21_set_ciat,21_ciat_lab_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_family,21_order,21_functional_group,21_batches_ciat,21_id_lab,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_av_ash_percentage,21_om_percentage,21_om_percentage
No,Date,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Batches  CIAT,ID LAB,"DM, %",Av DM 105,"Ash, %","Av Ash, %","OM, %","OM, %"
98,46048,Genbank,28,F251773,CIAT-22316,Calliandra,calothyrsus,Calliandra calothyrsus,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,95.49135259,,8.624248742,,91.37575126,
99,46048,Genbank,28,F251774,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,95.85041496,95.85582829,7.573117047,7.551501552,92.42688295,92.44849845
100,46048,Genbank,28,F251774,CIAT-23239,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,95.86124163,,7.529886057,,92.47011394,
101,46048,Genbank,28,F251775,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,95.64087183,95.63109272,7.757431277,7.882488089,92.24256872,92.11751191
102,46048,Genbank,28,F251775,CIAT-33116,Dendrolobium,triangulare,Dendrolobium triangulare,Fabaceae,Fabales,Tree,"60,61, 62",OT-010,95.62131361,,8.007544902,,91.9924551,
103,46048,Genbank,28,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,94.83155053,94.84129016,9.497232477,9.508249066,90.50276752,90.49175093
104,46048,Genbank,28,F252184,CIAT-BH22_0303,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,94.85102979,,9.519265655,,90.48073435,
105,46048,Genbank,28,F252185,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,94.95,95.07595962,11.72746512,11.58844246,88.27253488,88.41155754
106,46048,Genbank,28,F252185,CIAT-BH22_1594,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,95.20191923,,11.4494198,,88.5505802,
107,46048,Genbank,28,F252186,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,95.97080584,96.0205994,10.69348293,10.67319077,89.30651707,89.32680923
108,46048,Genbank,28,F252186,CIAT-BH22_0468,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.07039296,,10.65289861,,89.34710139,
109,46048,Genbank,28,F252187,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,95.84041596,95.96040396,10.25320413,10.19068459,89.74679587,89.80931541
110,46048,Genbank,28,F252187,CIAT-BH22_3830,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,96.08039196,,10.12816505,,89.87183495,
111,46048,Genbank,28,F252188,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,97.23027697,97.27027297,9.765625,9.940378289,90.234375,90.05962171
112,46048,Genbank,28,F252188,CIAT-BH22_1710,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,97.31026897,,10.11513158,,89.88486842,
113,46048,Genbank,28,F252189,CIAT-BH22_2365,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,"60,61, 62",OT-021,97.06,97.1,12.6261586,12.34294542,87.3738414,87.65705458
