32_no,32_date,32_requisitioner,32_gene_bank_id,32_genus,32_species,32_tax_name,32_family,32_order,32_functional_group,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_percentage_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_percentage_ndf_digestibility_in_24h,32_remarks_1,32_remarks_2
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,
89,45635,Genbank,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251756,27,58,1,1,269,0.5666,0.9554,,0.3888,81.9587015,17.40991749,306.9044515,-81.89554846,-26.68437947,,
90,45635,Genbank,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251756,27,58,1,2,270,0.5765,0.9808,,0.4043,66.55277797,14.13451955,306.9657834,-97.33421664,-31.70849062,,
91,45635,Genbank,CIAT-13260,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Fabaceae,Fabales,Tree,F251756,27,58,1,3,271,0.5873,0.9889,,0.4016,68.78239558,14.62265515,306.6591242,-94.94087576,-30.95974268,,
92,45635,Genbank,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,F251757,27,58,1,1,272,0.598,0.8519,,0.2539,218.5528516,46.25918774,272.8993482,18.99934818,6.962035016,,
93,45635,Genbank,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,F251757,27,58,1,2,273,0.5907,0.8083,,0.2176,254.9473233,53.95170192,272.9539171,55.35391713,20.27958335,,
94,45635,Genbank,CIAT-17263,Leucaena,leucocephala,Leucaena leucocephala,Fabaceae,Fabales,Tree,F251757,27,58,1,3,274,0.5735,0.7617,,0.1882,284.3473233,60.17330102,272.9539171,84.75391713,31.05063229,,
95,45635,Isabel Molina, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,F252640,27,58,1,1,275,0.5802,0.7836,,0.2034,281.9932548,58.09583302,301.59255,98.19254999,32.55801577,,
96,45635,Isabel Molina, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,F252640,27,58,1,2,276,0.5738,0.777,,0.2032,281.9992527,58.12029824,301.4720094,98.2720094,32.59739091,,
97,45635,Isabel Molina, Cayman Br02_1752,Urochloa,interespecifico,Urochloa interespecifico,Poaceae,Poales,grasses,F252640,27,58,1,3,277,0.5682,0.7972,Embolo duro 8H y 24H,0.229,256.1992527,52.80289516,301.4720094,72.4720094,24.03938248,,
98,45635,Isabel Molina,N/A,Gliricidia,sepium,Gliricidia sepium ,Fabaceae,Fabales,Arbustiva ,F252641,27,58,1,1,278,0.5965,0.7508,,0.1543,313.56036,67.02007411,220.853483,66.55348296,30.13467665,,
