requisitioner,gen_bank_id,tax_name,functional_group,%_DMD_truly_digestibility,CH4_ml_in_gas_8h,CH4_ml_in_gas_24h,CH4_ml/g_DMD_24h
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,43.48081142,13.7,14.82839354,59.1054618
Genetic bank,CIAT-852,Dioclea sericea,Climber,29.84115649,12.2,13.11090928,36.13471036
Genetic bank,CIAT-852,Dioclea sericea,Climber,14.32539117,12,12.98687352,78.37938955
Genetic bank,CIAT-852,Dioclea sericea,Climber,31.12064907,12.1,13.03721468,35.34766451
Genetic bank,CIAT-907,Dioclea virgata,Climber,31.37383704,13.2,14.87189806,78.59026811
Genetic bank,CIAT-907,Dioclea virgata,Climber,49.06535276,13.4,15.08678283,48.28481853
Genetic bank,CIAT-907,Dioclea virgata,Climber,31.84498812,13.5,15.15789076,70.37511525
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,54.17295549,11.9,12.98691677,41.23300054
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,54.79434428,11.9,12.75946797,39.57181415
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,44.42329945,11.5,12.54102178,48.57548787
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,25.36234522,12.5,13.60365944,65.85402947
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,38.26007026,12.4,13.88288715,44.93384713
Genetic bank,CIAT-3001,Codariocalyx gyroides,Shrub,42.06595634,12.4,13.77567455,41.24529122
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,63.96615298,13.1,14.01862682,42.74920561
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,49.68721666,13.5,14.30197312,53.96979084
Genetic bank,CIAT-3304,Desmodium cajanifolium,Shrub,58.73106184,13.1,14.07669317,47.21987086
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,47.83482768,13.3,14.59949731,54.18826433
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,35.98231431,13.3,14.7245848,72.25176174
Genetic bank,CIAT-5713,Centrosema macrocarpum,Climber,29.48904758,13.4,14.7225588,89.13245851
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,31.83084474,12.9,14.7347828,49.06627201
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,27.42857312,12.6,14.61813129,58.14813849
Genetic bank,CIAT-7381,Galactia glaucescens,Herbaceous,33.97430953,12.2,14.35862437,47.01510808
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,18.89832776,12.5,13.44111558,65.546826
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,,,,
Genetic bank,CIAT-7799,Dioclea guianensis,Climber,20.67369745,12.4,13.3176507,60.00879118
Standard,BLANK 8H,BLANK 8H,BLANK 8H,,,,
Standard,BLANK 8H,BLANK 8H,BLANK 8H,,,,
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,18.1655818,12,12.94480245,74.88440118
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,35.92289757,11.9,12.81774584,37.1475076
Genetic bank,CIAT-7803,Dioclea holtiana,Climber,35.52433101,12.4,13.21772241,34.7752999
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,19.03964573,13,14.1146085,73.14501259
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,22.91030938,13.2,14.51468022,65.88940649
Genetic bank,CIAT-8182,Eriosema diffusum,Herbaceous,14.57599738,14,14.8145092,117.6499837
Genetic bank,CIAT-8434,Dioclea sericea,Climber,47.8268378,14,15.19054264,45.88771842
Genetic bank,CIAT-8434,Dioclea sericea,Climber,34.55663676,13.7,15.08862986,61.22810176
Genetic bank,CIAT-8434,Dioclea sericea,Climber,35.42502055,14.3,15.23503023,57.0761178
Genetic bank,CIAT-8702,Calopogonium caeruleum,Climber,44.1137019,14.6,15.85054249,51.41200288
Genetic bank,CIAT-8702,Calopogonium caeruleum,Climber,44.09134738,14.6,15.92824347,49.76885067
Genetic bank,CIAT-8702,Calopogonium caeruleum,Climber,50.12225475,15,16.01769766,45.39163703
Genetic bank,CIAT-8816,Crotalaria micans,Herbaceous,59.35917914,16.6,16.3718631,57.56043
Genetic bank,CIAT-8816,Crotalaria micans,Herbaceous,70.68997068,13.6,14.59657518,42.43899613
Genetic bank,CIAT-8816,Crotalaria micans,Herbaceous,72.62639212,13.7,14.60789494,42.18325696
Genetic bank,CIAT-8826,Zapoteca formosa,Shrub,50.94018591,11.6,12.30686851,46.92975197
Genetic bank,CIAT-8826,Zapoteca formosa,Shrub,64.3783089,11.5,12.0934306,37.89218765
Genetic bank,CIAT-8826,Zapoteca formosa,Shrub,66.4912511,11.6,12.21015102,33.92889391
Genetic bank,CIAT-9578,Dioclea sericea,Climber,,,,
Genetic bank,CIAT-9578,Dioclea sericea,Climber,,,,
Genetic bank,CIAT-9578,Dioclea sericea,Climber,,,,
Genetic bank,CIAT-9740,Chamaecrista desvauxii,Herbaceous,42.77915667,10.2,12.943216,47.9221548
Genetic bank,CIAT-9740,Chamaecrista desvauxii,Herbaceous,41.91753233,10.3,13.44872108,53.86498587
Genetic bank,CIAT-9740,Chamaecrista desvauxii,Herbaceous,37.94594717,10.4,13.32998631,56.75625332
Genetic bank,CIAT-9934,Aeschynomene americana,Herbaceous,57.82693933,13.1,13.37794635,28.36652551
Genetic bank,CIAT-9934,Aeschynomene americana,Herbaceous,42.23211751,13.2,14.42744521,68.13786386
Genetic bank,CIAT-9934,Aeschynomene americana,Herbaceous,56.0966616,13,14.38796073,51.69329519
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,27.53167871,13.7,15.09874505,95.41378509
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,37.65989557,13.7,15.06397579,62.81500597
Breeding,CIAT-PM21_4448,Megathyrsus maximus,Grasses,30.32415276,14,15.27532493,83.33693481
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,38.31181093,13.8,15.70993611,64.39998946
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,43.48170653,13.7,15.73296267,61.868936
Breeding,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,25.41532541,13.5,15.62122708,103.7963872
Breeding,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,37.2401458,12.4,13.92883298,70.07157776
Breeding,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,49.35929006,12.2,13.56123725,52.95821543
Breeding,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,25.6960265,12.3,13.39874122,84.79448234
LMF-invivo,Muestra # 02,Cynodon nlemfuensis,Grasses,26.89972062,13,14.23217577,62.62479266
LMF-invivo,Muestra # 02,Cynodon nlemfuensis,Grasses,,,,
LMF-invivo,Muestra # 02,Cynodon nlemfuensis,Grasses,23.60020491,14.2,14.71982866,73.87034837
Breeding,CIAT-BH22_0765,Urochloa humidicola,Grasses,26.59684489,13.6,14.240203,86.79915103
Breeding,CIAT-BH22_0765,Urochloa humidicola,Grasses,41.96300041,13.6,14.13518514,54.61993777
Breeding,CIAT-BH22_0765,Urochloa humidicola,Grasses,23.28558959,13.7,14.21878199,102.1638795
Breeding,CIAT-BH22_2531,Urochloa humidicola,Grasses,44.25325106,13.3,14.4973091,62.50511853
Breeding,CIAT-BH22_2531,Urochloa humidicola,Grasses,26.19412872,12.7,14.19268056,101.1740737
Breeding,CIAT-BH22_2531,Urochloa humidicola,Grasses,47.3512824,12.9,14.31961127,57.39772378
Standard,Hohenheimer Heustandard,Hohenheimer Heustandard,,41.79819392,13.9,15.42734705,85.71301048
Standard,Hohenheimer Heustandard,Hohenheimer Heustandard,,,,,
Standard,Hohenheimer Heustandard,Hohenheimer Heustandard,,,,,
Standard,Sample 8,Cynodon nlemfuensis ,,34.2799691,14.7,15.57580743,63.56901239
Standard,Sample 8,Cynodon nlemfuensis ,,29.85517376,14.5,15.40180282,70.46754158
Standard,Sample 8,Cynodon nlemfuensis ,,21.96654589,15.5,15.82401377,98.39930809
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Standard,BLANK 24 H,BLANK 24 H,BLANK 24 H,,,,
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,55.51476543,11.6,13.56371216,52.23241289
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,56.84497589,12.8,14.33752289,51.70024515
Genetic bank,ABC-1467-1,Stylosanthes hamata,Herbaceous,58.78695197,12.8,14.42396165,50.82319441
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,53.98729481,12.7,14.38196506,52.4887083
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,53.52840435,13,14.51376855,53.44520736
Genetic bank,ABC-1475-1,Stylosanthes hamata,Herbaceous,57.95011153,13.4,14.91525275,36.26322363
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,63.71125572,14.1,16.47424889,47.72434251
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,65.36585838,14.3,16.43124299,41.16878117
Genetic bank,ABC-23326,Desmodium velutinum,Shrub,65.37278244,14.2,16.35755108,39.92770653
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,49.70698994,13,14.29332676,41.6677708
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,49.02692615,12.4,13.5504388,37.72421428
Genetic bank,ABC-13149,Desmodium strigillosum,Herbaceous,46.26507916,12.6,13.66373669,41.24702683
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,17.94873106,11.6,12.39837152,36.79939865
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,25.19481715,11.6,12.26081703,25.92495593
Genetic bank,ABC-13946,Desmodium sequax,Herbaceous,25.02667197,11,11.82045145,27.6616451
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,60.59182324,15,15.37420368,38.09049645
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,56.64749221,15.2,16.39654305,44.33954284
Genetic bank,ABC-19867,Uraria lagopodioides,Herbaceous,66.00625652,15.2,16.4528876,37.16681226
Genetic bank,CIAT-798,Galactia striata,Climber,59.20113014,12.4,14.42513633,49.70425649
Genetic bank,CIAT-798,Galactia striata,Climber,60.72005224,12,14.21375306,46.9833926
Genetic bank,CIAT-798,Galactia striata,Climber,57.25832681,12.5,14.46529901,50.17045507
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,52.5984265,13.4,14.89242676,46.03881726
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,51.54529802,13.5,14.81665833,47.64741512
Genetic bank,CIAT-822,Calopogonium mucunoides,Climber,50.04766918,13.3,14.77851794,49.5843571
Genetic bank,CIAT-852,Dioclea sericea,Climber,29.22971265,11.5,13.75345829,40.11677515
Genetic bank,CIAT-852,Dioclea sericea,Climber,33.91931,11.5,12.77909651,32.12120184
Genetic bank,CIAT-852,Dioclea sericea,Climber,32.40014166,11.2,12.46237488,32.39685611
Genetic bank,CIAT-907,Dioclea virgata,Climber,47.10999078,12.9,14.92486126,49.03986932
Genetic bank,CIAT-907,Dioclea virgata,Climber,48.16426911,12.8,14.85325575,47.4237362
Genetic bank,CIAT-907,Dioclea virgata,Climber,52.89616155,12.7,14.73804962,41.34826518
Genetic bank,CIAT-1992,Stylosanthes guianensis,Herbaceous,44.43441035,11.2,12.77683134,50.97693317
