32_no,32_date,32_gene_bank_id,32_name,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibility_in_24h,32_remarks_2,,
No,Date,Gene Bank ID,Name,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,,
113,45637,ABC-712-1,Clitoria ternatea,F24 3418,1,3,3,3,11,0.5799,0.7652,,0.1853,271.5782311,59.4421473,250.7297763,65.42977627,26.09573432,,,
114,45637,ABC-749-1,Crotalaria juncea,F24 3419,1,3,3,1,12,0.5349,0.6735,,0.1386,320.1291271,69.78609122,233.9455404,95.34554043,40.75544259,,,
115,45637,ABC-749-1,Crotalaria juncea,F24 3419,1,3,3,2,13,0.5435,0.6872,,0.1437,315.0291271,68.67432402,233.9455404,90.24554043,38.57544806,,,
116,45637,ABC-749-1,Crotalaria juncea,F24 3419,1,3,3,3,14,0.5584,0.7052,,0.1468,312.0208729,68.00494296,233.9923295,87.19232954,37.26290076,,,
117,45637,ABC-768-1,Clitoria ternatea,F24 3420,1,3,3,1,15,0.5527,0.7167,,0.164,297.0132158,64.42618251,249.9093297,85.90932969,34.37619948,,,
118,45637,ABC-768-1,Clitoria ternatea,F24 3420,1,3,3,2,16,0.5219,0.6699,,0.148,313.1975473,67.90962986,250.0092535,102.0092535,40.80219114,,,
119,45637,ABC-768-1,Clitoria ternatea,F24 3420,1,3,3,3,17,0.5472,0.7219,,0.1747,286.4975473,62.12035363,250.0092535,75.30925345,30.12258643,,,
120,45637,ABC-772-1,Clitoria ternatea,F24 3421,1,3,3,1,18,0.5448,0.6953,,0.1505,307.1122288,67.11189288,308.514085,158.014085,51.21778638,,,
121,45637,ABC-772-1,Clitoria ternatea,F24 3421,1,3,3,2,19,0.5552,0.6916,,0.1364,321.4866863,70.21097051,308.6991195,172.2991195,55.8145808,,,
122,45637,ABC-772-1,Clitoria ternatea,F24 3421,1,3,3,3,20,0.5539,0.6568,,0.1029,354.9866863,77.5271911,308.6991195,205.7991195,66.66657159,,,
123,45637,ABC-819-1,Indigofera suffruticosa,F24 3422,1,3,3,1,21,0.5617,0.6912,,0.1295,324.365755,71.46733399,240.7779137,111.2779137,46.21599713,,,
124,45637,ABC-819-1,Indigofera suffruticosa,F24 3422,1,3,3,2,22,0.5526,,Loss,,,,,,,,,
125,45637,ABC-819-1,Indigofera suffruticosa,F24 3422,1,3,3,3,23,0.5591,0.6926,,0.1335,320.45651,70.59189657,240.8260596,107.3260596,44.56579982,,,
126,45637,Blank,Blank,Blank,1,3,3,1,24,,,,,,,,,,,,
