23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,23.31828587,23.28964746
4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,23.26100905,
4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,26.52115031,26.17777008
4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,25.83438985,
4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,24.32323047,24.55349937
4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,24.78376827,
4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,23.75783461,23.97575256
4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,24.19367052,
4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,24.24316116,24.49388118
4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,24.7446012,
4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,31.5913337,32.14264215
4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,32.6939506,
4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,24.44965204,24.36365449
4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,24.27765695,
4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,29.756359,29.90976266
4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,30.06316632,
4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,29.06594194,28.77503778
4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,28.48413362,
4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,30.70952616,30.92212321
4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,31.13472027,
4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,29.56094377,29.81695123
4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,30.0729587,
FAO,FAO,FAO,FAO,FAO,FAO,A,,,,,,
FAO,FAO,FAO,FAO,FAO,FAO,B,,,,,,
5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,30.95929986,30.91522792
5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,30.87115597,
5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,26.62942029,26.81044889
5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,26.9914775,
5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,30.17716395,30.00475359
5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,29.83234323,
5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,29.30596547,29.25564376
5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,29.20532204,
5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,29.70798149,29.82723766
5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,29.94649383,
