43_no,43_requisitioner,43_set_ciat,43_ciat_lab_id,43_gene_bank_breeding_program_id,43_genus,43_species,43_tax_name,43_family,43_order,43_functional_group,43_dm_105_c,43_ash_dm,43_protein,43_adf,43_ndf,43_ch4_8h_percentage,43_ch4_24h_percentage,43_net_gas_8h,43_net_gas_24h_ml,43_gas_ml_g_dm_incubated_24h,43_dmd_truly_digestibility,43_part_fact,43_ch4_percentage_in_gas_8h,43_ch4_percentage_in_gas_24h,43_ch4_ml_g_dm_incubated_24h,43_ch4_ml_g_dmd_24h,43_ch4_ml_g_ndf_digested_in_24h,43_ch4_g_g_dm_incubated_24h,43_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, 105C",Ash (DM),Protein,ADF, NDF,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
7,Breeding,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,95.07,13.5689492,9.608712975,24.55349937,59.72506873,14.0125,14.75,33.48275561,72.68578925,152.8180786,61.15198613,4.005329526,14.0125,14.4116088,22.03603185,36.05625758,106.3740181,12.23037892,20.01184677
8,Breeding,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,96.07039092,14.1288488,10.07879313,23.97575256,58.41008046,13.9375,15.725,36.6909051,76.53003735,159.2492915,61.99580318,3.894519721,13.9375,14.86628465,23.65434166,38.2326484,117.4763639,13.12856886,21.21978133
9,Breeding,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,95.34544891,13.90068579,10.11450669,24.49388118,59.22404943,13.93333333,14.87777778,37.6865377,77.71342659,162.9075369,63.48291436,3.904776508,13.93333333,14.41387097,23.47864728,37.15749971,107.1233399,13.03105544,20.6230552
10,Breeding,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,95.7256628,14.24692367,8.588266117,32.14264215,67.62478303,14.82222222,16.73333333,31.29482224,68.88302585,143.8023749,56.51059131,3.933288121,14.82222222,15.86792064,22.80724092,40.72542185,98.89072681,12.6584133,22.60331372
11,Breeding,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,Poaceae,Poales,Grass,96.66083628,14.97129758,11.84729481,24.36365449,59.41988072,14.21111111,15.01111111,33.9498425,73.79973005,152.5762687,65.31952458,4.2907648,14.21111111,14.64108542,22.31891661,34.27125952,91.55408068,12.38738486,19.02114196
12,Breeding,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,96.01559232,15.052585,9.725160285,29.90976266,65.23814446,14.81111111,17.37777778,32.08149491,68.2438543,142.0479941,54.74872685,3.859172864,14.81111111,16.17718627,22.94276271,41.91568375,115.4839724,12.73363024,23.26392966
13,Breeding,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,96.79563434,13.98543619,9.055024441,28.77503778,62.86207095,14.13333333,17.6,38.59121127,75.63857742,156.1848211,57.11927115,3.658836926,14.13333333,15.82456031,24.7046336,43.2526601,125.156944,13.71149907,24.00597467
14,Breeding,4,F24 3595,ABC-PM21_2195,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,96.76047086,14.14104437,8.717412856,30.92212321,68.05113316,14.38888889,17.04444444,34.63818109,71.6363802,147.9316703,52.92200673,3.579013013,14.38888889,15.76179201,23.30903988,44.07048858,112.1475467,12.9369204,24.45988363
15,Breeding,4,F24 3596,ABC-PM21_3522,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,96.41535846,15.65465388,8.710478289,29.81695123,64.71518053,14.38888889,17.37777778,36.60486277,73.44572735,152.2580503,58.98835581,3.883100777,14.38888889,15.89274375,24.18442133,41.33865835,106.7687536,13.42277225,22.94367059
16,LMF,FAO,,FAO,,,FAO,,,,,,,,,,,,,,,,,,,,,,
1,Breeding,5,F24 3597,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,97.28525795,14.47659551,9.000965172,30.91522792,67.23315691,17.14444444,20.67777778,38.53098164,77.0717967,158.3894795,59.54801018,3.769694591,17.14444444,18.90656063,29.98924585,50.37995842,118.9212062,16.64455029,27.96174855
2,Breeding,5,F24 3598,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,97.12,14.78068369,10.87316719,26.81044889,61.93762764,16.9125,21.5,42.48447276,82.12309567,169.0225775,61.18731635,3.618845935,16.9125,19.14139322,32.37945212,53.10261821,146.830261,17.97115613,29.47287184
3,Breeding,5,F24 3599,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,97.13028697,14.59748816,8.40826817,30.00475359,65.74084764,16.95714286,21.12857143,36.88423693,73.50929331,152.0942364,57.5980105,3.785524025,16.95714286,19.04731766,28.93841616,50.51493373,139.3854615,16.06132163,28.03666218
4,Breeding,5,F24 3600,ABC-PM21_3670,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,95.21546891,14.10342923,8.834231116,29.25564376,64.38415589,16.5,21,36.1234867,73.16240227,153.9475795,60.01700645,3.925986972,16.5,18.78181712,28.87701726,48.18749471,118.1385684,16.02724418,26.74489326
5,Breeding,5,F24 3601,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,94.42555189,13.31603681,9.980926223,29.82723766,64.96026167,17.23333333,21.13333333,36.76096813,75.2034491,159.3653497,59.73568851,3.844733803,17.23333333,19.24063022,30.57237252,51.35951404,120.2019459,16.96819568,28.50541887
6,Breeding,5,F24 3602,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,94.11,11.5237488,7.526319867,28.61056023,68.72940855,16.53333333,20.36666667,37.79347601,81.79183273,173.2602477,58.06992167,3.363611608,16.53333333,18.5981859,32.28686959,55.71627267,120.6417437,17.91977122,30.92349528
