21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
79,45621,3,F24 3450,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,A,7.426,1,8.345,7.588,91.9,92,16.2,17.62785637,17.71729409,82.37214363,82.28270591,
80,45621,3,F24 3450,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,B,7.884,1,8.805,8.048,92.1,,16.4,17.80673181,,82.19326819,,
81,45621,3,F24 3451,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,A,7.566,1,8.506,7.63,94,94.05,6.4,6.808510638,6.858027902,93.19148936,93.1419721,
82,45621,3,F24 3451,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,B,8.96,1,9.901,9.025,94.1,,6.5,6.907545165,,93.09245484,,
83,45621,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,A,8.398,1,9.317,8.468,91.9,91.95,7,7.616974973,7.667183139,92.38302503,92.33281686,
84,45621,3,F24 3452,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,B,7.935,1,8.855,8.006,92,,7.1,7.717391304,,92.2826087,,
85,45621,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,A,7.86,1.001,8.795,8.02,93.40659341,93.5032967,15.98401598,17.11229947,17.10315828,82.88770053,82.89684172,
86,45621,3,F24 3453,ABC-8719,Canavalia,sp.,Canavalia sp. ,B,7.6,1,8.536,7.76,93.6,,16,17.09401709,,82.90598291,,
87,45621,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,A,7.595,1.001,8.526,7.661,93.00699301,92.85714286,6.593406593,7.08915145,7.046730897,92.91084855,92.9532691,
88,45621,3,F24 3454,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,B,7.741,1.001,8.669,7.806,92.70729271,,6.493506494,7.004310345,,92.99568966,,
89,45621,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,A,11.862,1.001,12.779,11.988,91.60839161,91.7541958,12.58741259,13.74045802,13.94313434,86.25954198,86.05686566,
90,45621,3,F24 3455,ABC-8819,Coursetia,caribaea,Coursetia caribaea,B,7.835,1,8.754,7.965,91.9,,13,14.14581066,,85.85418934,,
91,45621,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,95.98,96.02539292,,15.64169595,15.70260308,84.35830405,84.29739692,
92,45621,4,F24 3582,ABC-BR02_1752,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,96.07078584,,,15.7635102,,84.2364898,,
93,45621,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,96.97030297,97.04515148,,15.13577023,15.01802548,84.86422977,84.98197452,
94,45621,4,F24 3583,ABC-BR02_1794,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,97.12,,,14.90028072,,85.09971928,,
95,45621,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,96.56103169,96.76581878,,15.97192437,15.96755672,84.02807563,84.03244328,
96,45621,4,F24 3584,ABC-BR06_0423,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,96.97060588,,,15.96318908,,84.03681092,,
97,45621,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,97.13086074,97.23582925,,13.82820131,13.79735773,86.17179869,86.20264227,
98,45621,4,F24 3585,ABC-BR09_1232,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,97.34079776,,,13.76651416,,86.23348584,,
99,45621,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,95.47045295,95.7458233,,15.47693428,15.47538705,84.52306572,84.52461295,
100,45621,4,F24 3586,ABC-BR12_4951,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,96.02119364,,,15.47383982,,84.52616018,,
101,45621,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,95.0709858,95.2154929,,14.04952506,14.05618126,85.95047494,85.94381874,
102,45621,4,F24 3587,ABC-BR15_0722,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,95.36,,,14.06283746,,85.93716254,,
103,45621,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,94.97,95.07,,13.40065215,13.5689492,86.59934785,86.4310508,
104,45621,4,F24 3588,ABC-BR15_6487,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,95.17,,,13.73724624,,86.26275376,,
105,45621,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,96.05,96.07039092,,14.10424156,14.1288488,85.89575844,85.8711512,
106,45621,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,96.09078184,,,14.15345604,,85.84654396,,
107,45621,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,95.18,95.34544891,,13.86537077,13.90068579,86.13462923,86.09931421,
108,45621,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,95.51089782,,,13.93600081,,86.06399919,,
109,45621,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,95.5813256,95.7256628,,14.19256219,14.24692367,85.80743781,85.75307633,
110,45621,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,95.87,,,14.30128515,,85.69871485,,
111,45621,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,A,,,,,96.69066187,96.66083628,,14.95653166,14.97129758,85.04346834,85.02870242,
112,45621,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,B,,,,,96.6310107,,,14.9860635,,85.0139365,,
113,45621,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,95.98,96.01559232,,15.02880902,15.052585,84.97119098,84.947415,
114,45621,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,96.05118464,,,15.07636099,,84.92363901,,
115,45621,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,A,,,,,96.73032697,96.79563434,,13.97650548,13.98543619,86.02349452,86.01456381,
116,45621,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,B,,,,,96.86094172,,,13.99436691,,86.00563309,,
