42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
32,3,F24 3442,Genetic bank,ABC-7757,Clitoria,ternatea,Clitoria ternatea,92.1,8.251909837,24.74722085,21.95422173,57.24279253,
33,3,F24 3443,Genetic bank,ABC-7759,Clitoria,ternatea,Clitoria ternatea,93.55,5.879210659,16.46449484,14.68149842,60.81175965,
34,3,F24 3444,Genetic bank,ABC-7790,Crotalaria,pallida,Crotalaria pallida,92.15,5.859953696,27.43905179,20.07772175,67.5835542,
35,3,F24 3445,Genetic bank,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,92.95,8.068856558,20.02103028,23.48182591,63.94342997,
36,3,F24 3446,Genetic bank,ABC-7816,Indigofera,spicata,Indigofera spicata,92.5,17.62152534,28.00898398,23.10670087,54.74329686,
37,3,F24 3447,Genetic bank,ABC-7858,Crotalaria,incana,Crotalaria incana,93.2,9.173772741,31.03415068,23.56845153,60.72538106,
38,3,F24 3448,Genetic bank,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,91.95,17.83560818,26.52781626,23.8526448,56.06643684,
39,3,F24 3449,Genetic bank,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,92.2,14.64198202,24.22786897,26.75974916,51.20819381,
40,3,F24 3450,Genetic bank,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,92,17.71729409,26.88970109,18.99519674,47.90480151,
41,3,F24 3451,Genetic bank,ABC-8408,Chamaecrista,nictitans,Chamaecrista nictitans,94.05,6.858027902,23.37980179,38.36972369,58.63328794,
42,3,F24 3452,Genetic bank,ABC-8409,Chamaecrista,nictitans,Chamaecrista nictitans,91.95,7.667183139,27.7836572,38.02222478,61.8471383,
43,3,F24 3453,Genetic bank,ABC-8719,Canavalia,sp.,Canavalia sp. ,93.5032967,17.10315828,20.28346797,15.80770956,40.19522125,
44,3,F24 3454,Genetic bank,ABC-8797,Desmanthus,virgatus,Desmanthus virgatus,92.85714286,7.046730897,25.88000034,30.2474918,60.00899649,
45,3,F24 3455,Genetic bank,ABC-8819,Coursetia,caribaea,Coursetia caribaea,91.7541958,13.94313434,21.83464401,20.9311004,36.01389313,
