40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
37,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,2,2,1,12.1,17.5,38.35029276,78.83935186,172.595464,62.93676779,3.646490258,12.1,14.87324602,25.67054798,40.78783974,144.0896812,14.24759826,22.63795673,,
38,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,2,2,2,12.5,18.2,40.56280965,77.9543451,170.7262527,60.55665905,3.547003351,12.5,15.23405866,26.00853749,42.94909576,168.4974727,14.43518828,23.83749121,,
39,Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,2,2,3,12.4,17.8,40.56280965,81.49437212,178.4791952,60.16244465,3.370837962,12.4,15.11221719,26.97216362,44.83222677,179.3200872,14.97001746,24.8826615,,
40,Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,2,2,1,14.1,18.1,36.13777587,69.10427754,150.4623267,60.85173406,4.044316966,14.1,16.00821772,24.08633684,39.58200569,203.2540934,13.36833367,21.96869797,,
41,Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,2,2,2,13.9,18.1,35.6952725,68.21927078,148.6838869,60.37669367,4.060742218,13.9,15.90237838,23.64427428,39.1612605,207.8559563,13.1229813,21.73517711,,
42,Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,2,2,3,13,18.1,35.6952725,69.10427754,150.5826485,64.50304626,4.283564336,13,15.46563501,23.28856279,36.10459373,150.2326082,12.92555527,20.03867416,"Ambiente antes de lectura 20 lml 1.3%, se adiciona 10 ml, total 30 ml valor 0.03",
43,Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,2,2,1,13.6,18.1,31.71274209,74.41431807,161.4147177,66.61700907,4.12707156,13.6,16.18225966,26.12054875,39.21002926,125.4244584,14.49735647,21.76224461,,
44,Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,2,2,2,13.2,17.6,33.48275561,74.85682145,162.3745673,66.18318203,4.075957406,13.2,15.63192118,25.38226439,38.35153223,124.4723196,14.08759587,21.28576391,Se coloco un standar antes de lectura,
45,Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,2,2,3,13.2,18.6,33.48275561,75.74182821,164.1629888,61.59363683,3.751980717,13.2,16.21285297,26.615504,43.21145068,168.427511,14.7720652,23.98310273,exceso feed despues en la manguera gral,
46,Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,2,2,1,12.9,16.3,32.15524547,78.83935186,172.2497531,62.70513117,3.640361163,12.9,14.91328344,25.68809391,40.96649418,85.27630771,14.25733655,22.73711304,,
