22_no,22_date,22_technician_name,22_set_ciat,22_sample_id,22_column4,22_column5,22_column6,22_column3,22_replication,22_peso_muestra_g,22_peso_residual_muestra_g,22_peso_total_muestra_g,22_hcl_ml,22_nitrogeno,22_proteina_cruda_percentage_n_x_6_25,22_pc_percentage_dm,22_av_pc_percentage
No,Date,Techincian name,Set CIAT,Sample ID,Column4,Column5,Column6,Column3,Replication,Peso muestra ( g),Peso residual muestra (g),Peso Total Muestra (g),HCl (ml)  ,Nitrogeno (%),Proteina cruda (%) N x 6.25 ,"PC (%), DM","Av PC, %"
56,,,2,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,B,1.0002,0,1.0002,27.4,3.888139859,24.30087412,26.36670549,
57,,,2,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,1.0005,0.0005,1,23.8,3.376093203,21.10058252,22.49012437,22.49012437
58,,,2,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,1.0005,0.0005,1,23.8,3.376093203,21.10058252,22.49012437,
59,,,2,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,A,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.07736189,22.07736189
60,,,2,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,B,1.0003,0.0003,1,22.9,3.247887132,20.29929458,22.07736189,
61,,,3,F24 3441,ABC-7714,Alysicarpus,glumaceus,Alysicarpus glumaceus,A,1.0006,0.0006,1,21.3,3.019965228,18.87478268,20.28455956,20.28455956
62,,,3,F24 3441,ABC-7714,Alysicarpus,glumaceus,Alysicarpus glumaceus,B,1.0006,0.0006,1,21.3,3.019965228,18.87478268,20.28455956,
63,,,3,F24 3442,ABC-7757,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0.0004,1,25.7,3.646750464,22.7921904,24.74722085,24.74722085
64,,,3,F24 3442,ABC-7757,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0004,1,25.7,3.646750464,22.7921904,24.74722085,
65,,,3,F24 3443,ABC-7759,Clitoria,ternatea,Clitoria ternatea,A,1.0004,0.0004,1,17.4,2.464405587,15.40253492,16.46449484,16.46449484
66,,,3,F24 3443,ABC-7759,Clitoria,ternatea,Clitoria ternatea,B,1.0004,0.0004,1,17.4,2.464405587,15.40253492,16.46449484,
67,,,3,F24 3444,ABC-7790,Crotalaria,pallida,Crotalaria pallida,A,1.0003,0.0003,1,28.5,4.045613796,25.28508623,27.43905179,27.43905179
68,,,3,F24 3444,ABC-7790,Crotalaria,pallida,Crotalaria pallida,B,1.0003,0.0003,1,28.5,4.045613796,25.28508623,27.43905179,
69,,,3,F24 3445,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,A,1,0.0001,0.9999,21,2.977527624,18.60954765,20.02103028,20.02103028
70,,,3,F24 3445,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,B,1,0.0001,0.9999,21,2.977527624,18.60954765,20.02103028,
71,,,3,F24 3446,ABC-7816,Indigofera,spicata,Indigofera spicata,A,1.0004,0.0004,1,29.2,4.145329629,25.90831018,28.00898398,28.00898398
72,,,3,F24 3446,ABC-7816,Indigofera,spicata,Indigofera spicata,B,1.0004,0.0004,1,29.2,4.145329629,25.90831018,28.00898398,
73,,,3,F24 3447,ABC-7858,Crotalaria,incana,Crotalaria incana,A,1.0005,0.0001,1.0004,32.6,4.62781255,28.92382844,31.03415068,31.03415068
74,,,3,F24 3447,ABC-7858,Crotalaria,incana,Crotalaria incana,B,1.0005,0.0001,1.0004,32.6,4.62781255,28.92382844,31.03415068,
75,,,3,F24 3448,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,A,1.0005,0.0004,1.0001,27.5,3.902772329,24.39232705,26.52781626,26.52781626
