subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,ABC-22481,1937,Genetic bank,F24-3522,Fabales,Fabaceae,Sesbania,cochinchinensis,Sesbania cochinchinensis,Shrub_Trees,10,26,1,1,161,30.63,52.58,4.26,7.59,13.89,14.44,114.3,130.73,31.77,51.99
1,ABC-22520,1940,Genetic bank,F24-3523,Fabales,Fabaceae,Arachis,pusilla,Arachis pusilla,Herbaceous_legumes,10,26,1,1,164,32.79,64.53,4.3,9.67,13.09,14.92,138.62,107.82,40.72,51.33
1,ABC-22570,1943,Genetic bank,F24-3524,Fabales,Fabaceae,Desmanthus,bicornutus,Desmanthus bicornutus,Shrub_Trees,10,26,1,1,167,20.63,28.26,2.76,4.2,13.38,14.61,60.98,-1394.92,24.79,36.77
1,ABC-22594,1946,Genetic bank,F24-3525,Fabales,Fabaceae,Desmanthus,pernambucanus,Desmanthus pernambucanus,Shrub_Trees,10,26,1,1,170,27.09,43.49,3.7,6.52,13.66,14.94,91.94,-536.91,35.36,38.96
1,ABC-22754,1949,Genetic bank,F24-3526,Fabales,Fabaceae,Lablab ,purpureus,Lablab purpureus,Herbaceous_legumes,10,26,1,1,173,42.09,67.48,5.72,10.23,13.58,15.12,147.12,287.96,43.14,51.68
1,ABC-22915,1952,Genetic bank,F24-3527,Fabales,Fabaceae,Aeschynomene ,villosa,Aeschynomene villosa,Herbaceous_legumes,10,26,1,1,176,40.76,72.35,5.59,11.12,13.71,15.35,157.1,115.98,41.67,58.09
1,ABC-23259,1955,Genetic bank,F24-3528,Fabales,Fabaceae,Desmodium,gangeticum,Desmodium gangeticum,Shrub_Trees,10,26,1,1,179,27.44,53.1,4.22,8.94,15.42,16.83,114.29,-17.74,37.41,51.49
1,ABC-23339,1958,Genetic bank,F24-3529,Fabales,Fabaceae,Desmodium,gangeticum,Desmodium gangeticum,Shrub_Trees,10,26,1,1,182,27.34,52.34,4.17,8.84,15.24,16.87,111.66,236.82,35.07,53.81
1,ABC-23761,1961,Genetic bank,F24-3530,Fabales,Fabaceae,Uraria,picta,Uraria picta,Herbaceous_legumes,10,26,1,1,185,32.55,50.91,3.99,6.99,12.26,13.68,107.11,443.23,33.56,44.14
1,ABC-23890,2238,LMF,F25-0891,Fabales,Fabaceae,Desmodium,heterocarpon,Desmodium heterocarpon,,11,29,1,1,40,18.0,36.69,2.28,4.89,12.7,13.33,80.77,,49.87,21.8
1,ABC-24360,1964,Genetic bank,F24-3531,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,10,26,1,1,188,32.75,57.94,4.58,8.96,13.99,15.44,124.94,-1517.27,37.12,52.16
1,ABC-24466,1967,Genetic bank,F24-3532,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,10,26,1,1,191,37.51,60.16,5.12,8.86,13.63,14.71,129.53,321.02,31.71,61.87
1,ABC-32055,2261,LMF,F25-0899,,,Flemingia,macrophylla,Flemingia macrophylla,,11,29,1,1,63,20.95,35.22,2.74,4.9,13.07,13.92,77.52,,71.28,15.46
1,ABC-32246,1970,Genetic bank,F24-3533,Fabales,Fabaceae,Chamaecrista,nictitans,Chamaecrista nictitans,Herbaceous_legumes,10,26,1,1,194,33.19,55.68,4.48,8.77,13.48,15.7,121.6,94.81,46.27,42.36
1,ABC-32365,1973,Genetic bank,F24-3534,Fabales,Fabaceae,Desmanthus,virgatus,Desmanthus virgatus,Shrub_Trees,10,26,1,1,197,25.62,39.51,3.31,5.83,12.93,14.73,89.89,120.66,37.06,35.6
1,ABC-32373,1976,Genetic bank,F24-3535,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,10,26,1,1,200,28.32,43.44,3.49,6.16,12.34,14.13,94.05,69.85,31.7,42.56
1,ABC-3240,162,Genetic bank,F24-3428,Fabales,Fabaceae,Desmodium,cinereum,Desmodium cinereum,Herbaceous_legumes,2,4,1,1,9,32.36,55.32,5.82,10.23,17.96,18.55,119.07,199.76,39.06,56.51
1,ABC-3522,165,Genetic bank,F24-3429,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,2,4,1,1,12,23.86,39.39,3.75,6.87,15.64,17.48,84.4,-521.27,39.25,37.71
1,ABC-36099,2252,LMF,F25-0923,,,Cenchrus,ciliaris,Cenchrus ciliaris,,11,29,1,1,54,22.86,65.31,3.19,10.91,14.0,16.71,143.71,,47.56,50.72
1,ABC-4134,168,Genetic bank,F24-3430,Fabales,Fabaceae,Macroptilium,lathyroides,Macroptilium lathyroides,Herbaceous_legumes,2,4,1,1,15,37.63,71.3,6.2,12.85,16.37,17.99,155.04,76.0,42.33,66.52
