subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
3,120,Genetic bank,F25-0974,CIAT-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,47,2,1,120,17.04997748,24.56744708,2.063047275,3.168115306,12.1,12.89558209,52.36865884,-31.48241637,38.11266533,17.71915801
3,121,Genetic bank,F25-0974,CIAT-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,47,2,2,121,,,,,11.9,,,,,
3,122,Genetic bank,F25-0974,CIAT-13946,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,47,2,3,122,16.04997748,23.06744708,1.893897343,2.869325617,11.8,12.43885206,49.13191126,-27.22243675,36.551779,16.71996802
3,123,Genetic bank,F25-0980,CIAT-19867,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,47,2,1,123,38.04997748,71.06744708,5.859696532,10.38308987,15.4,14.61019115,148.093094,-166.1731807,50.67799407,42.69443673
3,124,Genetic bank,F25-0980,CIAT-19867,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,47,2,2,124,40.04997748,71.06744708,6.688346239,12.11640342,16.7,17.04916093,148.2115685,1909.124751,44.30129221,57.03858186
3,125,Genetic bank,F25-0980,CIAT-19867,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,23,47,2,3,125,39.54997748,72.56744708,6.327996397,12.10605358,16,16.68248514,151.218852,-260.4373841,54.80738985,46.0285786
3,126,Genetic bank,F25-1651,CIAT-798,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,23,47,2,1,126,38.54997748,91.56744708,5.088597027,13.46535722,13.2,14.70539766,197.7429998,219.131259,51.57897652,56.37741661
3,127,Genetic bank,F25-1651,CIAT-798,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,23,47,2,2,127,40.04997748,90.06744708,5.08634714,12.93908987,12.7,14.36600047,194.4259287,224.8157396,50.29809187,55.53139052
3,128,Genetic bank,F25-1651,CIAT-798,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,23,47,2,3,128,39.54997748,93.56744708,5.02284714,13.50358987,12.7,14.4319315,201.9409029,212.2975999,51.27801322,56.83522224
3,129,Genetic bank,F25-1652,CIAT-822,Fabales,Fabaceae,Calopogonium,mucunoides,Calopogonium mucunoides,Herbaceous_legumes,23,47,2,1,129,41.04997748,81.06744708,5.54174696,11.82448969,13.5,14.58598995,172.3884144,588.5658034,43.75220744,57.47037298
