subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,ABC-913,17,Genetic bank,F24-3424,Fabales,Fabaceae,Cajanus,cajan,Cajanus cajan,Shrub_Trees,1,94.77,9.21,90.79,25.18,40.42,60.86
1,ABC-9170,171,Genetic bank,F24-3456,Fabales,Fabaceae,Indigofera,lespedezioides,Indigofera lespedezioides,Herbaceous_legumes,6,93.09,15.38,84.62,20.75,41.99,54.57
1,ABC-9254,173,Genetic bank,F24-3457,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,6,90.83,6.64,93.36,24.65,20.58,55.34
1,ABC-9283,175,Genetic bank,F24-3458,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,6,92.8,8.19,91.81,25.56,15.01,54.16
1,ABC-9288,177,Genetic bank,F24-3459,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,6,93.76,11.91,88.09,27.58,16.46,52.41
1,ABC-9336,179,Genetic bank,F24-3460,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,6,90.39,8.11,91.89,31.66,19.15,48.61
1,ABC-9349,181,Genetic bank,F24-3461,Fabales,Fabaceae,Mucuna,pruriens,Mucuna pruriens,Herbaceous_legumes,6,91.42,8.63,91.37,30.38,27.8,55.56
1,ABC-9356,183,Genetic bank,F24-3462,Fabales,Fabaceae,Tephrosia,noctiflora,Tephrosia noctiflora,Shrub_Trees,6,93.03,8.36,91.64,30.62,20.6,55.98
1,ABC-9432,185,Genetic bank,F24-3463,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,6,91.28,8.03,91.97,31.25,17.92,44.95
1,ABC-9433,187,Genetic bank,F24-3464,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,6,94.27,9.44,90.56,31.68,21.94,43.14
1,ABC-9435,189,Genetic bank,F24-3465,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,6,94.59,8.48,91.52,26.78,36.06,53.83
1,ABC-9530,191,Genetic bank,F24-3466,Fabales,Fabaceae,Crotalaria,maypurensis,Crotalaria maypurensis,Herbaceous_legumes,6,93.26,8.79,91.21,32.65,10.84,32.2
1,ABC-955,19,Genetic bank,F24-3425,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,1,91.82,5.7,94.3,22.01,21.55,61.67
1,ABC-9562,193,Genetic bank,F24-3467,Fabales,Fabaceae,Eriosema,diffusum,Eriosema diffusum,Herbaceous_legumes,6,93.93,8.4,91.6,18.11,51.96,64.55
