id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
122518,21298,Leucaena leucocephala  ,Shrub_Trees,17.88,38.41,1.7,5.74,5.1,8.05,84.02,78.81,17.69,71.06
122515,21372,Leucaena  leucocephala,Shrub_Trees,16.24,45.72,1.54,7.88,5.1,9.27,100.22,94.25,22.32,77.39
122520,21375,Leucaena  leucocephala,Shrub_Trees,15.46,41.17,1.39,6.05,4.81,7.91,89.98,71.05,17.16,77.04
122972,2145,Stylosanthes fruticosa,Herbaceous_legumes,11.96,43.03,1.38,9.33,5.78,10.97,93.27,109.41,37.61,53.87
122517,21638,Leucaena leucocephala  ,Shrub_Trees,12.92,42.19,1.24,7.56,5.18,9.65,91.86,82.49,21.57,76.34
122514,21639,Leucaena leucocephala  ,Shrub_Trees,15.22,44.94,1.25,7.53,4.4,9.01,98.53,88.03,21.46,76.92
122841,21678,Leucaena  pallida,Shrub_Trees,11.24,22.99,0.62,1.83,2.93,4.24,50.45,29.96,6.06,66.47
122500,21679,Leucaena  pallida,Shrub_Trees,12.15,30.14,1.03,2.91,4.83,5.49,65.71,44.89,8.97,70.78
122852,21694,Leucaena pulverulenta ,Shrub_Trees,13.81,33.43,0.68,3.06,2.63,4.87,73.46,43.84,9.58,70.15
122940,21791,Listia  bainesii,Herbaceous_legumes,25.82,61.02,3.23,13.17,6.37,10.91,134.68,231.21,34.41,84.39
122773,21893,Macroptilium atropurpureum,Herbaceous_legumes,13.8,34.85,1.95,8.52,7.28,12.56,75.99,98.21,27.87,66.77
122507,2190,Neonotonia wightii  ,Herbaceous_legumes,19.45,52.6,3.19,13.26,9.26,14.37,116.4,126.57,42.84,68.53
122774,22059,Macroptilium lathyroides,Herbaceous_legumes,28.48,56.31,4.02,13.89,7.27,12.66,123.91,147.96,42.48,71.93
122495,22073,Macroptilium lathyroides,Herbaceous_legumes,35.43,65.05,4.57,12.21,8.76,12.96,144.33,102.9,34.56,78.36
123771,22191,Mucuna pruriens var. utilis  ,Herbaceous_legumes,20.13,43.15,2.18,8.34,5.49,9.85,93.95,102.48,26.86,67.68
122840,2263,Trifolium burchellianum  ,Herbaceous_legumes,12.37,41.75,1.28,8.81,5.09,10.33,91.46,235.47,28.11,68.76
122848,2274,Trifolium burchellianum,Herbaceous_legumes,12.41,40.1,0.81,6.58,3.51,8.79,87.51,115.13,21.3,67.45
122851,2275,Trifolium burchellianum,Herbaceous_legumes,13.06,40.38,1.18,7.92,4.33,9.38,89.86,127.81,29.58,60.3
124093,2277,Trifolium burchellianum,Herbaceous_legumes,25.8,66.11,2.97,16.56,5.94,12.94,144.32,188.57,43.88,82.58
123774,22990,Pueraria montana var. lobata  ,Herbaceous_legumes,11.94,41.67,1.43,11.01,6.07,13.46,90.7,116.05,36.68,65.36
122931,23018,Neustanthus  phaseoloides,Herbaceous_legumes,15.91,45.77,2.75,12.49,8.8,13.82,99.03,110.21,38.79,69.72
122941,23384,Rhynchosia sublobata    ,Herbaceous_legumes,10.36,34.21,1.22,5.79,6.0,8.54,74.81,192.67,22.66,55.81
122944,23415,Rhynchosia verdcourtii    ,Herbaceous_legumes,12.95,39.74,1.83,8.35,7.21,10.6,87.63,120.16,28.22,65.2
123776,23689,Sesbania sesban var. bicolor  ,Shrub_Trees,15.92,40.86,1.7,8.24,5.42,10.27,88.92,133.15,27.28,65.82
