id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
749,nan,Hordeum vulgare,Grass,68.47,77.53,9.8,11.1,14.27,14.26,163.54,3.18,49.99,47.12
748,nan,Hordeum vulgare,Grass,73.91,79.92,10.67,11.55,14.37,14.39,162.22,3.85,46.62,50.54
747,nan,Hordeum vulgare,Grass,78.83,84.12,11.01,11.81,13.92,13.96,172.35,4.2,47.75,50.81
746,nan,Hordeum vulgare,Grass,81.91,96.59,11.43,13.63,13.93,14.1,202.99,4.5,51.56,55.63
745,nan,Hordeum vulgare,Grass,67.58,76.16,9.81,10.92,14.47,14.31,154.9,3.02,49.24,45.06
744,nan,Hordeum vulgare,Grass,70.63,80.59,10.13,11.62,14.31,14.4,163.73,3.33,49.79,48.22
743,nan,Hordeum vulgare,Grass,80.24,85.7,12.83,13.66,15.96,15.9,182.25,4.44,63.47,46.01
764,nan,Hordeum vulgare,Grass,60.67,57.74,11.73,11.28,18.65,18.87,123.68,3.58,55.75,42.74
742,nan,Hordeum vulgare,Grass,64.69,76.14,9.59,11.26,14.83,14.78,162.7,3.15,54.88,44.04
765,nan,Hordeum vulgare,Grass,60.34,61.37,11.15,11.37,17.97,18.09,131.75,3.4,51.87,46.68
767,nan,Hordeum vulgare,Grass,56.05,56.05,11.15,11.14,19.29,19.46,122.59,3.28,53.34,45.93
788,nan,Hordeum vulgare,Grass,81.12,80.06,12.09,11.9,14.9,14.83,169.43,3.25,55.17,45.75
787,nan,Hordeum vulgare,Grass,75.82,51.45,10.83,6.88,14.22,12.8,108.63,1.92,27.23,54.24
786,nan,Hordeum vulgare,Grass,81.36,73.56,12.47,11.19,15.34,15.24,154.37,3.25,47.91,49.53
785,nan,Hordeum vulgare,Grass,82.38,76.97,12.94,12.04,15.63,15.6,162.26,3.41,55.93,45.87
784,nan,Hordeum vulgare,Grass,88.79,86.79,14.87,14.5,16.79,16.7,186.87,4.96,54.51,57.3
783,nan,Hordeum vulgare,Grass,80.03,78.76,13.99,13.77,17.51,17.46,165.11,3.86,61.55,47.15
782,nan,Hordeum vulgare,Grass,70.9,70.18,11.87,11.79,16.72,16.62,163.46,3.32,54.01,68.75
781,nan,Hordeum vulgare,Grass,71.46,66.96,12.67,11.92,17.82,17.8,142.73,3.18,55.99,45.48
780,nan,Hordeum vulgare,Grass,70.12,70.23,12.32,12.37,17.72,17.65,151.36,3.31,52.64,50.89
779,nan,Hordeum vulgare,Grass,55.51,51.58,10.44,9.83,18.0,18.36,108.92,2.63,59.58,39.4
778,nan,Hordeum vulgare,Grass,53.97,53.58,9.74,9.66,17.5,17.72,112.84,2.55,90.02,40.21
777,nan,Hordeum vulgare,Grass,65.9,61.91,11.36,10.72,16.9,17.12,130.09,3.22,64.41,41.15
776,nan,Hordeum vulgare,Grass,58.61,45.05,9.95,7.68,16.87,18.42,96.98,2.25,120.88,38.5
775,nan,Hordeum vulgare,Grass,60.6,51.27,10.9,9.27,17.6,17.86,109.42,2.79,57.43,70.58
774,nan,Hordeum vulgare,Grass,60.87,54.08,10.82,9.7,17.51,18.22,116.24,2.86,87.62,36.62
773,nan,Hordeum vulgare,Grass,68.85,68.77,10.34,10.33,14.51,14.55,149.15,3.1,124.77,40.89
772,nan,Hordeum vulgare,Grass,62.76,61.7,11.2,11.06,17.36,17.45,131.27,3.5,109.34,40.26
771,nan,Hordeum vulgare,Grass,72.56,75.71,13.0,13.55,17.82,17.83,161.73,4.41,125.23,37.29
770,nan,Hordeum vulgare,Grass,75.92,75.07,13.11,12.97,16.96,16.95,161.18,4.49,83.96,45.88
769,nan,Hordeum vulgare,Grass,83.09,83.17,14.79,14.82,17.85,17.84,181.67,4.9,74.29,45.24
768,nan,Hordeum vulgare,Grass,65.5,67.16,11.76,12.09,17.39,17.43,145.58,3.86,67.22,43.14
766,nan,Hordeum vulgare,Grass,58.34,62.49,10.76,11.51,17.88,17.87,138.86,3.44,58.02,44.41
741,nan,Hordeum vulgare,Grass,72.36,81.7,10.67,12.04,14.74,14.71,172.71,3.51,57.58,44.68
740,nan,Hordeum vulgare,Grass,62.6,62.6,9.46,9.44,15.12,15.01,134.84,2.65,52.69,38.98
739,nan,Hordeum vulgare,Grass,66.3,69.08,9.65,10.07,14.6,14.58,146.24,2.87,49.83,43.13
712,nan,Hordeum vulgare,Grass,84.67,74.14,12.5,10.76,14.78,14.49,156.49,3.16,65.42,37.04
711,nan,Hordeum vulgare,Grass,91.28,80.14,13.21,11.38,14.49,14.15,168.79,3.47,65.3,41.53
710,nan,Hordeum vulgare,Grass,85.22,67.81,12.6,9.71,14.82,14.28,142.97,2.88,69.89,32.91
709,nan,Hordeum vulgare,Grass,86.56,73.53,13.16,10.9,15.21,14.75,155.22,3.31,64.84,38.39
708,nan,Hordeum vulgare,Grass,89.67,78.14,13.27,11.31,14.84,14.42,167.83,3.43,69.42,37.86
707,nan,Hordeum vulgare,Grass,87.28,72.88,12.29,10.32,14.12,14.03,155.25,3.04,72.11,34.74
706,nan,Hordeum vulgare,Grass,90.39,73.14,13.14,10.27,14.56,13.87,153.49,3.22,73.83,34.43
705,nan,Hordeum vulgare,Grass,83.39,64.76,13.09,10.03,15.72,15.4,135.96,2.94,64.25,36.01
704,nan,Hordeum vulgare,Grass,87.52,65.82,13.12,9.54,15.03,14.56,149.39,2.99,151.36,36.06
703,nan,Hordeum vulgare,Grass,93.27,75.98,14.08,11.18,15.12,14.6,159.54,3.38,56.68,41.76
702,nan,Hordeum vulgare,Grass,85.27,65.06,13.0,9.55,15.27,14.7,136.2,2.83,52.58,38.43
399,nan,Lathyrus sativus,Herbaceous_legumes,104.86,94.76,15.97,13.97,15.23,14.76,202.73,6.7,37.26,80.29
505,nan,Hordeum vulgare,Grass,117.07,105.8,13.27,11.35,11.33,10.73,222.22,3.8,59.73,42.95
504,nan,Hordeum vulgare,Grass,87.57,89.63,11.3,11.61,12.9,12.95,188.25,3.41,163.86,23.85
503,nan,Hordeum vulgare,Grass,87.4,84.8,11.86,11.43,13.57,13.49,178.06,3.28,75.01,32.04
502,nan,Hordeum vulgare,Grass,123.64,108.37,15.85,13.12,12.78,12.08,231.65,4.99,36.29,77.62
501,nan,Hordeum vulgare,Grass,114.48,113.75,15.79,15.24,13.52,13.19,253.06,5.36,46.01,76.59
500,nan,Hordeum vulgare,Grass,114.92,116.23,15.51,15.74,13.3,13.3,246.04,4.86,45.72,74.06
713,nan,Hordeum vulgare,Grass,81.84,70.78,11.98,10.25,14.62,14.45,149.48,2.86,85.19,31.91
714,nan,Hordeum vulgare,Grass,82.28,70.87,12.36,10.49,15.06,14.74,149.55,2.94,67.73,35.75
715,nan,Hordeum vulgare,Grass,95.04,85.69,13.96,12.45,14.7,14.46,181.77,3.92,64.79,43.07
716,nan,Hordeum vulgare,Grass,82.61,73.37,12.01,10.56,14.54,14.32,155.11,3.06,57.21,45.12
738,nan,Hordeum vulgare,Grass,68.36,76.64,10.25,11.56,14.94,15.01,162.97,3.46,52.42,46.92
737,nan,Hordeum vulgare,Grass,64.3,70.59,9.74,10.73,15.1,15.16,150.61,3.07,55.51,41.17
736,nan,Hordeum vulgare,Grass,77.24,84.03,11.65,12.73,15.04,15.1,178.98,4.16,54.68,50.23
735,nan,Hordeum vulgare,Grass,63.74,68.76,10.24,11.01,16.02,15.96,145.85,3.01,59.7,39.13
734,nan,Hordeum vulgare,Grass,60.54,60.8,9.6,9.64,15.82,15.78,128.9,2.48,58.8,34.66
733,nan,Hordeum vulgare,Grass,63.7,65.93,10.18,10.54,15.97,15.93,138.29,2.81,54.28,41.85
732,nan,Hordeum vulgare,Grass,70.41,76.87,11.24,12.28,15.92,15.92,161.99,3.65,56.6,45.91
731,nan,Hordeum vulgare,Grass,62.19,72.03,10.45,12.05,16.72,16.64,152.09,3.2,59.73,42.68
