id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3623,ABC-5744,Centrosema macrocarpum,Herbaceous_legumes,14.14,16.01,55.63,37.76
F25-0940,ABC-5749,Centrosema plumieri,Herbaceous_legumes,12.76,14.97,59.19,46.65
F25-0941,ABC-5911,Centrosema macrocarpum,Herbaceous_legumes,13.1,14.96,61.94,41.46
F24 3416,ABC-705,Indigofera suffruticosa,Herbaceous_legumes,14.26,17.35,31.84,74.34
F24 3417,ABC-707,Alysicarpus ovalifolius,Herbaceous_legumes,13.54,16.24,36.44,65.97
F24 3418,ABC-712,Clitoria ternatea,Herbaceous_legumes,12.57,14.79,40.73,62.66
F24-3624,ABC-7131,Eriosema diffusum,Herbaceous_legumes,13.3,14.58,55.01,23.05
F24-3616,ABC-715,Canavalia ensiformis,Herbaceous_legumes,13.9,15.43,44.05,55.83
F25-0963,ABC-7227,Galactia texana,Herbaceous_legumes,10.43,11.52,31.16,51.21
F24 3434,ABC-7292,Chamaecrista desvauxii,Herbaceous_legumes,14.51,16.05,36.64,48.53
F24 3434,ABC-7292,Chamaecrista desvauxii,Herbaceous_legumes,14.51,16.05,36.64,48.53
F24 3435,ABC-7317,Canavalia sp.,Herbaceous_legumes,14.86,16.36,32.96,69.48
F24-3625,ABC-7318,Canavalia sp.,Herbaceous_legumes,12.68,15.06,51.63,53.32
F24 3436,ABC-7322,Canavalia sp.,Herbaceous_legumes,15.95,17.8,39.25,74.78
F24 3437,ABC-7339,Indigofera lespedezioides,Herbaceous_legumes,15.14,16.95,32.89,54.07
F24 3437,ABC-7339,Indigofera lespedezioides,Herbaceous_legumes,15.14,16.95,32.89,54.07
F24-3626,ABC-7395,Galactia striata,Herbaceous_legumes,12.69,15.04,51.12,49.13
F24 3438,ABC-7469,Clitoria ternatea,Herbaceous_legumes,15.82,17.0,42.97,66.22
F24 3419,ABC-749,Crotalaria juncea,Herbaceous_legumes,14.03,15.59,35.43,65.15
F24 3439,ABC-7643,Desmanthus pernambucanus,Shrub_Trees,15.06,16.94,42.3,47.11
F24-3627,ABC-7648,Canavalia brasiliensis,Herbaceous_legumes,12.69,15.25,52.12,51.9
F24 3420,ABC-768,Clitoria ternatea,Herbaceous_legumes,13.49,15.73,39.08,64.82
F24 3440,ABC-7703,Aeschynomene indica,Herbaceous_legumes,15.23,16.22,40.57,57.76
F24 3440,ABC-7703,Aeschynomene indica,Herbaceous_legumes,15.23,16.22,40.57,57.76
F24 3441,ABC-7714,Alysicarpus glumaceus,Herbaceous_legumes,15.09,16.6,36.76,64.72
F24 3421,ABC-772,Clitoria ternatea,Herbaceous_legumes,13.46,14.99,37.92,65.1
