id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
109,nan,Lathyrus pseudocicera,Herbaceous_legumes,15.04,17.31,58.21,69.64
108,nan,Lathyrus aphaca var. pseudoaphaca,Herbaceous_legumes,14.58,16.6,47.25,70.35
107,nan,Lathyrus inconspicuus,Herbaceous_legumes,14.19,16.13,53.23,73.41
106,nan,Lathyrus aphaca var. floribundus,Herbaceous_legumes,13.68,16.04,48.17,67.78
105,nan,Lathyrus aphaca var. affinis,Herbaceous_legumes,12.92,15.74,40.24,74.63
104,nan,Lathyrus chrysanthus,Herbaceous_legumes,14.2,16.01,42.52,75.64
103,nan,lathyrus aphaca var. aphaca,Herbaceous_legumes,13.68,15.49,42.91,70.58
102,nan,Lathyrus annuus,Herbaceous_legumes,15.88,17.33,42.89,70.52
101,nan,Lathyrus aphaca var. modestus,Herbaceous_legumes,14.4,16.15,45.39,73.7
100,nan,Lathyrus blepharicarpus,Herbaceous_legumes,15.64,17.56,47.31,77.38
99,nan,Lathyrus gorgoni,Herbaceous_legumes,15.02,17.01,50.19,75.16
98,nan,Lathyrus aphaca,Herbaceous_legumes,15.74,17.05,44.89,67.1
97,nan,Lathyrus aphaca var. biflorus,Herbaceous_legumes,14.43,16.68,48.03,70.33
96,nan,Lathyrus ciliolatus,Herbaceous_legumes,14.88,16.49,49.59,72.13
95,nan,Lathyrus cicera,Herbaceous_legumes,15.48,17.46,44.64,80.51
116,nan,Trifolium purpureum,Herbaceous_legumes,13.5,15.74,47.73,67.54
94,nan,Lathyrus sativus,Herbaceous_legumes,15.18,17.45,45.24,77.22
117,nan,trifolium argutum,Herbaceous_legumes,14.91,16.73,51.38,74.98
119,nan,Trifolium echinatum,Herbaceous_legumes,14.06,16.16,47.45,67.58
140,nan,Trifolium glomeratum,Herbaceous_legumes,13.16,15.29,50.31,59.69
139,nan,Trifolium constantinopolitanum,Herbaceous_legumes,14.78,16.33,48.99,51.52
138,nan,Trifolium eriosphaerum,Herbaceous_legumes,13.9,16.1,50.72,74.24
137,nan,Trifolium brachycarpum,Herbaceous_legumes,14.55,16.63,58.05,59.75
136,nan,Trifolium scutatum,Herbaceous_legumes,14.36,16.45,57.57,68.27
135,nan,Trifolium bullatum,Herbaceous_legumes,14.44,16.48,51.14,64.75
134,nan,Trifolium dasyurum,Herbaceous_legumes,15.49,17.28,55.75,49.83
133,nan,Trifolium antiabense,Herbaceous_legumes,14.02,16.63,56.38,74.72
132,nan,Trifolium pratense,Herbaceous_legumes,13.57,15.81,48.15,72.59
131,nan,Trifolium aureum,Herbaceous_legumes,15.16,17.07,53.39,67.82
130,nan,Trifolium spumosum,Herbaceous_legumes,14.24,16.59,55.72,77.11
129,nan,Trifolium pilulare,Herbaceous_legumes,14.77,16.82,49.14,67.23
128,nan,Trifolium hirtum,Herbaceous_legumes,15.78,17.62,45.51,70.34
127,nan,Trifolium clusii,Herbaceous_legumes,15.0,16.72,45.69,69.84
126,nan,Trifolium plebeium,Herbaceous_legumes,13.1,15.92,55.12,64.71
125,nan,Trifolium sp.,Herbaceous_legumes,14.49,16.84,53.97,69.6
124,nan,Trifolium leucanthum,Herbaceous_legumes,14.11,15.35,37.65,71.83
123,nan,Trifolium hybridum,Herbaceous_legumes,13.63,15.76,45.85,65.12
122,nan,Trifolium resupinatum var. resupinatum,Herbaceous_legumes,14.09,15.86,48.13,79.02
121,nan,Trifolium globosum,Herbaceous_legumes,13.21,15.4,47.08,69.0
120,nan,Trifolium angustifolium,Herbaceous_legumes,14.84,16.28,41.71,59.7
118,nan,trifolium anatolicum,Herbaceous_legumes,14.54,16.59,47.66,70.66
141,nan,Trifolium erubescens ,Herbaceous_legumes,13.76,16.34,56.02,61.71
93,nan,vicia lutea subsp. Vestita,Herbaceous_legumes,15.21,17.89,40.62,81.04
91,nan,vicia noeana,Herbaceous_legumes,14.66,16.41,44.6,76.83
