no,center,id_lab,replication,id,genus,species,,family,order,functional_group,sampling_stage,dm ,ash/dm,om ,pc_dm,adf_dm,ndf_dm
No,CENTER,Internal ID lab (when possible),replication,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,Sampling stage,"DM, %",Ash/DM,"OM, %","PC (%), DM","ADF, % DM","NDF, % DM"
129,ICARDA,70,3,54224,Medicago,intertexta,Medicago intertexta var. ciliaris,Fabaceae,Fabales,Legume,,92.94,12.31,87.69,14.34,26.72692059,31.74090811
130,ICARDA,71,1,54235,Medicago,intertexta,Medicago intertexta ,Fabaceae,Fabales,Legume,,93.44,17.57,82.43,18.04,27.53638699,35.07063356
131,ICARDA,71,2,54235,Medicago,intertexta,Medicago intertexta ,Fabaceae,Fabales,Legume,,93.43,17.25,82.75,18.62,28.9628599,34.07898962
132,ICARDA,71,3,54235,Medicago,intertexta,Medicago intertexta ,Fabaceae,Fabales,Legume,,93.47,17.46,82.54,18.86,27.86990478,33.39039264
133,ICARDA,72,1,54930,Medicago,rigidula,Medicago rigidula var. rigidula,Fabaceae,Fabales,Legume,,94.01,15.82,84.18,17.3,37.68748006,42.10190405
134,ICARDA,72,2,54930,Medicago,rigidula,Medicago rigidula var. rigidula,Fabaceae,Fabales,Legume,,93.89,15.82,84.18,17.71,36.92619022,44.94621365
135,ICARDA,72,3,54930,Medicago,rigidula,Medicago rigidula var. rigidula,Fabaceae,Fabales,Legume,,93.88,15.03,84.97,17.48,37.20707286,42.213464
136,ICARDA,73,1,54947,Medicago,rotata,Medicago rotata var. rotata,Fabaceae,Fabales,Legume,,92.52,12.36,87.64,16.11,35.38694336,41.38564635
137,ICARDA,73,2,54947,Medicago,rotata,Medicago rotata var. rotata,Fabaceae,Fabales,Legume,,92.54,12.34,87.66,16.11,34.94704992,41.08493624
138,ICARDA,73,3,54947,Medicago,rotata,Medicago rotata var. rotata,Fabaceae,Fabales,Legume,,92.61,12.52,87.48,15.75,35.81686643,41.74495195
139,ICARDA,74,1,55185,Medicago,rigidula,Medicago rigidula var. cinerascens,Fabaceae,Fabales,Legume,,92.65,9.99,90.01,16.1,36.6864544,41.26281705
140,ICARDA,74,2,55185,Medicago,rigidula,Medicago rigidula var. cinerascens,Fabaceae,Fabales,Legume,,92.58,10,90,15.57,35.6448477,42.10412616
141,ICARDA,74,3,55185,Medicago,rigidula,Medicago rigidula var. cinerascens,Fabaceae,Fabales,Legume,,92.83,9.86,90.14,15.45,35.60271464,43.4988689
142,ICARDA,75,1,55376,Medicago,rigidula,Medicago rigidula var. submitis,Fabaceae,Fabales,Legume,,92.57,11.54,88.46,12.38,35.89715891,43.46980663
143,ICARDA,75,2,55376,Medicago,rigidula,Medicago rigidula var. submitis,Fabaceae,Fabales,Legume,,92.78,10.75,89.25,12.92,38.04699289,43.22052166
144,ICARDA,75,3,55376,Medicago,rigidula,Medicago rigidula var. submitis,Fabaceae,Fabales,Legume,,92.73,11.1,88.9,12.95,38.83317157,42.83403429
145,ICARDA,76,1,55483,Medicago,rigidula,Medicago rigidula var. agrestis,Fabaceae,Fabales,Legume,,92.06,15.38,84.62,18.94,30.84944601,33.70627851
146,ICARDA,76,2,55483,Medicago,rigidula,Medicago rigidula var. agrestis,Fabaceae,Fabales,Legume,,92.01,15.56,84.44,18.92,31.71394414,32.67036192
147,ICARDA,76,3,55483,Medicago,rigidula,Medicago rigidula var. agrestis,Fabaceae,Fabales,Legume,,92.22,15.63,84.37,19.34,31.40316634,34.01648232
148,ICARDA,77,1,55531,Medicago,murex,Medicago murex,Fabaceae,Fabales,Legume,,91.8,10.65,89.35,14.69,32.64705882,39.35729847
149,ICARDA,77,2,55531,Medicago,murex,Medicago murex,Fabaceae,Fabales,Legume,,91.7,10.6,89.4,14.99,33.36968375,38.37513631
150,ICARDA,77,3,55531,Medicago,murex,Medicago murex,Fabaceae,Fabales,Legume,,91.89,10.58,89.42,14.62,33.62716291,38.76373925
151,ICARDA,78,1,55910,Medicago,turbinata,Medicago turbinata var. spinulosa,Fabaceae,Fabales,Legume,,92.13,14.1,85.9,18.36,27.03788125,31.48811462
152,ICARDA,78,2,55910,Medicago,turbinata,Medicago turbinata var. spinulosa,Fabaceae,Fabales,Legume,,91.99,14.01,85.99,18.09,26.77464942,33.01445809
153,ICARDA,78,3,55910,Medicago,turbinata,Medicago turbinata var. spinulosa,Fabaceae,Fabales,Legume,,92.05,13.84,86.16,18.66,27.20260728,33.19934818
154,ICARDA,79,1,56023,Medicago,turbinata,Medicago turbinata var. aculeata,Fabaceae,Fabales,Legume,,94.3,16.47,83.53,15.14,33.35100742,38.76988335
155,ICARDA,79,2,56023,Medicago,turbinata,Medicago turbinata var. aculeata,Fabaceae,Fabales,Legume,,94.13,16.04,83.96,15.56,33.16689684,38.21310953
156,ICARDA,79,3,56023,Medicago,turbinata,Medicago turbinata var. aculeata,Fabaceae,Fabales,Legume,,94.33,15.99,84.01,14.76,33.2979964,38.19569596
157,ICARDA,80,1,57716,Medicago,radiata,Medicago radiata,Fabaceae,Fabales,Legume,,93.24,15.09,84.91,15.74,40.1973402,45.20592021
158,ICARDA,80,2,57716,Medicago,radiata,Medicago radiata,Fabaceae,Fabales,Legume,,93.04,15.37,84.63,15.74,40.49871023,45.52880482
159,ICARDA,80,3,57716,Medicago,radiata,Medicago radiata,Fabaceae,Fabales,Legume,,93.25,15.24,84.76,16.65,38.68096515,46.30563003
160,ICARDA,81,1,57932,Medicago,praecox,Medicago praecox,Fabaceae,Fabales,Legume,,93.92,16.41,83.59,16.33,31.01575809,32.84710392
161,ICARDA,81,2,57932,Medicago,praecox,Medicago praecox,Fabaceae,Fabales,Legume,,93.95,15.79,84.21,15.48,27.39755189,33.12400213
162,ICARDA,81,3,57932,Medicago,praecox,Medicago praecox,Fabaceae,Fabales,Legume,,93.66,15.88,84.12,15.51,27.35426009,32.77813367
163,ICARDA,82,1,58468,Medicago,polymorpha,Medicago polymorpha var. iraqi,Fabaceae,Fabales,Legume,,91.31,10.49,89.51,16.62,23.52425802,32.15419998
164,ICARDA,82,2,58468,Medicago,polymorpha,Medicago polymorpha var. iraqi,Fabaceae,Fabales,Legume,,91.29,10.51,89.49,17.1,23.50750356,31.62449337
