no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,sampling_stage,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,sampling stage,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
275,ICARDA,49,49164,32,3,Pisum,sativum,Pisum sativum,Fabaceae,Fabales,Legume,,110.5,102,16.69,15.16,15.1,14.87,220.44,79.12,7.48,41.42
2761,ICARDA,50,49208,5,1,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,50.8,95.5,6.85,14.91,13.5,15.61,206.07,70.89,5.92,45.37
2762,ICARDA,50,49208,5,2,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,44.8,89.5,6.49,14.41,14.5,16.1,192.97,69.58,5.72,44.65
2763,ICARDA,50,49208,5,3,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,47.8,91,6.73,14.34,14.1,15.76,198.4,70.35,5.75,44.46
213,ICARDA,50,49208,6,1,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,61.3,92.2,8.34,13.74,13.6,14.9,199.9,75.56,5.48,39.43
214,ICARDA,50,49208,6,2,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,36.3,70.7,4.91,10.78,13.5,15.25,152.27,76.71,4.27,30.27
215,ICARDA,50,49208,6,3,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,59.3,91.7,7.54,13.29,12.7,14.5,199.57,74.92,5.32,38.62
276,ICARDA,50,49208,32,1,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,99,88.5,13.86,12.06,14,13.63,192.68,72.33,4.83,36.31
277,ICARDA,50,49208,32,2,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,100.5,89,14.17,12.22,14.1,13.73,191.25,65.83,4.83,39.87
278,ICARDA,50,49208,32,3,Pisum,arvense,Pisum sativum var. arvense,Fabaceae,Fabales,Legume,,99,89.5,13.76,12.19,13.9,13.62,193.69,69.55,4.86,37.94
2764,ICARDA,51,50542,5,2,Pisum,Sativum,Pisum sativum subsp. Sativum,Fabaceae,Fabales,Legume,,49.8,97,7.21,15.2,14.5,15.67,207.42,67.84,6.4,47.91
2765,ICARDA,51,50542,5,3,Pisum,Sativum,Pisum sativum subsp. Sativum,Fabaceae,Fabales,Legume,,46.3,93.5,6.98,15.16,15.1,16.21,200.82,63.19,6.41,51.52
