no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
109,CIAT,F24 3417,ABC-707-1,3,2,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,30.09,63.43,4.18,9.92,13.9,15.63,140.63,70.93,87.81,31
110,CIAT,F24 3417,ABC-707-1,3,3,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,32.3,66.52,4.26,10.08,13.2,15.15,147.5,69.38,95.17,32.22
111,CIAT,F24 3418,ABC-712-1,3,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.27,76.26,5.28,10.93,13.1,14.33,166.98,69.78,97,34.28
112,CIAT,F24 3418,ABC-712-1,3,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,39.83,76.7,5.22,10.9,13.1,14.21,167.91,67.95,104.49,35.1
113,CIAT,F24 3418,ABC-712-1,3,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38.94,76.26,5.02,10.81,12.9,14.17,166.91,59.44,165.18,39.8
114,CIAT,F24 3419,ABC-749-1,3,1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,33.19,63.43,5.24,10.05,15.8,15.85,138.26,69.79,105.42,31.4
115,CIAT,F24 3419,ABC-749-1,3,2,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,37.61,67.85,5.34,10.09,14.2,14.87,147.91,68.67,111.79,32.02
116,CIAT,F24 3419,ABC-749-1,3,3,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,35.84,65.64,5.13,9.77,14.3,14.89,143.06,68,112.09,31.32
117,CIAT,F24 3420,ABC-768-1,3,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,34.52,72.72,4.76,11.03,13.8,15.17,157.74,64.43,128.37,37.13
118,CIAT,F24 3420,ABC-768-1,3,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,35.4,74.05,4.71,11.08,13.3,14.97,160.55,67.91,108.66,35.39
119,CIAT,F24 3420,ABC-768-1,3,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,34.52,71.39,4.94,11.02,14.3,15.44,154.79,62.12,146.33,38.46
120,CIAT,F24 3421,ABC-772-1,3,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,36.73,82.01,4.74,11.21,12.9,13.67,179.21,67.11,70.96,36.51
121,CIAT,F24 3421,ABC-772-1,3,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,35.4,78.47,4.57,10.73,12.9,13.67,171.38,70.21,62.25,33.36
122,CIAT,F24 3421,ABC-772-1,3,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,27.44,53.69,4.58,9.31,16.7,17.34,117.26,77.53,45.23,26.22
123,CIAT,F24 3422,ABC-819-1,3,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,33.19,60.33,4.75,9.63,14.3,15.96,132.92,71.47,86.55,29.69
124,CIAT,F24 3422,ABC-819-1,3,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,NA,NA,NA,NA,NA,NA,NA,NA,NA,
125,CIAT,F24 3422,ABC-819-1,3,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,32.3,59.44,4.49,9.21,13.9,15.5,130.94,70.59,85.84,28.75
126,CIAT,Blank,Blank,3,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
127,CIAT,Blank,Blank,3,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
128,CIAT,F24 3423,ABC-905-1,3,1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,39.38,75.37,4.57,10.72,11.6,14.23,163.94,66.79,696.35,34.92
129,CIAT,F24 3423,ABC-905-1,3,2,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,35.4,63.87,4.43,9.35,12.5,14.64,139,71.1,265.64,28.62
130,CIAT,F24 3423,ABC-905-1,3,3,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,38.94,68.29,4.52,9.45,11.6,13.83,148.48,67.91,459.42,30.25
