40nutrition_no,40nutrition_date,40nutrition_requisitioner,40nutrition_set_ciat,40nutrition_sample_id,40nutrition_gene_bank_breeding_program_id,40nutrition_genus,40nutrition_species,40nutrition_tax_name,40nutrition_dm_percentage,40nutrition_av_dm_105,40nutrition_ash_dm,40nutrition_av_ash_percentage,40nutrition_om_percentage,40nutrition_om_percentage,40nutrition_pc_percentage_dm,40nutrition_av_pc_percentage,40nutrition_adf_percentage_dm,40nutrition_av_adf_percentage_dm,40nutrition_ndf_percentage_dm,40nutrition_av_ndf_percentage_dm
No,Date,,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
66,45621,Breeding,4,F24 3589,ABC-BR19_0029,Urochloa,interespecifico,Brachiaria interespecifico,96.09078184,,14.15345604,,85.84654396,,10.07879313,,24.19367052,,58.79681002,
67,45621,Breeding,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,95.18,95.34544891,13.86537077,13.90068579,86.13462923,86.09931421,10.11450669,10.11450669,24.24316116,24.49388118,58.93991291,59.22404943
68,45621,Breeding,4,F24 3590,ABC-BR19_0423,Urochloa,interespecifico,Brachiaria interespecifico,95.51089782,,13.93600081,,86.06399919,,10.11450669,,24.7446012,,59.50818595,
69,45621,Breeding,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,95.5813256,95.7256628,14.19256219,14.24692367,85.80743781,85.75307633,8.588266117,8.588266117,31.5913337,32.14264215,67.16616479,67.62478303
70,45621,Breeding,4,F24 3591,ABC-CIAT_6962,Megathyrsus,maximus,Megathyrsus maximus,95.87,,14.30128515,,85.69871485,,8.588266117,,32.6939506,,68.08340127,
71,45621,Breeding,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,96.69066187,96.66083628,14.95653166,14.97129758,85.04346834,85.02870242,11.84729481,11.84729481,24.44965204,24.36365449,60.04654225,59.41988072
72,45621,Breeding,4,F24 3592,ABC-Mulato_II,Urochloa,interespecifico,Brachiaria interespecifico,96.6310107,,14.9860635,,85.0139365,,11.84729481,,24.27765695,,58.7932192,
73,45621,Breeding,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,95.98,96.01559232,15.02880902,15.052585,84.97119098,84.947415,9.725160285,9.725160285,29.756359,29.90976266,65.00865087,65.23814446
74,45621,Breeding,4,F24 3593,ABC-PM21_0215,Megathyrsus,maximus,Megathyrsus maximus,96.05118464,,15.07636099,,84.92363901,,9.725160285,,30.06316632,,65.46763805,
75,45621,Breeding,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,96.73032697,96.79563434,13.97650548,13.98543619,86.02349452,86.01456381,9.055024441,9.055024441,29.06594194,28.77503778,63.22871631,62.86207095
76,45621,Breeding,4,F24 3594,ABC-PM21_0631,Megathyrsus,maximus,Megathyrsus maximus,96.86094172,,13.99436691,,86.00563309,,9.055024441,,28.48413362,,62.49542559,
