id,methane_intensity,tddm,ch4_8h,ch4_24h,functional_group,taxonomic_name,family,,
60186,13.61,76.88,13.61,16.1,Legume,vicia ervillia,Vicia,,
62904,15.82,75.99,15.82,17.81,Legume,vicia hybrida,Vicia,,
62904,15.4,73.37,15.4,16.89,Legume,vicia hybrida,Vicia,,
64525,14.8,75.82,14.8,16.62,Legume,vicia lutea subsp. Vestita,Vicia,,
64525,15.21,81.04,15.21,17.89,Legume,vicia lutea subsp. Vestita,Vicia,,
123956,13.64,66.92,13.64,16.44,Legume,Vicia michauxii,Vicia,,
60071,14.04,77.17,14.04,16.46,Legume,vicia narbonensis var. aegyptiaca,Vicia,,
60016,15.92,73.62,15.92,17.8,Legume,Vicia narbonensis var. narbonensis,Vicia,,
64105,14.66,76.84,14.66,16.41,Legume,vicia noeana,Vicia,,
168560,15.05,68.18,15.05,16.26,Legume,vicia palaestina,Vicia,,
60224,15.48,73.58,15.48,17.18,Legume,vicia sativa subsp. Sativa,Vicia,,
61871,14.79,73.24,14.79,16.79,Legume,vicia sativa subsp. Sativa var. melanosperma,Vicia,,
165072,13.31,49.19,13.31,15.42,Legume,Vicia tenuifolia,Vicia,,
,11.8,73.93,11.8,14.35,Legume,,Vicia,,
,12.3,44.1,12.3,14.37,Legume,,Vicia,,
,11.4,14.46,11.4,14.14,Legume,,Vicia,,
,12.17,62.56,12.17,14.42,Legume,,Vicia,,
59980,36.3,78.11,12.3,14.09,Legume,Vicia sativa subsp. cordata,Vicia,,
60018,34.92,77.08,12.08,13.6,Legume,Vicia villosa subsp. dasycarpa,Vicia,,
60021,32.79,80.49,12.38,13.96,Legume,Vicia villosa subsp. dasycarpa,Vicia,,
60028,33.79,77.1,12.3,13.44,Legume,Vicia villosa subsp. villosa,Vicia,,
60029,32.36,76.95,12.1,13.67,Legume,Vicia villosa subsp. villosa,Vicia,,
60034,32.36,76.62,12.15,13.68,Legume,Vicia villosa subsp. villosa,Vicia,,
60035,27.99,75.45,11.97,13,Legume,Vicia villosa subsp. villosa,Vicia,,
60036,28.72,77.55,11.88,13.65,Legume,Vicia villosa subsp. villosa,Vicia,,
