icarda_id,functional_group,tanoxomic_name,gb_id,genus,run,replication,dm,ndf,om,gas_g_dm_incubated,ch4_g_dm_incubated,ch4_ndf,ch4_g_digested,tddm,ch4_g_kg_dm
ICARDA ID,Functional group,Latin name,GB ID,Genus,Run,Replication,DM,NDF,OM,Gas /g DM Incubated,CH4/gDM incubated,CH4/NDF,Ch4 /g digested,True digestebility,CH4 (g/kg DM) 
250100035,Legume,Medicago sativa,101097,Medicago,3,3,95.6714815,40.01079244,88.98042022,187.0222278,24.75794529,5.919975988,45.78512801,54.07420787,13.74108798
250100035,Legume,Medicago sativa,101097,Medicago,3,1,95.6714815,40.01079244,88.98042022,185.2441865,25.03361437,5.985892376,50.7540235,49.32340856,13.89408908
250100036,Legume,trifolium pratense,156276,Trifolium,3,2,93.79338473,36.70992965,87.79821654,181.6980151,25.78445589,6.587894377,87.27940358,29.54242906,14.31081912
250100036,Legume,trifolium pratense,156276,Trifolium,3,3,93.79338473,36.70992965,87.79821654,164.8366957,23.08163536,5.897327306,42.75698458,53.98330959,12.81070696
250100036,Legume,trifolium pratense,156276,Trifolium,3,1,93.79338473,36.70992965,87.79821654,180.8554405,26.09137624,6.666312121,68.63148059,38.01663029,14.48116522
250100037,Legume,trifolium pratense,156283,Trifolium,3,2,94.71644505,36.89194699,88.99994527,187.7449141,26.19947454,6.726457379,51.06402389,51.30710927,14.54116165
250100037,Legume,trifolium pratense,156283,Trifolium,3,3,94.71644505,36.89194699,88.99994527,201.8870514,27.64045833,7.096415793,46.15632714,59.88444063,15.34093258
250100037,Legume,trifolium pratense,156283,Trifolium,3,1,94.71644505,36.89194699,88.99994527,182.5267671,24.86907617,6.384890685,55.94418554,44.45337068,13.80276754
250100038,Legume,trifolium pratense,156292,Trifolium,3,1,94.09697194,34.93975812,88.42884822,206.0928013,27.66197056,7.449701451,46.19033892,59.88691837,15.35287224
250100038,Legume,trifolium pratense,156292,Trifolium,3,2,94.09697194,34.93975812,88.42884822,206.2249304,28.97235252,7.802603075,48.20703446,60.09984401,16.0801569
250100038,Legume,trifolium pratense,156292,Trifolium,3,3,94.09697194,34.93975812,88.42884822,188.7930878,25.93937812,6.985786583,41.41542235,62.63217094,14.39680363
250100039,Legume,trifolium pratense,156297,Trifolium,3,2,92.84890145,35.07683361,86.8325648,180.5552354,25.6468681,6.788764218,41.93366929,61.1605627,14.23445551
250100039,Legume,trifolium pratense,156297,Trifolium,3,3,92.84890145,35.07683361,86.8325648,168.1500756,24.04599718,6.365011299,39.40863736,61.01707338,13.34594445
