accession_no,taxonomic_name,functional_group
70,Leucaena leucocephala,Tree/Shrubs
273,Calopogonium caeruleum,Tree/Shrubs
14202,Leucaena trichandra,Tree/Shrubs
15166,Calliandra calothyrsus,Tree/Shrubs
21372,Leucaena leucocephala,Tree/Shrubs
10377,Eriosema sp.,Herbaceous legume
1251,Canavalia sp.,Herbaceous legume
22396,Neonotonia wightii var. longicauda,Herbaceous legume
669,Macrotyloma sp.,Herbaceous legume
1127,Canavalia sp.,Herbaceous legume
15211,Vicia lutea,Herbaceous legume
5309,Lathyrus cicera,Herbaceous legume
7266,Canavalia brasiliensis,Herbaceous legume
7271,Lupinus angstifolius,Herbaceous legume
7272,Lupinus angstifolius,Herbaceous legume
9304,Glycin max,Herbaceous legume
10057,Zonia latifolia,Herbaceous legume
10852,GLycin max,Herbaceous legume
17772,Bouffordia dichotoma,Herbaceous legume
17829,Indigofera hirsuta,Herbaceous legume
19339,Chamaecrista nictitans,Herbaceous legume
19339,Chamaecrista nictitans,Herbaceous legume
20441,Glycin latifolia,Herbaceous legume
21101,Lespendeza,Herbaceous legume
24139,Teramnus labialis,Herbaceous legume
24145,Teramnus labialis,Herbaceous legume
248,Centrosema molle,Herbaceous legume
9917,Leptospron adenanthum    ,Herbaceous legume
11179,Calopogonium caeruleum    ,Sub shrub
12148,Centrosema macrocarpum    ,Herbaceous legume
12250,Grona adscendens    ,Herbaceous legume
13787,Calpurnia aurea    ,Shrub/Tree
14501,Gliricidia sepium,Shrub/Tree
15537,Albizia chinensis    ,Herbaceous legume
18034,Calopogonium mucunoides    ,Sub shrub/vine
18576,Acaciella angustissima var.angustissima  ,Shrub/Tree
19181,Calliandra calothyrsus,Shrub/Tree
20672,Indigofera  hirsuta,Herbaceous legume
20675,Indigofera  hirsuta,Herbaceous legume
21867,Macroptilium  atropurpureum,Herbaceous legume
21930,Macroptilium  atropurpureum,Herbaceous legume
22221,Neonotonia wightii    ,Herbaceous legume
22353,Neonotonia wightii    ,Herbaceous legume
23046,Neustanthus  phaseoloides,Herbaceous legume
AF3583,Medicago sativa    ,Herbaceous legume
10,Centrosema brasilianum,Herbaceous legume
103,Centrosema pubescens Benth.,Herbaceous legume
174,Desmodium tortuosum,Herbaceous legume
249,Centrosema pubescens Benth.,Herbaceous legume
271,Centrosema schottii,Herbaceous legume
441,Stylosanthes scabra,Herbaceous legume
757,Desmodium salicifolium,Herbaceous legume
1029,Crotalaria sp.,Herbaceous legume
1043,Teramnus repens,Herbaceous legume
5282,Lathyrus  cicera ,Herbaceous legume
5668,Medicago sativa,Herbaceous legume
5671,Medicago sativa,Herbaceous legume
6761,Neonotonia wightii,Herbaceous legume
6859,Stylosanthes viscosa,Herbaceous legume
6984,Medicago sativa,Herbaceous legume
8141,Trifolium semipilosum,Herbaceous legume
9270,Mucuna pruriens ,Herbaceous legume
10084,Mucuna pruriens ,Herbaceous legume
11397,Zornia latifolia,Herbaceous legume
12201,Centrosema brasilianum,Herbaceous legume
13776,Neonotonia wightii,Herbaceous legume
14539,Centrosema schottii,Herbaceous legume
20434,Glycine latifolia,Herbaceous legume
20436,Glycine latifolia,Herbaceous legume
20440,Glycine latifolia,Herbaceous legume
20670,Indigofera hirsuta,Herbaceous legume
21881,Macroptilium atropurpureum,Herbaceous legume
21883,Macroptilium atropurpureum,Herbaceous legume
21896,Macroptilium atropurpureum,Herbaceous legume
24140,Teramnus labialis,Herbaceous legume
24148,Teramnus labialis,Herbaceous legume
11038,Aeschynomene villosa,Sub shrub
11039,Aeschynomene villosa,Sub shrub
11205,Aeschynomene americana,Sub shrub
11786,Aeschynomene falcata,Sub shrub
12140,Aeschynomene falcata,Sub shrub
6852,Lotononis bainesii,Herbaceous legume
10000,Alysicarpus rugosus,Herbaceous legume
11459,Zornia glabra,Herbaceous legume
11460,Zornia latifolia,Herbaceous legume
12188,Centrosema brasilianum,Herbaceous legume
24145,Teramnus labialis,Herbaceous legume
851,Calopogonium mucunoides,Trees/shrubs
10865,Sesbania sesban,Shrub/tree
11174,Calopogonium caeruleum,Trees/shrubs
11177,Calopogonium caeruleum,Sub shrub
12118,Aeschynomene falcata,Trees/shrubs
14371,Desmanthus covillei,Trees/shrubs
15036,Sesbania sesban,Trees/shrubs
6756,Macrotyloma axillare,Herbaceous legume
internal control1,wheat straw,
internal control 2,Wheat bran,
Hohenheim hay,Hohenheim hay,
Hohenheim concentrate,Hohenheim concentrate,
ABC sample,cynodon Nlemfuensis,grass
