subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,sample_weight_g,undigested_dm_g,dm_incubated,digested_feed_mg,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_8h_percentage,ch4_24h_percentage,part_fact,ch4_ml_g_dm_incubaed_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
3,Genetic bank,383,F25-1690,CIAT-22409,9,Fabales,Fabaceae,Cratylia,argentea,Cratylia argentea,Shrub_Trees,24,49,1,1,68,0.5,0.29,464.88,201.86,27.98,67.29,4.08,11.08,14.56,17.8,2.97,24.16,1713.1,57.24,43.43
3,Genetic bank,386,F25-1691,CIAT-22692,9,Fabales,Fabaceae,Lablab,purpureus,Lablab purpureus,Herbaceous_legumes,24,49,1,1,71,0.5,0.19,461.65,274.87,46.81,98.4,6.61,15.39,14.09,17.03,2.8,33.34,-1368.91,56.38,59.54
3,Genetic bank,9,F25-0954,CIAT-23326,9,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,23,46,1,1,9,0.5,0.18,479.38,302.27,44.1,79.25,6.43,13.01,14.57,18.73,3.82,27.14,506.72,43.07,63.05
3,Genetic bank,389,F25-1692,CIAT-23715,9,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Shrub_Trees,24,49,1,1,74,0.5,0.39,469.26,80.41,,,,,11.28,14.1,,,,,
3,Genetic bank,392,F25-1693,CIAT-23746,9,Fabales,Fabaceae,Codariocalyx,gyroides,Codariocalyx gyroides,Shrub_Trees,24,49,1,1,77,0.5,0.32,469.32,148.86,23.09,53.18,2.75,7.18,11.81,14.74,2.85,14.98,1.95,50.62,31.72
3,Genetic bank,395,F25-1694,CIAT-23985,9,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,24,49,1,1,80,0.5,0.23,476.04,242.37,37.26,67.68,5.48,10.69,14.68,17.11,3.6,22.45,-13125.72,45.87,50.91
3,Genetic bank,672,F24-3548,CIAT-2783,9,Fabales,Fabaceae,Stylosanthes,humilis,Stylosanthes humilis,Herbaceous_legumes,25,52,1,1,141,0.5,0.23,448.86,217.31,40.9,95.97,5.02,13.15,12.26,14.77,2.26,29.29,-36.79,64.91,48.42
3,Genetic bank,36,F25-1656,CIAT-3001,9,Fabales,Fabaceae,Codariocalyx,gyroides,Codariocalyx gyroides,Shrub_Trees,23,46,1,1,36,0.5,0.3,472.76,174.54,28.37,59.34,3.48,8.14,12.27,15.02,2.93,17.21,203.58,49.08,36.92
3,Genetic bank,398,F25-1695,CIAT-32265,9,Fabales,Fabaceae,Chamaecrista,diphylla,Chamaecrista diphylla,Herbaceous_legumes,24,49,1,1,83,0.5,0.25,479.24,232.13,39.98,81.01,3.86,11.06,9.59,17.56,2.88,23.07,1098.76,49.52,48.44
3,Genetic bank,39,F25-1657,CIAT-3304,9,Fabales,Fabaceae,Desmodium,cajanifolium,Desmodium cajanifolium,Shrub_Trees,23,46,1,1,39,0.5,0.19,474.71,288.49,52.65,94.45,6.93,13.47,13.16,15.68,3.05,28.38,107.77,47.42,60.77
3,Genetic bank,401,F25-1696,CIAT-33070,9,Fabales,Fabaceae,Desmodium,oblongum,Desmodium oblongum,Shrub_Trees,24,49,1,1,86,0.5,0.28,480.26,198.37,37.54,69.51,4.45,9.15,11.83,14.71,2.86,19.05,551.77,47.69,41.3
3,Genetic bank,404,F25-1697,CIAT-33079,9,Fabales,Fabaceae,Desmodium,oblongum,Desmodium oblongum,Shrub_Trees,24,49,1,1,89,0.5,0.21,478.42,264.42,44.54,77.35,6.35,12.22,14.23,17.88,3.42,25.53,820.49,47.0,55.27
3,Genetic bank,407,F25-1698,CIAT-33131,9,Fabales,Fabaceae,Codariocalyx,gyroides,Codariocalyx gyroides,Shrub_Trees,24,49,1,1,92,0.5,0.33,474.48,164.3,25.84,50.31,2.97,6.27,11.46,13.5,3.27,13.26,-164.44,39.36,34.63
3,Genetic bank,410,F25-1699,CIAT-33195,9,Fabales,Fabaceae,Dalea,carthagenensis,Dalea carthagenensis,Herbaceous_legumes,24,49,1,1,95,0.5,0.24,478.89,242.55,37.54,85.46,4.83,13.52,12.86,18.16,2.86,28.24,1025.83,57.8,50.65
3,Benchmark,972,F25-2625,CIAT-36087-MulatoII-Exc,9,Poales,Poaceae,Urochloa, interespecifico,Urochloa interespecifico,Grass,26,55,1,1,117,0.5,0.21,485.38,272.99,44.33,96.18,5.85,13.81,13.21,15.34,2.84,28.45,150.32,50.69,56.24
3,Benchmark,654,F25-2139,CIAT-36087-MulatoII-Opt,9,Poales,Poaceae,Brachiaria,interespecifico,Brachiaria interespecifico,Grass,25,52,1,1,123,0.5,0.23,484.97,255.94,37.79,86.14,4.83,11.71,12.77,14.24,2.98,24.15,370.38,46.25,52.77
3,Genetic bank,413,F25-1700,CIAT-43055,9,Fabales,Fabaceae,Desmodium,discolor,Desmodium discolor,Herbaceous_legumes,24,49,1,1,98,0.5,0.19,474.41,280.3,44.76,81.29,6.72,12.69,14.99,16.34,3.45,26.75,19.57,45.85,59.08
3,Genetic bank,42,F25-1658,CIAT-5713,9,Fabales,Fabaceae,Centrosema,macrocarpum,Centrosema macrocarpum,Herbaceous_legumes,23,46,1,1,42,0.5,0.26,473.43,215.77,44.43,85.78,5.93,12.6,13.33,16.14,2.51,26.62,-30.97,61.23,45.58
3,Benchmark,975,F25-2626,CIAT-606-Basilisk-Exc,9,Poales,Poaceae,Urochloa, interespecifico,Urochloa interespecifico,Grass,26,55,1,1,120,0.5,0.2,484.7,280.56,44.0,100.46,5.94,14.6,13.5,15.36,2.79,30.13,130.61,52.09,57.88
3,Benchmark,648,F25-2137,CIAT-606-Basilisk-Opt,9,Poales,Poaceae,Brachiaria,interespecifico,Brachiaria interespecifico,Grass,25,52,1,1,117,0.5,0.23,484.17,258.33,35.35,87.64,4.59,12.07,13.0,14.4,2.97,24.92,162.07,46.81,53.35
3,Benchmark,657,F25-2140,CIAT-6133-Llanero-Opt,9,Poales,Poaceae,Brachiaria,humidicola,Brachiaria humidicola,Grass,25,52,1,1,126,0.5,0.26,487.19,223.51,35.24,85.09,4.82,11.92,13.67,14.24,2.64,24.46,488.13,54.66,45.88
3,Benchmark,969,F25-2624,CIAT-6294-Marandu-Exc,9,Poales,Poaceae,Urochloa, interespecifico,Urochloa interespecifico,Grass,26,55,1,1,114,0.5,0.21,481.29,275.66,45.39,99.02,6.26,14.82,13.81,15.96,2.79,30.8,151.51,53.9,57.28
3,Benchmark,651,F25-2138,CIAT-6294-Marandu-Opt,9,Poales,Poaceae,Brachiaria,interespecifico,Brachiaria interespecifico ,Grass,25,52,1,1,120,0.5,0.26,480.75,222.8,35.44,91.5,4.64,12.54,13.07,14.07,2.44,26.08,410.77,58.91,46.34
3,Benchmark,645,F25-2136,CIAT-6962-Mombaza-Ex,9,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus,Grass,25,52,1,1,114,0.5,0.29,484.8,190.72,36.4,79.92,4.68,10.68,12.87,13.76,2.39,22.04,360.62,57.01,39.34
3,Benchmark,660,F25-2141,CIAT-6962-Mombaza-Opt,9,Poales,Poaceae,Megathyrsus ,maximus,Megathyrsus maximus ,Grass,25,52,1,1,129,0.5,0.27,487.82,218.34,38.9,82.47,4.96,11.68,12.74,15.43,2.65,23.94,-1644.82,54.15,44.76
3,Breeding,996,F25-2633,CIAT-712,18,Fabales,Fabaceae,Clitoria ,ternatea,Clitoria ternatea ,Herbaceous_legumes,26,55,1,1,141,0.5,0.22,466.16,247.93,50.36,87.45,7.29,13.67,14.48,17.18,2.83,29.39,525.33,55.88,53.09
3,Genetic bank,45,F25-1659,CIAT-7381,9,Fabales,Fabaceae,Galactia,glaucescens,Galactia glaucescens,Herbaceous_legumes,23,46,1,1,45,0.5,0.35,472.56,155.53,25.76,51.62,3.13,7.3,12.17,16.1,3.02,15.57,1564.03,47.88,32.91
3,Genetic bank,48,F25-1660,CIAT-7799,9,Fabales,Fabaceae,Dioclea,guianensis,Dioclea guianensis,Herbaceous_legumes,23,46,1,1,48,0.5,0.37,467.57,122.14,21.82,44.82,2.65,5.88,12.08,14.0,2.71,12.59,-194.18,49.7,26.12
